replicate,temperature,lag,block_size,block_count,calibration_jump_count,raw_calibration_jump_msd,raw_calibration_jump_fourth_moment,calibration_green_kubo_factor,event_correlation_lag_count,correlated_jump_kernel_maximum_count,correlated_jump_kernel_minimum_samples,count_tail_probability,predicted_event_msd,predicted_event_fourth_moment,predicted_mean_count,predicted_count_variance,heldout_events_used_in_prediction,macro_fit_parameter_count,jump_direction_correlation_included,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_event_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_event_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_event_fs_k7p25,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error
2.0,0.45,500.0,20.0,25.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,1.1102230246251565e-15,0.10301162620223112,0.07982328401271027,2.5124913990577555,12.11724821639022,0.0,0.0,1.0,0.0,0.9106873936475739,0.9359506294503632,0.02526323580278933,0.9403396522747588,0.7283587564076932,0.8005729633027215,0.07221420689502833,0.8267021717161089,0.45107055096895576,0.5679871984961697,0.11691664752721398,0.6749290152789262,0.1512738340389532,0.1073797564638258,0.4087742328780051,1.656089953650203,2.3654625478366693,0.7093725941864664
2.0,0.45,1000.0,20.0,50.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,8.485878666419922e-12,0.18840253324748268,0.19678881460534914,5.024982798115514,32.61368414660858,0.0,0.0,1.0,0.0,0.8667106200552636,0.9031995585846249,0.0364889385293613,0.8956775992845829,0.6324725596887766,0.7283672041708552,0.09589464448207863,0.7202827429920252,0.343629622057177,0.4797847508304132,0.1361551287732362,0.5200820102066163,0.23791550783398624,0.171315127140714,0.3887594855448364,1.4696154774311507,2.1878435702506227,0.718228092819472
2.0,0.45,2000.0,20.0,100.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,0.0003486714138931646,0.34388530914777954,0.4926478303071006,10.049965596231031,81.18209472914958,0.0,0.0,1.0,0.0,0.7942164140928697,0.8413429351086408,0.04712652101577108,0.8208033187407793,0.5008203853071619,0.6109579893966665,0.11013760408950457,0.5705388255691837,0.22919076275304315,0.3600406540179815,0.13084989126493837,0.34759089549563904,0.3934597490494276,0.30417451341716534,0.2935329282825563,1.1490690965121844,1.7285262993440798,0.5794572028318954
2.0,0.45,3000.0,20.0,150.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,0.006813728353386117,0.4795708931768932,0.8116069987708603,15.074948394346547,132.14378579122487,0.0,0.0,1.0,0.0,0.7293457668377676,0.7881757849378997,0.05883001810013211,0.7543035040936977,0.4055101142974868,0.5238939683641092,0.11838385406662238,0.4632744674473106,0.16365583186884383,0.28726954685338274,0.12361371498453891,0.2504117419434291,0.5302281355298205,0.43061894250681476,0.2313163291032636,0.9160854713667461,1.4125656124190522,0.4964801410523061
3.0,0.45,20.0,20.0,1.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,0.0,0.0058199706425381345,0.0017730644948499518,0.09855770859878532,0.1335475921883167,0.0,0.0,1.0,0.0,0.9725366128241818,0.9733464399062582,0.0008098270820764419,0.9963387855178631,0.897332920167619,0.8998300405768516,0.002497120409232556,0.9874179922177148,0.714999703258747,0.719625334776794,0.004625631518047069,0.9704199233952556,0.04223088499004437,0.04088453535015432,0.03293053543006619,0.8200512126272055,0.6717795454013664,0.14827166722583907
3.0,0.45,100.0,20.0,5.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,3.3306690738754696e-16,0.023950309976485902,0.010162754757898122,0.49278854299392666,1.1390562079074698,0.0,0.0,1.0,0.0,0.9583743116428817,0.9610112315857834,0.0026369199429017165,0.9852597857290645,0.8532523076270093,0.862271216767361,0.009018909140351639,0.9518015812608872,0.632481692047304,0.6509038936949388,0.01842220164763486,0.8951784393144382,0.06563183070352821,0.06145764487131366,0.06791971675704289,1.410278560796899,1.5290982774510748,0.11881971665417579
3.0,0.45,200.0,20.0,10.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,4.440892098500626e-16,0.04328765367393328,0.0226347364933663,0.9855770859878532,3.1053666626299417,0.0,0.0,1.0,0.0,0.9454040740874728,0.9487120659775828,0.003307991890109996,0.9738223389948366,0.8162198708972832,0.8285185258267364,0.012298654929453146,0.917536526209355,0.5720040127899377,0.5978656138385857,0.025861601048647986,0.8296673539499775,0.08790569561750186,0.08291711479064671,0.06016346371253478,1.591647979073636,1.8615152201432474,0.26986724106961146
3.0,0.45,500.0,20.0,25.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,1.5543122344752192e-15,0.09485900004901276,0.06847343816346924,2.463942714969633,11.957305254050999,0.0,0.0,1.0,0.0,0.9151693324124398,0.9154651401493429,0.0002958077369030754,0.9445845944781677,0.7383855060578988,0.746495797190644,0.008110291132745195,0.8367742739627377,0.4627228606405776,0.4861965894302254,0.02347372878964782,0.6891894415137306,0.14250623128055576,0.1442378852338565,0.012005541751344828,1.6094045103354073,1.8875616697620217,0.27815715942661434
3.0,0.45,1000.0,20.0,50.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,5.335509811743577e-12,0.17049588768498983,0.16251357474605949,4.927885429939269,31.901871127162835,0.0,0.0,1.0,0.0,0.8749772565167422,0.8653976751912258,0.009579581325516395,0.9043279212297046,0.6475209980268181,0.6394261790931611,0.008094818933656933,0.7377918302110829,0.3566181663422962,0.3638800632295381,0.007261896887241881,0.5407221576466177,0.22018253924418815,0.24403309580251992,0.09773492599394173,1.424027836660589,1.5499016636258744,0.12587382696528548
3.0,0.45,2000.0,20.0,100.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,0.0002148393916011626,0.30543872876082806,0.3954678978846019,9.855770859878522,77.6978190451293,0.0,0.0,1.0,0.0,0.8106849989346798,0.7710587368632903,0.03962626207138953,0.8381284252249824,0.5247464648012067,0.47164946591635304,0.05309699888485364,0.5986345435887511,0.24399260403270365,0.21085493819329598,0.033137665839407665,0.3716109455300695,0.3555678089933016,0.45236003499621646,0.21397165645661964,1.1435090641425232,1.073065313621913,0.07044375052061014
3.0,0.45,3000.0,20.0,150.0,80085.0,0.06532154655713679,0.01701098631901802,0.4271255020165311,8.0,60.0,500.0,0.004854008220908423,0.4230715923310244,0.6500239694691808,14.783656289817813,124.9412715975175,0.0,0.0,1.0,0.0,0.7552185501167368,0.6922019467726407,0.06301660334409609,0.7805245407108793,0.4379943375616707,0.3580006787434651,0.07999365881820564,0.4990179748249786,0.18056792264185778,0.1294193663865033,0.05114855625535447,0.2738831093669997,0.47269659199148145,0.6472318283567606,0.26966417397673714,0.9470277556984517,0.8235015742528151,0.12352618144563654
