replicate,temperature,block_size,count_value,heldout_probability,single_clock_probability,two_clock_probability,hmm_probability,poisson_probability
2.0,0.58,50.0,1.0,0.30918523039365275,0.31247199354416816,0.31248779095447166,0.3006715580110462,0.3493444816415834
2.0,0.58,50.0,2.0,0.13182789136405249,0.11828791407894793,0.11828278830282354,0.12460392323706225,0.12435824920688489
2.0,0.58,50.0,3.0,0.042152375139863696,0.03603384082459129,0.03602997821702665,0.03946900201630702,0.02951236760752819
2.0,0.58,50.0,4.0,0.010599125216152985,0.009644989227267572,0.009644650034194987,0.009722657089963664,0.0052528472016735665
2.0,0.58,50.0,5.0,0.0024412572474824534,0.0023677161662713745,0.0023682791044829896,0.0019326120010388585,0.000747955002216532
2.0,0.58,50.0,6.0,0.0003255009663309938,0.0005462350983547835,0.0005466471215473419,0.00032076552548494,8.875134186949363e-05
2.0,0.58,50.0,7.0,2.0343810395687112e-05,0.00012024833578873776,0.00012043400311598979,4.565437665480057e-05,9.026670619366724e-06
3.0,0.58,20.0,0.0,0.7411607518412523,0.7549436874580997,0.7548949569325194,0.7547187647686711,0.746662042717648
3.0,0.58,20.0,1.0,0.21532548722051315,0.2043104182503178,0.20443690387791996,0.2013100207283766,0.2181318021356426
3.0,0.58,20.0,2.0,0.038359079250138144,0.035168703122389774,0.035076944443852155,0.03812012810064305,0.03186279761172765
3.0,0.58,20.0,3.0,0.004659832246039142,0.004899055313881544,0.004901866856513921,0.00524993342676228,0.0031028270116389054
3.0,0.58,20.0,4.0,0.00047835446065534564,0.0006020228962613132,0.0006101088473733163,0.0005512441987687518,0.00022661699974076756
3.0,0.58,20.0,5.0,8.247490700954234e-06,6.805018392126182e-05,7.054793516534803e-05,4.643959953924085e-05,1.3240896609155489e-05
3.0,0.58,20.0,6.0,8.247490700954234e-06,7.245265727450386e-06,7.755206055658968e-06,3.2619198596429245e-06,6.447050280682806e-07
3.0,0.58,50.0,0.0,0.4956972841013122,0.5131528716873794,0.5128678997887236,0.5153981751049255,0.48482116861213304
3.0,0.58,50.0,1.0,0.31720069168955345,0.31619251094909395,0.3167846161974668,0.3062492426186935,0.3509984930810696
3.0,0.58,50.0,2.0,0.13237717424473605,0.12095548950690262,0.12074893795243671,0.12659298531366048,0.12705709870080384
3.0,0.58,50.0,3.0,0.04172515512155427,0.036850053787376796,0.036710219759612917,0.03975155473563193,0.030662061990747
3.0,0.58,50.0,4.0,0.01063981283694436,0.00979173028159699,0.00978483843098771,0.00972018671364009,0.005549642966456685
3.0,0.58,50.0,5.0,0.002014037229173024,0.0023730684511822585,0.002395291468644925,0.0019199838186074454,0.0008035607537271652
3.0,0.58,50.0,6.0,0.0003255009663309938,0.0005381607808503782,0.0005528537736748402,0.00031680722067505175,9.695967362726283e-05
3.0,0.58,50.0,7.0,0.0,0.00011605588051226671,0.0001222760581566025,4.48340942059807e-05,1.0028056745784915e-05
3.0,0.58,50.0,8.0,2.0343810395687112e-05,2.405937839458093e-05,2.619092265070523e-05,5.5525819946019555e-06,9.075080241385611e-07
4.0,0.58,20.0,0.0,0.7490041154978597,0.7603084354736473,0.7602597831652366,0.7596042624023214,0.7522311465827335
4.0,0.58,20.0,1.0,0.20846357495731924,0.20062879309155518,0.20075515360206164,0.19737127979169444,0.21416895323823326
4.0,0.58,20.0,2.0,0.03736113287532268,0.03381117556096077,0.033719368666213445,0.03719536858414849,0.030488195509806474
4.0,0.58,20.0,3.0,0.004717564680945822,0.004623407636502278,0.004626344446515582,0.005215178199677475,0.002893447910756733
