model,replicate,realization,temperature,lag,block_size,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
state_schedule_without_anchor_geometry,1.0,2.0,0.58,200.0,20.0,1.2917739155783197,1.1970958003749623,0.07908983990562968,0.317513676458848,0.17003137790337108,0.1474822985554769,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467967493743571,0.4733264732392782,0.0053589794957071835,0.10728674146033315,0.07641999280253814,0.030866748657795012,0.0177429929980312,0.0035374896626027496,0.014205503335428448
state_schedule_without_anchor_geometry,1.0,2.0,0.58,400.0,20.0,2.393588153900495,2.302522122507715,0.03955055654084161,0.2865230259627831,0.08241548506967367,0.20410754089310945,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666972871982172,0.2367746362454057,0.02992265095281152,0.030878536178917886,0.005007075510426834,0.025871460668491053,0.0038877837201232576,-0.0015893870932790705,0.005477170813402328
state_schedule_without_anchor_geometry,1.0,2.0,0.58,600.0,20.0,3.5023318522748674,3.5092386999443375,0.0019681897585307473,0.2565352852303957,0.04880248109629837,0.20773280413409734,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16159747843622058,0.10971466137823888,0.0518828170579817,0.014592615334230268,0.003664696471714173,0.010927918862516095,0.0041961083754348824,-0.002099056579231919,0.006295164954666801
anchor_aware_semi_markov,1.0,3.0,0.58,20.0,20.0,0.2277028638067014,0.16660841604263024,0.3666948478067211,0.7703797457580885,0.5385549106326213,0.23182483512546725,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8662504097420748,0.8977103424506039,0.03145993270852909,0.6074885423109772,0.6706091522002315,0.06312060988925439,0.28738616155520036,0.3302563514537057,0.04287018989850533
anchor_aware_semi_markov,1.0,3.0,0.58,100.0,20.0,0.7151908045439537,0.6244853324897498,0.1452483626678176,0.3940562177665179,0.2825033492140283,0.11155286855248958,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6468354490957896,0.6748742076596806,0.028038758563891042,0.25169882276436806,0.25770578929215066,0.006006966527782598,0.06293056034532446,0.03757140173250425,0.02535915861282021
anchor_aware_semi_markov,1.0,3.0,0.58,200.0,20.0,1.2658303458337177,1.1970958003749623,0.05741774838507152,0.28404814587624183,0.17003137790337108,0.11401676797287075,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4715424476050067,0.4733264732392782,0.001784025634271491,0.1078551523991416,0.07641999280253814,0.031435159596603465,0.020634762196870323,0.0035374896626027496,0.017097272534267575
anchor_aware_semi_markov,1.0,3.0,0.58,400.0,20.0,2.391417298684268,2.302522122507715,0.03860774031553538,0.2156746503349567,0.08241548506967367,0.13325916526528303,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540446205396318,0.2367746362454057,0.017269984294226076,0.023227124212049866,0.005007075510426834,0.018220048701623033,0.005174152011944875,-0.0015893870932790705,0.006763539105223946
anchor_aware_semi_markov,1.0,3.0,0.58,600.0,20.0,3.5131112540906337,3.5092386999443375,0.0011035311295175543,0.1993179735105688,0.04880248109629837,0.15051549241427042,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493762732115232,0.10971466137823888,0.039661611833284316,0.004238553085525045,0.003664696471714173,0.0005738566138108721,0.004642009444279983,-0.002099056579231919,0.006741066023511903
state_schedule_without_anchor_geometry,1.0,3.0,0.58,20.0,20.0,0.23136478476105754,0.16660841604263024,0.38867405534818866,0.8015383401025302,0.5385549106326213,0.26298342946990894,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8647017640536963,0.8977103424506039,0.03300857839690763,0.6056732642996036,0.6706091522002315,0.06493588790062799,0.2871977373271585,0.3302563514537057,0.04305861412654721
state_schedule_without_anchor_geometry,1.0,3.0,0.58,100.0,20.0,0.7366335894616752,0.6244853324897498,0.17958509373599463,0.41190500140772923,0.2825033492140283,0.12940165219370092,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6404170502972665,0.6748742076596806,0.03445715736241417,0.2486848299844534,0.25770578929215066,0.009020959307697252,0.06272275803379376,0.03757140173250425,0.025151356301289514
state_schedule_without_anchor_geometry,1.0,3.0,0.58,200.0,20.0,1.2869446402169742,1.1970958003749623,0.07505568043415467,0.3108197249814568,0.17003137790337108,0.14078834707808574,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4682799509804098,0.4733264732392782,0.005046522258868369,0.10662332419549765,0.07641999280253814,0.030203331392959512,0.019041053795513088,0.0035374896626027496,0.015503564132910338
state_schedule_without_anchor_geometry,1.0,3.0,0.58,400.0,20.0,2.3826458429489987,2.302522122507715,0.034798241310280975,0.23320637308209946,0.08241548506967367,0.1507908880124258,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263003202822062,0.2367746362454057,0.026228566576656315,0.02907252526710591,0.005007075510426834,0.024065449756679076,0.0023631655468897843,-0.0015893870932790705,0.003952552640168855
state_schedule_without_anchor_geometry,1.0,3.0,0.58,600.0,20.0,3.462013909883833,3.5092386999443375,0.013457274952898945,0.20030520422293185,0.04880248109629837,0.1515027231266335,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15650756666762783,0.10971466137823888,0.04679290528938895,0.012234383249362206,0.003664696471714173,0.008569686777648033,0.003615543903613661,-0.002099056579231919,0.00571460048284558
anchor_aware_semi_markov,1.0,4.0,0.58,20.0,20.0,0.22660833291607035,0.16660841604263024,0.36012536640458714,0.7441306274472874,0.5385549106326213,0.20557571681466613,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666314233315493,0.8977103424506039,0.031078919119054582,0.6075152323163061,0.6706091522002315,0.06309391988392543,0.28756483362281615,0.3302563514537057,0.042691517830889536
anchor_aware_semi_markov,1.0,4.0,0.58,100.0,20.0,0.7109099620121166,0.6244853324897498,0.13839336974945748,0.3918802822183447,0.2825033492140283,0.10937693300431639,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6482627449173681,0.6748742076596806,0.02661146274231252,0.2528116273153946,0.25770578929215066,0.004894161976756073,0.06303202462418955,0.03757140173250425,0.025460622891685304
anchor_aware_semi_markov,1.0,4.0,0.58,200.0,20.0,1.2554301014845153,1.1970958003749623,0.048729851939402824,0.2960100256037448,0.17003137790337108,0.1259786477003737,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746578456183329,0.4733264732392782,0.0013313723790547294,0.10669190415458095,0.07641999280253814,0.03027191135204281,0.019073805300895343,0.0035374896626027496,0.015536315638292593
anchor_aware_semi_markov,1.0,4.0,0.58,400.0,20.0,2.367447120241865,2.302522122507715,0.028197339386880405,0.2586526125422215,0.08241548506967367,0.17623712747254783,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26427438031345946,0.2367746362454057,0.02749974406805375,0.02720329049123492,0.005007075510426834,0.022196214980808086,0.005243356693201289,-0.0015893870932790705,0.00683274378648036
anchor_aware_semi_markov,1.0,4.0,0.58,600.0,20.0,3.465858517188188,3.5092386999443375,0.01236170761391564,0.24976830965471364,0.04880248109629837,0.20096582855841527,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15848033554795976,0.10971466137823888,0.048765674169720885,0.010883038374708234,0.003664696471714173,0.007218341902994061,0.004330188510097469,-0.002099056579231919,0.006429245089329388
state_schedule_without_anchor_geometry,1.0,4.0,0.58,20.0,20.0,0.22980915907215538,0.16660841604263024,0.37933703789221496,0.7769798138827944,0.5385549106326213,0.23842490325017307,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652525613135219,0.8977103424506039,0.032457781137081976,0.605945091075943,0.6706091522002315,0.06466406112428857,0.28741229594682793,0.3302563514537057,0.042844055506877754
