record_type,persistence_exchange_ratio,persistence_mean,exchange_mean,diffusion_coefficient,tau_alpha,stokes_einstein_product,late_time,late_ngp,time,ngp,alpha_decay
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.062400913232431215,0.03748878884311178,0.9981729890128789
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.06485320681594176,0.03660104977626887,0.9980999083213404
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.06740187308870009,0.03575354773034384,0.998023854077778
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.07005069940116676,0.0349450910661006,0.9979447014206713
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.07280362194289375,0.0341745519929539,0.9978623199565047
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.07566473159175216,0.033440865407037744,0.9977765734942564
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.07863827999302886,0.032743027867845664,0.9976873197658372
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.08172868587742524,0.032080096717706744,0.9975944101316648
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.08494054162734713,0.03145118934602618,0.9974976892705133
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.0882786201012435,0.030855482604247614,0.9973969948527184
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.09174788172613478,0.030292212374014103,0.9972921571957727
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.09535348186887042,0.029760673295781307,0.9971829989012769
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.09910077849706934,0.029260218662565823,0.9970693344721597
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.10299534014112807,0.028790260487208064,0.9969509699090038
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1070429541691277,0.02835026975009673,0.9968277022842555
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1112496353869362,0.027939776836366607,0.9966993192930169
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.11562163497628651,0.02755837217246989,0.9965655987790399
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1201654497841119,0.027205707073572033,0.9964263082344667
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1248878319769431,0.026881494812581938,0.996281204271769
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.12979579907471359,0.026585511925729267,0.9961300320662514
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.13489664437888327,0.026317599767136098,0.9959725247673874
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.14019794781037717,0.026077666330657702,0.9958084028771582
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.14570758717344426,0.025865688353915606,0.9956373735934584
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.15143374986217453,0.025681713724866728,0.9954591301165239
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.15738494502707076,0.025525864210281395,0.9952733509162226
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1635700162197542,0.025398338528013303,0.9950796989579284
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.16999815453459458,0.0252994157866249,0.994877820884574
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.17667891226679325,0.025229459316824215,0.9946673461523505
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1836222171072151,0.025188920921154465,0.9944478861173829
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1908383868950633,0.025178345570260188,0.9942190330705756
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.1983381449503195,0.02519837657419903,0.9939803592176755
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.20613263600873355,0.025249761260155133,0.9937314156014511
