temperature_label,temperature,inverse_temperature_shift,scaled_time,alpha_shape,reference_alpha_shape,log_shape_residual,shape_control,reference_control,tau_alpha_over_delay,rms_log_shape_residual,max_abs_log_shape_residual
T=1.00,1.0,0.0,3.094081225676725,3.742592901843521,3.742592901843521,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.1513599863241075,3.817630536356864,3.817630536356864,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.209699112289013,3.8940572950659136,3.8940572950659136,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.2691182334411115,3.9718988939093145,3.9718988939093145,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.329637343045389,4.051181524898096,4.051181524898096,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.3912768044894483,4.131931864926451,4.131931864926451,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.454057358135349,4.214177084746203,4.214177084746203,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.5180001282983056,4.297944858107894,4.297944858107894,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.5831266303545637,4.383263371071429,4.383263371071429,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.6494587779808607,4.470161331489354,4.470161331489354,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.7170188905279193,4.558667978665909,4.558667978665909,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.785829700530421,4.648813093195027,4.648813093195027,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.8559143613560285,4.740627006980595,4.740627006980595,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,3.9272964549959966,4.834140613442284,4.834140613442284,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,4.0,4.929385377910364,4.929385377910364,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=0.78,0.78,0.28205128205128194,0.15,0.016029414098502295,0.03068674806543564,-0.6494054866534991,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.15277685473342037,0.01682502542537833,0.032067293119498304,-0.6449692180675508,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.15560511561491083,0.01765818855268991,0.03350434952328236,-0.640475650464452,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.15848573429384208,0.018530546042315937,0.03499989444059415,-0.6359245376238549,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.16141968003686513,0.01944380381411597,0.03655595505993616,-0.6313156527187647,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.16440794005404888,0.020399733047355716,0.03817460882101672,-0.6266487892079131,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.1674515198310554,0.02140017210471303,0.03985798358273672,-0.6219237617454927,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.1705514434674641,0.022447028476726538,0.04160825773015479,-0.6171404071075988,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.17370875402135943,0.02354228074435826,0.04342766021803934,-0.6122985851349263,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.17692451386029784,0.024687980557153506,0.04531847054873688,-0.6073981796908892,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.1801998050187716,0.025886254624282068,0.047283018682229006,-0.6024390996343838,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.1835357295622903,0.02713930671554149,0.04932368487641451,-0.597421279806396,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.18693340995820235,0.02844941966920022,0.051442899455835155,-0.5923446820293994,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.19039398945338126,0.02981895740334658,0.053643142507268905,-0.5872092961185404,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.19391863245890398,0.03125036692719897,0.05592694350084061,-0.5820151409034118,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.19750852494185006,0.03274618034861853,0.05829688083554774,-0.576762265259152,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.20116487482435436,0.03430901687384997,0.06075558130837063,-0.5714507491455283,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.20488891239004717,0.03594158479530095,0.06330571950642637,-0.5660807046525078,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2086818906980182,0.03764668346295944,0.0659500171219405,-0.5606522770506568,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.21254508600444416,0.03942720523483023,0.06869124219014681,-0.5551656458447414,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.21647979819202204,0.04128613740156771,0.0715322082505817,-0.5496210258286616,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.22048735120735138,0.04322656408027741,0.07447577343261431,-0.5440186681396848,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.22456909350641435,0.045251668072255745,0.0775248394664525,-0.538358861309975,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2287263985083024,0.047364732679250274,0.08068235062127896,-0.5326419323131697,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.23296066505734223,0.04956914347264003,0.08395129257260109,-0.5268682476035949,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.23727331789377706,0.05186839000976043,0.08733469120134808,-0.5210382141456962,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.24166580813316169,0.05426606749144172,0.09083561132770873,-0.5151522804310051,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2461396137546312,0.05676587835468121,0.09445715538317419,-0.5092109374798914,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2506962400982099,0.05937163379424113,0.0982024620247367,-0.5032147198252197,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.25533722037132595,0.062087255206854694,0.10207470469567949,-0.4971642064748023,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.26006411616470265,0.06491677555162635,0.10607709013789114,-0.4910600218495458,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.26487851797780093,0.06786434062014907,0.11021285686113128,-0.484902836693907,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2697820457539878,0.07093421020981013,0.11448527357516815,-0.47869336895525727,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.27477634942561296,0.07413075919374376,0.11889763759119998,-0.472432384628545,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2798631094691762,0.07745847848089546,0.12345327319945043,-0.46612069856255367,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.285044037470771,0.08092197585970363,0.1281555300302988,-0.45975917522394205,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.29032087670199735,0.08452597671898113,0.13300778140675962,-0.4533487294150942,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.2956954027065353,0.08827532463968357,0.1380134226965574,-0.44689032694174724,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3011694238975772,0.0921749818514017,0.1431758696724552,-0.4403849852262416,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3067447821663203,0.09623002954760032,0.14849855688987545,-0.4338337738621181,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3124233535017239,0.10044566805385056,0.15398493609120253,-0.42723781510577297,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.31820704862173943,0.10482721684357806,0.1596384746464705,-0.4205982843007401,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3240978136162261,0.10938011439616024,0.1654626540404134,-0.4139164102301658,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3300976306017688,0.11410991789257416,0.17146096841608552,-0.4071934753929636,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.33620851838861787,0.11902230274420188,0.17763692318543925,-0.4004308161991341,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.34243253315997574,0.12412306195086394,0.18399403371738077,-0.39362982307972105,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.34877176916385844,0.12941810528466438,0.19053582411389391,-0.38679194050684207,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3552283594177654,0.1349134582967861,0.1972658260848444,-0.3799186669193546,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3618044764263946,0.1406152611449968,0.20418757793202588,-0.3730115545496646,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3685023329126433,0.14652976724028802,0.21130462365290129,-0.3660722091473112,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3753241825621427,0.1526633417117858,0.21862051217431902,-0.3591022895950666,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3822723207815748,0.15902245968984305,0.22613879672623613,-0.3521035074133789,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3893490854710275,0.16561370440804074,0.23386303436516975,-0.34507762614915216,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
T=0.78,0.78,0.28205128205128194,0.3965568578106482,0.1724437651256928,0.24179678565671392,-0.3380264606450287,0.48820626092025815,0.2071908709673636,3.487635796017913,0.313104077654953,0.6494054866534991
