protocol,held_clone_index,basis,memory_order,lag_frames,correlation_component,observed,predicted,thermodynamic_claim_allowed
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,19.0,up,-0.12942042405019416,-0.12496196352295152,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,19.0,pu,0.13040938559849385,0.1258554014058099,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,19.0,pp,0.13514353924604053,0.12375776186157628,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,20.0,uu,0.315761818505259,0.22633389618722902,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,20.0,up,-0.10093883737854999,-0.09860059654396501,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,20.0,pu,0.10187184688452705,0.09944729513866886,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,20.0,pp,0.1771630429787542,0.1658984930937741,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,21.0,uu,0.33109837906418443,0.24134365332443147,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,21.0,up,-0.0670718094043138,-0.06674236331101471,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,21.0,pu,0.06794504750643317,0.06753438737182484,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,21.0,pp,0.1954412586762727,0.1850294405489729,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,22.0,uu,0.34015610618196745,0.2504240610705341,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,22.0,up,-0.031889728116356444,-0.03334244460480871,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,22.0,pu,0.03270693742448148,0.034070477100818085,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,22.0,pp,0.1925242988202696,0.18349326124105486,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,23.0,uu,0.3430278868551961,0.2536102055237766,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,23.0,up,0.0011341135006785368,-0.001777368648900512,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,23.0,pu,-0.00036176254898900444,0.0024594079737735226,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,23.0,pp,0.17246791862372043,0.1651964891258932,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,24.0,uu,0.3403557343373305,0.2514791224864873,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,24.0,up,0.029379232623981722,0.025361708798575865,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,24.0,pu,-0.028628675970897344,-0.024707256584586012,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,24.0,pp,0.14035979412877891,0.13492812419985312,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,25.0,uu,0.33317065527118583,0.2449915994276526,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,25.0,up,0.051165247548033005,0.046377458910865685,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,25.0,pu,-0.05040512009832842,-0.04573153108002511,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,25.0,pp,0.10146953906764392,0.09772161216643951,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,26.0,uu,0.3227187929772666,0.2353362388754089,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,26.0,up,0.065746564070452,0.06045367712479583,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,26.0,pu,-0.06494347759431085,-0.05980615112326152,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,26.0,pp,0.0607973279358131,0.05839497221901642,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,27.0,uu,0.3103029735000668,0.22377026213996418,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,27.0,up,0.0731965764214124,0.067596492127353,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,27.0,pu,-0.07230660605043782,-0.06693500604246912,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,27.0,pp,0.02254804232927874,0.021064357410593284,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,28.0,uu,0.29714939234762777,0.21149080209267765,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,28.0,up,0.07426296270293019,0.06846452721214975,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,28.0,pu,-0.0732392812252089,-0.06777879183366231,0.0
