model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
phase_randomized_cross_spectrum,500.0,3.0,0.12812502313449622,0.1262955126161884,0.014485950295539674,0.0001954232921890342,0.6860448713971691,2.164410449673618,1.478365578276449,0.0026523992883893646,0.9203062986732973,0.9255414798411173,0.005235181167820069,1.4797398188948749e-05,0.7345856664720166,0.7737458591055776,0.039160192633560964,5.284957069437939e-05,0.42390949422222785,0.5291930232489127,0.10528352902668486,0.00011516597358287342,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,1000.0,3.0,0.21232869747414843,0.2096882357573943,0.0125923216780226,0.00037644138788110374,0.9637289471383791,1.9242521838872673,0.9605232367488882,0.003326706622542032,0.8756127823800081,0.8837103017827217,0.008097519402713638,3.9356846512795117e-05,0.6336802541898595,0.6839386458670308,0.05025839167717128,9.432894175069762e-05,0.3231241799393522,0.4252107551608982,0.10208657522154596,0.00016486671540530827,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,2000.0,3.0,0.378562243845427,0.3804918087436149,0.005071238996075311,0.0010700910722966442,1.152940467267227,1.444557669873739,0.291617202606512,0.006161204932548903,0.801391560965885,0.8061750197934496,0.004783458827564591,0.00019071966871572255,0.5110340000583816,0.5420765220261176,0.031042521967735937,0.00032526325956582744,0.23120359785742758,0.2894792740466868,0.05827567618925919,0.0003255326274773105,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,3000.0,3.0,0.5432057540659586,0.5428630069869955,0.0006313693778203788,0.0019492579977683263,1.1790728961928774,1.188746539691488,0.009673643498610662,0.007607725793340331,0.7402381783680271,0.7409790220423944,0.0007408436743673308,0.0003973895568000579,0.431939735153124,0.44362214992805216,0.011682414774928152,0.0005482281476878779,0.17729233115393575,0.2129683136864647,0.03567598253252896,0.0004751528464705438,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,20.0,3.0,0.03920546825742556,0.03949186469853002,0.0072520364204307075,2.7111775617024156e-17,0.6597200432998779,0.6751140847848851,0.015394041485007226,6.560716861839553e-17,0.9744126505236546,0.9742347768868321,0.0001778736368224232,2.3131515945237494e-07,0.9035328969398894,0.9029575283359126,0.000575368603976778,2.4519640560484313e-06,0.7279803022306325,0.7268548226920929,0.0011254795385395866,8.510228481401963e-06,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,100.0,3.0,0.05742616051703293,0.057100198209926144,0.005708602024609322,3.859091033480116e-05,0.5030901931446689,1.591737265317109,1.08864707217244,0.0014137651792464631,0.9627788993301132,0.9636844599785942,0.0009055606484810186,1.2442277082106872e-06,0.8623160953615988,0.87093838803019,0.008622292668591158,7.462938950275095e-06,0.6305063240914209,0.6685948251395887,0.038088501048167744,2.879213919096071e-05,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,200.0,3.0,0.07656407472368522,0.07520056123369138,0.01813169300368145,0.00013690165775209664,0.6107788658415831,2.006542528897479,1.395763663055896,0.0020527471755279044,0.9509544018005144,0.9533016497076988,0.0023472479071844354,5.283181926951293e-06,0.8240033296876068,0.8424183294324846,0.018414999744877814,1.7333225207536015e-05,0.5577202526041422,0.623679630548327,0.06595937794418483,4.438249109950803e-05,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,500.0,3.0,0.12935004074164216,0.1262955126161884,0.024185563383684494,0.000326906916436522,0.8594387156060739,2.164410449673618,1.3049717340675442,0.0034800163687055165,0.9200833432447911,0.9255414798411173,0.005458136596326213,1.8628090055173254e-05,0.7365902555658529,0.7737458591055776,0.03715560353972469,5.396666686317925e-05,0.4306558685935302,0.5291930232489127,0.09853715465538249,9.421249127762913e-05,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1000.0,3.0,0.21459615097604479,0.2096882357573943,0.02340577286524015,0.0006288161905914861,1.0614334434610158,1.9242521838872673,0.8628187404262515,0.0037275342284964577,0.8750763651588674,0.8837103017827217,0.008633936623854255,6.904336019248784e-05,0.6347092428326145,0.6839386458670308,0.04922940303441625,0.00018735834088513687,0.3256131123035269,0.4252107551608982,0.09959764285737127,0.0002532418280287861,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,2000.0,3.0,0.38282959405265143,0.3804918087436149,0.006144114683456436,0.0015673571113921903,1.181043180785178,1.444557669873739,0.263514489088561,0.009345314980151854,0.7999236683957225,0.8061750197934496,0.006251351397727145,0.00022569697757614682,0.5091612578374524,0.5420765220261176,0.032915264188665194,0.0003420374188546393,0.23014596243285604,0.2894792740466868,0.059333311613830736,0.0002863126454344657,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
