temperature,restart,model,realization,lag,block_size,predicted_msd,predicted_ngp,predicted_fs_k2,predicted_fs_k4,predicted_fs_k7p25,target_msd,target_ngp,target_fs_k2,target_fs_k4,target_fs_k7p25,support_pass,heldout_path_used_in_prediction,heldout_observables_used_as_model_inputs,calibration_budget_equal_to_nulls,one_step_jump_law_retained,two_point_path_spectrum_retained,particle_identity_retained,static_particle_environment_retained,finite_exchange_environment_retained,ordered_path_memory_retained,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,1,finite_exchange_environment,0,20,20,0.03936334733781946,0.6957567387773347,0.9743255830741783,0.9033346591386097,0.7278771745959215,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,100,20,0.19712958384283202,0.19555806598788994,0.8782878605311587,0.6049548378246753,0.21465425491461287,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,200,20,0.3946102235819985,0.1230315461574758,0.771872854278447,0.36998261163604607,0.049925880970058206,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,500,20,0.9905242613391417,0.06972241235525733,0.5244207688791149,0.08830664571089934,0.0013315723626695125,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,1000,20,1.9904309524803283,0.039394396969165024,0.27598403218096074,0.008622344690239548,0.0010354036687036435,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,2000,20,4.004961793092241,0.030869021648223693,0.07832902919240456,-9.772990188559649e-05,0.0004931079735875136,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,0,3000,20,6.007681113839951,0.027572499312799925,0.024880123183165365,-0.001490405734327628,0.0007446780503204073,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,20,20,0.039319914232136786,0.6672457079889142,0.9743435977907938,0.9033399085366899,0.7278021974101643,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,100,20,0.19645411340160068,0.19061662322659978,0.878596835890918,0.6052587322825965,0.2135765187215429,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,200,20,0.39302548685082594,0.12157768739973696,0.772431372700088,0.36968192023031304,0.04914398390623836,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,500,20,0.9816300329094366,0.06443748123825777,0.5259176650731286,0.08517089364515686,0.0007662700306093485,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,1000,20,1.9649818011781164,0.03148039303798633,0.2740474038062963,0.007055649813493253,0.00039347624838464805,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,2000,20,3.9466034115901687,0.012409973997604018,0.07100614378425125,0.00048157860453252357,0.0007128648944291898,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,1,3000,20,5.900000024673987,0.003328732256635325,0.022085458715337934,-0.0018135283943060587,-6.543019591995985e-05,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,20,20,0.03938233332064973,0.6664296147612958,0.9743032144213404,0.903199961728727,0.7275346828240938,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,100,20,0.19714534958397814,0.19103680902419629,0.8782268481287229,0.6045548384181735,0.21420225049218253,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
