distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
1.4,1.8,1.6,15564.0,100.0,10.0,481.0,0.00036319996388449715,-4.221291026740729e-06,0.0003674212549112379,0.026568992639131376,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64009.0,100.0,10.0,481.0,0.00015892730123577767,-4.221291026740729e-06,0.0001631485922625184,0.011797612927849477,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179862.0,100.0,10.0,481.0,3.258515769756539e-05,-4.221291026740729e-06,3.680644872430612e-05,0.002661550610252258,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,543963.0,100.0,10.0,481.0,-8.818877674266497e-06,-4.221291026740729e-06,-4.597586647525768e-06,-0.00033246102168311075,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1957095.0,100.0,10.0,481.0,-1.772452296765932e-05,-4.221291026740729e-06,-1.350323194091859e-05,-0.0009764466950324395,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588626.0,100.0,10.0,481.0,-8.669417196091841e-06,-4.221291026740729e-06,-4.448126169351112e-06,-0.00032165322466161617,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8168.0,100.0,10.0,373.0,0.000990530203221183,-3.4141404158284086e-06,0.0009939443436370115,0.08886623786485176,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10493.0,100.0,10.0,373.0,0.0007121829581996557,-3.4141404158284086e-06,0.000715597098615484,0.06397986203962476,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15509.0,100.0,10.0,373.0,0.00028348429472696107,-3.4141404158284086e-06,0.0002868984351427895,0.02565091772358218,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64187.0,100.0,10.0,373.0,0.0001797781835536207,-3.4141404158284086e-06,0.0001831923239694491,0.016378797003174416,0.45,6.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
