held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,16.0,18.0,uu,0.26939252327539426,0.228274402089617,1.1003979456463264,0.0
1.0,16.0,18.0,up,-0.14817611620014073,-0.1606961098480147,-0.02801678175310256,0.0
1.0,16.0,18.0,pu,0.14917362740199577,0.1324306546446364,-0.02801678175310256,0.0
1.0,16.0,18.0,pp,0.0688454878683124,0.025971636667258362,0.9610223052851411,0.0
1.0,16.0,19.0,uu,0.29474016324490304,0.25211784028467715,1.0878649317855373,0.0
1.0,16.0,19.0,up,-0.12942042405019416,-0.14933221629429533,-0.03836867324866075,0.0
1.0,16.0,19.0,pu,0.13040938559849385,0.13201443320534514,-0.03836867324866075,0.0
1.0,16.0,19.0,pp,0.13514353924604053,0.09716878913435453,0.9724508706129731,0.0
1.0,16.0,20.0,uu,0.315761818505259,0.27477143433624357,1.073213948612633,0.0
1.0,16.0,20.0,up,-0.10093883737854999,-0.12697277931804607,-0.03908483172623611,0.0
1.0,16.0,20.0,pu,0.10187184688452705,0.11984271441466206,-0.03908483172623611,0.0
1.0,16.0,20.0,pp,0.1771630429787542,0.14797485824324927,0.965778602642188,0.0
1.0,16.0,21.0,uu,0.33109837906418443,0.2943916069294229,1.0599146803274289,0.0
1.0,16.0,21.0,up,-0.0670718094043138,-0.09758373639055187,-0.03695610762655064,0.0
1.0,16.0,21.0,pu,0.06794504750643317,0.09713457417596864,-0.03695610762655064,0.0
1.0,16.0,21.0,pp,0.1954412586762727,0.17728822829301594,0.9565260859385081,0.0
1.0,16.0,22.0,uu,0.34015610618196745,0.30983101024802073,1.045599337979893,0.0
1.0,16.0,22.0,up,-0.031889728116356444,-0.06456370846872501,-0.04343450699133467,0.0
1.0,16.0,22.0,pu,0.03270693742448148,0.07365982347250687,-0.04343450699133467,0.0
1.0,16.0,22.0,pp,0.1925242988202696,0.19051641810587022,0.9598199422680882,0.0
1.0,16.0,23.0,uu,0.3430278868551961,0.3196300290517219,1.0281161922188309,0.0
1.0,16.0,23.0,up,0.0011341135006785368,-0.030501895104116224,-0.04964892030752245,0.0
1.0,16.0,23.0,pu,-0.00036176254898900444,0.03509479908967962,-0.04964892030752245,0.0
1.0,16.0,23.0,pp,0.17246791862372043,0.18554993227434607,0.9724348777479161,0.0
1.0,16.0,24.0,uu,0.3403557343373305,0.32350190238915083,1.0109330750037229,0.0
1.0,16.0,24.0,up,0.029379232623981722,0.00168089820197921,-0.04518227463395158,0.0
1.0,16.0,24.0,pu,-0.028628675970897344,0.00873339806388171,-0.04518227463395158,0.0
1.0,16.0,24.0,pp,0.14035979412877891,0.17232381592160123,0.9816643846380431,0.0
1.0,16.0,25.0,uu,0.33317065527118583,0.3227967425510883,0.9972665956144162,0.0
1.0,16.0,25.0,up,0.051165247548033005,0.030446022498036757,-0.030002711785397936,0.0
1.0,16.0,25.0,pu,-0.05040512009832842,-0.0157827548750179,-0.030002711785397936,0.0
1.0,16.0,25.0,pp,0.10146953906764392,0.14552596593995293,0.995458262696622,0.0
1.0,16.0,26.0,uu,0.3227187929772666,0.3183390140867924,0.9900747399042815,0.0
1.0,16.0,26.0,up,0.065746564070452,0.05350862651018314,-0.007490200787349507,0.0
1.0,16.0,26.0,pu,-0.06494347759431085,-0.030980491124116907,-0.007490200787349507,0.0
1.0,16.0,26.0,pp,0.0607973279358131,0.11024926406531708,0.9930212418009953,0.0
1.0,16.0,27.0,uu,0.3103029735000668,0.311391241269216,0.9904304715789541,0.0
1.0,16.0,27.0,up,0.0731965764214124,0.07038586954353845,0.007334256443874302,0.0
1.0,16.0,27.0,pu,-0.07230660605043782,-0.04592541224369973,0.007334256443874302,0.0
1.0,16.0,27.0,pp,0.02254804232927874,0.0745657505836024,0.979512576205257,0.0
1.0,16.0,28.0,uu,0.29714939234762777,0.3021314629934356,0.9947025944943667,0.0
1.0,16.0,28.0,up,0.07426296270293019,0.08076907476548853,0.016944232155811912,0.0
1.0,16.0,28.0,pu,-0.0732392812252089,-0.05501763475477404,0.016944232155811912,0.0
1.0,16.0,28.0,pp,-0.010201116710687175,0.04046139421485436,0.9711939781984357,0.0
1.0,16.0,29.0,uu,0.28430852074693386,0.29124590381556703,1.0026553146192516,0.0
1.0,16.0,29.0,up,0.0701130879622734,0.08524839841232174,0.02541269059328436,0.0
1.0,16.0,29.0,pu,-0.06894208992511527,-0.06608012662741841,0.02541269059328436,0.0
1.0,16.0,29.0,pp,-0.035371334211355215,0.010360664269793889,0.9481731418666925,0.0
1.0,16.0,30.0,uu,0.2725904784868913,0.27880723611502056,1.0114741668211134,0.0
1.0,16.0,30.0,up,0.06219631345577359,0.08522621635489297,0.022772926705144688,0.0
1.0,16.0,30.0,pu,-0.06086896021598641,-0.06777403407196347,0.022772926705144688,0.0
1.0,16.0,30.0,pp,-0.0521022372221113,-0.01227460461704991,0.9420037688044258,0.0
1.0,16.0,31.0,uu,0.26253556219568014,0.2670353336730774,1.0182736831533223,0.0
1.0,16.0,31.0,up,0.05200576614391703,0.08152267414896944,0.017258002388438193,0.0
1.0,16.0,31.0,pu,-0.05053193618402162,-0.06084828830347874,0.017258002388438193,0.0
1.0,16.0,31.0,pp,-0.06079518800477339,-0.026047902956196203,0.9393668452011258,0.0
1.0,16.0,32.0,uu,0.254423979110264,0.2565629019491007,1.0232999864377328,0.0
1.0,16.0,32.0,up,0.040912419423865226,0.07597347185311017,0.006588549515393989,0.0
1.0,16.0,32.0,pu,-0.03932442218010403,-0.05602837964894123,0.006588549515393989,0.0
1.0,16.0,32.0,pp,-0.06234959547438548,-0.0333314331251623,0.9467365805596952,0.0
1.0,16.0,33.0,uu,0.2483021215204155,0.2467511633921515,1.0248361271133244,0.0
1.0,16.0,33.0,up,0.030076332395209862,0.0697337392756109,0.007879112623773957,0.0
1.0,16.0,33.0,pu,-0.028407824106420825,-0.051200171003091405,0.007879112623773957,0.0
1.0,16.0,33.0,pp,-0.058250213466998595,-0.034706419544557124,0.9695132142828182,0.0
1.0,16.0,34.0,uu,0.24403651595582884,0.2382989459070181,1.027371865319339,0.0
1.0,16.0,34.0,up,0.020345668923131673,0.06370718022028456,0.00617004561518537,0.0
1.0,16.0,34.0,pu,-0.018647016629978426,-0.039253397216598374,0.00617004561518537,0.0
1.0,16.0,34.0,pp,-0.05019280782662475,-0.032976445220788256,1.0018996415136803,0.0
1.0,16.0,35.0,uu,0.24137240193746884,0.23178205476040822,1.029526114645375,0.0
1.0,16.0,35.0,up,0.012245529157794229,0.05793197562862203,0.007970654799904808,0.0
1.0,16.0,35.0,pu,-0.010580995355345244,-0.031537354261229195,0.007970654799904808,0.0
1.0,16.0,35.0,pp,-0.03998284487516862,-0.028833113541959082,1.024832288681445,0.0
1.0,16.0,36.0,uu,0.23998512758627744,0.22678407997292238,1.0340814854539953,0.0
1.0,16.0,36.0,up,0.006033157618815559,0.05331855583572576,0.020371622369804623,0.0
1.0,16.0,36.0,pu,-0.004440911068341571,-0.020959895555567973,0.020371622369804623,0.0
