replicate,temperature,lag,block_size,block_count,calibration_jump_count,raw_calibration_jump_msd,raw_calibration_jump_fourth_moment,calibration_green_kubo_factor,calibration_block_asymptotic_green_kubo_factor,calibration_block_finite_green_kubo_factor,event_correlation_lag_count,correlated_jump_kernel_maximum_count,correlated_jump_kernel_minimum_samples,kernel_mode,count_tail_probability,predicted_event_msd,predicted_event_fourth_moment,predicted_mean_count,predicted_count_variance,heldout_events_used_in_prediction,macro_fit_parameter_count,jump_direction_correlation_included,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_event_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_event_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_event_fs_k7p25,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error
4.0,0.58,20.0,20.0,1.0,34685.0,0.323865617042664,0.22318435655576133,1.0992456137255078,0.6812197397111386,1.0,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.15625986749221701,0.06348322365901693,0.2899195191767822,0.31937399238135183,0.0,0.0,1.0,0.0,0.9036862459471848,0.9001075441842998,0.003578701762884995,0.9036862459471848,0.6866457487018272,0.6774505577711958,0.00919519093063137,0.6866457487018272,0.3503930138211814,0.3392101016963562,0.011182912124825195,0.3503930138211814,0.15625986749221701,0.16256532270096183,0.038787209375173215,0.5599666685478926,0.5555990680179845,0.004367600529908033
4.0,0.58,100.0,20.0,5.0,34685.0,0.323865617042664,0.22318435655576133,1.0992456137255078,0.6812197397111386,0.7356262782371916,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.5747443160017205,0.6192068876506046,1.449597595883911,1.869250531250029,0.0,0.0,1.0,0.0,0.6877300854486402,0.6829333146637871,0.004796770784853077,0.6877300854486402,0.24496498891579907,0.2707881818713311,0.02582319295553201,0.24496498891579907,0.018095716761816073,0.04724884333668998,0.029153126574873907,0.018095716761816073,0.5747443160017205,0.6061875301316144,0.05187044036202304,0.12470249605880968,0.3029036268488876,0.17820113079007793
4.0,0.58,200.0,20.0,10.0,34685.0,0.323865617042664,0.22318435655576133,1.0992456137255078,0.6812197397111386,0.7062753420408048,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,1.103624899808497,2.162412684707462,2.899195191767822,3.9860164392159767,0.0,0.0,1.0,0.0,0.4873536812872239,0.47982890295348035,0.0075247783337435425,0.4873536812872239,0.06720177418290099,0.08817574106473175,0.020973966881830758,0.06720177418290099,0.000450145338391205,0.00246429959643711,0.0020141542580459047,0.000450145338391205,1.103624899808497,1.1822063890931207,0.06647019506036012,0.06523848888522754,0.19788664853935933,0.1326481596541318
4.0,0.58,400.0,20.0,20.0,34685.0,0.323865617042664,0.22318435655576133,1.0992456137255078,0.6812197397111386,0.6937475408759717,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,2.1680978802335633,8.097041601693626,5.798390383535644,8.281698693000465,0.0,0.0,1.0,0.0,0.24372455505841195,0.23670465183516248,0.0070199032232494685,0.24372455505841195,0.004990580325773171,0.010364557165827444,0.005373976840054273,0.004990580325773171,2.706411156228959e-07,0.0004242822672751919,0.000424011626159569,2.706411156228959e-07,2.1680978802335633,2.3617796249648366,0.082006696426707,0.03352229920670968,0.12555946277382724,0.09203716356711755
4.0,0.58,600.0,20.0,30.0,34685.0,0.323865617042664,0.22318435655576133,1.0992456137255078,0.6812197397111386,0.6895716071543608,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,3.2325708550352394,17.808663710017264,8.697585575303467,12.581742111296222,0.0,0.0,1.0,0.0,0.12188600253398027,0.11523062554941144,0.006655376984568834,0.12188600253398027,0.0003706189462116768,0.006394974288393562,0.006024355342181886,0.0003706189462116768,1.6278095273965504e-10,0.0015659289135938244,0.0015659287508128716,1.6278095273965504e-10,3.2325708550352394,3.5538212136910325,0.09039575694415403,0.022554530830852793,0.07065457221193294,0.04810004138108015
5.0,0.58,20.0,20.0,1.0,35467.0,0.3227297814800958,0.2191159032619674,1.0723694230967218,0.6662401290800197,1.0,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.1598189697573374,0.0652979195214432,0.30489391252367476,0.3293288181069258,0.0,0.0,1.0,0.0,0.9015413665890563,0.8996730890832872,0.0018682775057690115,0.9015413665890563,0.680519155725787,0.6760951455733458,0.0044240101524412045,0.680519155725787,0.341818634430779,0.3389222005621746,0.0028964338686043867,0.341818634430779,0.1598189697573374,0.16319413863499047,0.020681924644378125,0.5338890289583906,0.5392127580820278,0.005323729123637211
5.0,0.58,100.0,20.0,5.0,35467.0,0.3227297814800958,0.2191159032619674,1.0723694230967218,0.6662401290800197,0.734296923713446,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.5867728516879555,0.641018347738413,1.5244695626183733,1.876352532206321,0.0,0.0,1.0,0.0,0.6821136460134765,0.6788948376156073,0.003218808397869144,0.6821136460134765,0.23705186945596937,0.2648503728038883,0.027798503347918918,0.23705186945596937,0.016450039411394935,0.04062371140805077,0.02417367199665583,0.016450039411394935,0.5867728516879555,0.6160653824346297,0.04754776291911267,0.11707333892418337,0.29163863009125746,0.1745652911670741
5.0,0.58,200.0,20.0,10.0,35467.0,0.3227297814800958,0.2191159032619674,1.0723694230967218,0.6662401290800197,0.6998970686708984,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,1.118568296831216,2.2123614809366536,3.0489391252367475,3.9653398298459024,0.0,0.0,1.0,0.0,0.48220286077673985,0.4751171482031416,0.007085712573598246,0.48220286077673985,0.06422020363501246,0.08306004158159243,0.018839837946579965,0.06422020363501246,0.0003929552496096807,0.004620013829607807,0.0042270585799981265,0.0003929552496096807,1.118568296831216,1.2006078376220666,0.06833167185826361,0.060919242622992975,0.1929264563771651,0.13200721375417213
5.0,0.58,400.0,20.0,20.0,35467.0,0.3227297814800958,0.2191159032619674,1.0723694230967218,0.6662401290800197,0.6830685988754591,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,2.1833462453087513,8.19299329130056,6.097878250473493,8.199829456617913,0.0,0.0,1.0,0.0,0.24082660835473668,0.23493487479618216,0.005891733558554518,0.24082660835473668,0.0047104700313730175,0.005639791099919599,0.0009293210685465819,0.0047104700313730175,2.2605483197529056e-07,-0.0013844117239013418,0.001384637778733317,2.2605483197529056e-07,2.1833462453087513,2.3594776603705245,0.07464847750841352,0.03121357710633288,0.12612791319837036,0.09491433609203748
5.0,0.58,600.0,20.0,30.0,35467.0,0.3227297814800958,0.2191159032619674,1.0723694230967218,0.6662401290800197,0.677459108943646,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,3.2481245670395182,17.952797734839354,9.146817375710242,12.438564777285237,0.0,0.0,1.0,0.0,0.12027606478882644,0.12123461318060241,0.0009585483917759763,0.12027606478882644,0.0003455256045586616,-0.0014092889854046425,0.001754814589963304,0.0003455256045586616,1.3017740160298536e-10,0.00849801781638048,0.008498017686203079,1.3017740160298536e-10,3.2481245670395182,3.49696192740812,0.07115815543151627,0.020981883062475504,0.10299190151785775,0.08201001845538225
