replicate,temperature,jump_count,sample_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
2.0,0.45,58.0,2807.0,1.4965572590941907,5.112423843011336,0.4145896369343301,0.10209278433018762,-0.0032952473581009116
2.0,0.45,59.0,2569.0,1.503204255315965,5.189491489341489,0.4142806599720227,0.09931334294674526,-0.003566570931348036
2.0,0.45,60.0,2350.0,1.5064667035471238,5.206173134249828,0.4148092938532288,0.10095851666885955,0.003358479316715517
3.0,0.45,0.0,3173.0,0.0,0.0,1.0,1.0,1.0
3.0,0.45,1.0,80085.0,0.06532154655713679,0.01701098631901802,0.9585702772202205,0.8548784856579812,0.6479121930733663
3.0,0.45,2.0,76912.0,0.09863543268541462,0.03844182236487712,0.9389377225985476,0.7984154548485222,0.5604746038102623
3.0,0.45,3.0,73820.0,0.13017596445324672,0.06368547884857774,0.92088961617463,0.7498272986432291,0.49146498718701276
3.0,0.45,4.0,70801.0,0.16022894741404148,0.09182038885772219,0.9041040635458192,0.7071449685884122,0.4363826507592356
3.0,0.45,5.0,67855.0,0.18875014711293112,0.12271711974731593,0.8885879122574323,0.670332972361771,0.3936755594148276
3.0,0.45,6.0,64974.0,0.21728742154920566,0.15789248649317647,0.8734656794186993,0.6362343409567558,0.35606736171016984
3.0,0.45,7.0,62161.0,0.2448759980986033,0.19635299887038954,0.8592980184941545,0.6062328338852412,0.32640854433863287
3.0,0.45,8.0,59428.0,0.2726075519924095,0.23829113393393525,0.8453107454575155,0.5779725218849421,0.29892809438838114
3.0,0.45,9.0,56768.0,0.29936917445456335,0.2812997911697303,0.8320713616038409,0.5524609040894184,0.2776916863541408
3.0,0.45,10.0,54174.0,0.3257820075858098,0.32590932597220945,0.8191884645636228,0.528133892433612,0.25727369839890285
3.0,0.45,11.0,51666.0,0.352404375804053,0.37362769232803383,0.8063987482045092,0.504948750598606,0.2385847715997434
3.0,0.45,12.0,49228.0,0.3768690996244261,0.41849507431200234,0.7948241533253682,0.48498109572085885,0.22332229695132744
3.0,0.45,13.0,46860.0,0.40230783097575984,0.46899184763686813,0.7831535722865494,0.465167957207341,0.2085004213718847
3.0,0.45,14.0,44569.0,0.42743055108577377,0.5220516549472345,0.7718416509323739,0.4466752497644696,0.19604640106631013
3.0,0.45,15.0,42353.0,0.4531314532695139,0.5791998459731788,0.7605020782186208,0.42901333913096384,0.18369354300832194
3.0,0.45,16.0,40215.0,0.47737777966729084,0.635323316139732,0.7500493350252702,0.4137689964141889,0.17341697667345968
3.0,0.45,17.0,38161.0,0.5017975782481865,0.6914232760331706,0.7394996973268114,0.39799504446417944,0.1642014245854373
3.0,0.45,18.0,36178.0,0.5246869999735788,0.7464018359264074,0.7298709973226873,0.3845781381527236,0.15713602907517538
3.0,0.45,19.0,34267.0,0.549216923595266,0.8070026677008286,0.7198191295091186,0.3710412433618406,0.1487300125060575
3.0,0.45,20.0,32437.0,0.5728845795258684,0.8680044184963234,0.7104593467386022,0.3595490581209061,0.14147830256998875
3.0,0.45,21.0,30689.0,0.5965190861578958,0.9298491070925462,0.7011258824093819,0.3476661707537208,0.13593796220966828
3.0,0.45,22.0,29004.0,0.6199677149661977,0.9950337099760678,0.6921262039878241,0.3373281048763445,0.1294166959343541
3.0,0.45,23.0,27386.0,0.6433391216185996,1.0637846888584224,0.6834128920359416,0.3273190230718919,0.12186318054796322
3.0,0.45,24.0,25840.0,0.6661585515392979,1.1377073860921134,0.6752653679772861,0.3186318087948036,0.116952098607217
3.0,0.45,25.0,24373.0,0.688528645092156,1.2127303628152861,0.6674181655547197,0.3105666648054231,0.11477235384072448
3.0,0.45,26.0,22976.0,0.7125308180250405,1.2938983089236507,0.6590811295426551,0.30133832081292716,0.10698902048095905
3.0,0.45,27.0,21650.0,0.7357330040435189,1.3751147093202045,0.6511699271409903,0.2931401208765659,0.10041665061123659
3.0,0.45,28.0,20377.0,0.7573062067684158,1.4514703996309615,0.6438039277953689,0.28571198309549883,0.09858079545983461
3.0,0.45,29.0,19180.0,0.7789593146700886,1.532737565519733,0.6367583250376819,0.27838451420169275,0.09426363269034509
3.0,0.45,30.0,18039.0,0.799175724902041,1.609927651474389,0.6301061230460383,0.27117650851933844,0.09134127961166867
3.0,0.45,31.0,16955.0,0.8216982823671733,1.6953537276178472,0.6229825031160049,0.26524671380933984,0.08902055291163034
