replicate,temperature,block_size,block_lag,lag_time,observed_identity_correlation,hmm_identity_correlation,poisson_identity_correlation,static_identity_correlation
3.0,0.58,50.0,5.0,250.0,0.012110051126726093,0.000529634789885758,0.0,0.019248183370770295
3.0,0.58,50.0,6.0,300.0,0.012714806146317849,0.00017174941093192557,0.0,0.019248183370770295
3.0,0.58,50.0,7.0,350.0,0.003396717996756565,5.5694717791907346e-05,0.0,0.019248183370770295
3.0,0.58,50.0,8.0,400.0,0.010705069721903123,1.8060624331047442e-05,0.0,0.019248183370770295
3.0,0.58,50.0,9.0,450.0,-0.004352911599150667,5.856680205220807e-06,0.0,0.019248183370770295
3.0,0.58,50.0,10.0,500.0,-0.013020167598660435,1.8991980785104972e-06,0.0,0.019248183370770295
3.0,0.58,50.0,11.0,550.0,0.01516410480915565,6.158699493618633e-07,0.0,0.019248183370770295
3.0,0.58,50.0,12.0,600.0,-0.008685727168563995,1.997136574740313e-07,0.0,0.019248183370770295
3.0,0.58,100.0,1.0,100.0,0.03312944180943349,0.02447141972657263,0.0,0.03927232421767701
3.0,0.58,100.0,2.0,200.0,0.0015048378910976282,0.003030455649396924,0.0,0.03927232421767701
3.0,0.58,100.0,3.0,300.0,0.03820127085863075,0.00037528110528828556,0.0,0.03927232421767701
3.0,0.58,100.0,4.0,400.0,0.006804406128543471,4.6473509029714505e-05,0.0,0.03927232421767701
3.0,0.58,100.0,5.0,500.0,-0.009488481684152276,5.755117993152996e-06,0.0,0.03927232421767701
3.0,0.58,100.0,6.0,600.0,0.02738418790879734,7.126938293800025e-07,0.0,0.03927232421767701
4.0,0.58,20.0,1.0,20.0,0.07670459593605282,0.053222270799610054,0.0,0.009284787363163426
4.0,0.58,20.0,2.0,40.0,0.04026183733543599,0.030713908651815943,0.0,0.009284787363163426
4.0,0.58,20.0,3.0,60.0,0.020219238894335127,0.01772461359688933,0.0,0.009284787363163426
4.0,0.58,20.0,4.0,80.0,0.009430761181148014,0.010228653432569854,0.0,0.009284787363163426
4.0,0.58,20.0,5.0,100.0,0.003643064796332683,0.005902828316775538,0.0,0.009284787363163426
4.0,0.58,20.0,6.0,120.0,-0.0009682566415080923,0.0034064485972688835,0.0,0.009284787363163426
4.0,0.58,20.0,7.0,140.0,0.005917313479760636,0.00196581899779424,0.0,0.009284787363163426
4.0,0.58,20.0,8.0,160.0,0.0021598439007536195,0.0011344496245113056,0.0,0.009284787363163426
4.0,0.58,20.0,9.0,180.0,0.0019418374927320685,0.0006546767286295951,0.0,0.009284787363163426
4.0,0.58,20.0,10.0,200.0,0.002538051512112839,0.0003778057744906744,0.0,0.009284787363163426
4.0,0.58,20.0,11.0,220.0,-2.0042756352103597e-05,0.00021802700019181003,0.0,0.009284787363163426
4.0,0.58,20.0,12.0,240.0,0.004117841335042882,0.00012582066242032225,0.0,0.009284787363163426
4.0,0.58,20.0,13.0,260.0,0.0011767193376414468,7.260953495650286e-05,0.0,0.009284787363163426
4.0,0.58,20.0,14.0,280.0,0.0024723112914190395,4.1902056984784e-05,0.0,0.009284787363163426
4.0,0.58,20.0,15.0,300.0,0.0037302748988401542,2.4181154453170595e-05,0.0,0.009284787363163426
4.0,0.58,20.0,16.0,320.0,0.002027659864311023,1.3954642630084387e-05,0.0,0.009284787363163426
4.0,0.58,20.0,17.0,340.0,0.001893287834943271,8.05305020943016e-06,0.0,0.009284787363163426
4.0,0.58,20.0,18.0,360.0,0.008860412747945065,4.6473148323978945e-06,0.0,0.009284787363163426
4.0,0.58,20.0,19.0,380.0,-0.002464177200149958,2.68190742510641e-06,0.0,0.009284787363163426
4.0,0.58,20.0,20.0,400.0,0.0050321284951710555,1.5476953243405896e-06,0.0,0.009284787363163426
4.0,0.58,20.0,21.0,420.0,0.006498604710702605,8.931556677019465e-07,0.0,0.009284787363163426
4.0,0.58,20.0,22.0,440.0,-0.0019155038968773877,5.154289957475894e-07,0.0,0.009284787363163426
4.0,0.58,20.0,23.0,460.0,-0.004765244701494146,2.97447644642864e-07,0.0,0.009284787363163426
4.0,0.58,20.0,24.0,480.0,-0.002448412753043537,1.7165332574132988e-07,0.0,0.009284787363163426
4.0,0.58,20.0,25.0,500.0,-0.0037954208725759987,9.905899330094423e-08,0.0,0.009284787363163426
4.0,0.58,20.0,26.0,520.0,-0.0033394845109344247,5.716570949859471e-08,0.0,0.009284787363163426
4.0,0.58,20.0,27.0,540.0,0.0032238259817817584,3.2989617939581593e-08,0.0,0.009284787363163426
4.0,0.58,20.0,28.0,560.0,0.0027037298867135587,1.9037897042567398e-08,0.0,0.009284787363163426
4.0,0.58,20.0,29.0,580.0,-0.01215348493984408,1.0986532928850079e-08,0.0,0.009284787363163426
4.0,0.58,20.0,30.0,600.0,0.006293567495943488,6.340191121257862e-09,0.0,0.009284787363163426
4.0,0.58,50.0,1.0,50.0,0.07680942761048362,0.05260989111422449,0.0,0.02299429483821459
4.0,0.58,50.0,2.0,100.0,0.01054704781193319,0.017475664081073414,0.0,0.02299429483821459
4.0,0.58,50.0,3.0,150.0,0.0045770922550161615,0.005804969913574803,0.0,0.02299429483821459
4.0,0.58,50.0,4.0,200.0,0.007920847851329906,0.001928262957057185,0.0,0.02299429483821459
4.0,0.58,50.0,5.0,250.0,0.004130461958131331,0.0006405197764873834,0.0,0.02299429483821459
4.0,0.58,50.0,6.0,300.0,0.007880021708391964,0.0002127643341225482,0.0,0.02299429483821459
4.0,0.58,50.0,7.0,350.0,0.004162962786373291,7.067488551698607e-05,0.0,0.02299429483821459
4.0,0.58,50.0,8.0,400.0,0.010105629297242206,2.347639449740715e-05,0.0,0.02299429483821459
4.0,0.58,50.0,9.0,450.0,-0.0037164308614726547,7.798259517030658e-06,0.0,0.02299429483821459
4.0,0.58,50.0,10.0,500.0,-0.01730311235870723,2.5903829270578877e-06,0.0,0.02299429483821459
4.0,0.58,50.0,11.0,550.0,-0.0002633082989833831,8.60459144010122e-07,0.0,0.02299429483821459
4.0,0.58,50.0,12.0,600.0,0.000860888793517763,2.8582258274515203e-07,0.0,0.02299429483821459
4.0,0.58,100.0,1.0,100.0,0.04731211455241553,0.027441225518890597,0.0,0.04760292081779539
4.0,0.58,100.0,2.0,200.0,0.023590271226911225,0.0037507892125678466,0.0,0.04760292081779539
4.0,0.58,100.0,3.0,300.0,0.01262531036011381,0.0005126746146024198,0.0,0.04760292081779539
4.0,0.58,100.0,4.0,400.0,0.017048944977641846,7.007465510913069e-05,0.0,0.04760292081779539
4.0,0.58,100.0,5.0,500.0,-0.02189480976601295,9.578116701705009e-06,0.0,0.04760292081779539
4.0,0.58,100.0,6.0,600.0,-0.001155498299664146,1.309179751346742e-06,0.0,0.04760292081779539
5.0,0.58,20.0,1.0,20.0,0.0735626820870324,0.048617856035119096,0.0,0.009335961494901112
5.0,0.58,20.0,2.0,40.0,0.028954607942245313,0.0318574255521862,0.0,0.009335961494901112
5.0,0.58,20.0,3.0,60.0,0.0137088974017313,0.020874955121015146,0.0,0.009335961494901112
5.0,0.58,20.0,4.0,80.0,0.008785233523896735,0.013678561395068293,0.0,0.009335961494901112
5.0,0.58,20.0,5.0,100.0,0.008039576269281968,0.008963039237880473,0.0,0.009335961494901112
5.0,0.58,20.0,6.0,120.0,0.0069512204042478315,0.005873137536872083,0.0,0.009335961494901112
5.0,0.58,20.0,7.0,140.0,0.0031224004702436474,0.003848442878754234,0.0,0.009335961494901112
5.0,0.58,20.0,8.0,160.0,0.013638080370577378,0.0025217377420590696,0.0,0.009335961494901112
5.0,0.58,20.0,9.0,180.0,0.010520070229191197,0.001652398499879431,0.0,0.009335961494901112
5.0,0.58,20.0,10.0,200.0,0.007491401972391807,0.001082753672939173,0.0,0.009335961494901112
5.0,0.58,20.0,11.0,220.0,0.003647016579937063,0.0007094871584238376,0.0,0.009335961494901112
5.0,0.58,20.0,12.0,240.0,-0.003060325981854494,0.00046489985723337284,0.0,0.009335961494901112
5.0,0.58,20.0,13.0,260.0,0.0062255621031721995,0.00030463113347359045,0.0,0.009335961494901112
5.0,0.58,20.0,14.0,280.0,0.010470028864049281,0.0001996131554732231,0.0,0.009335961494901112
5.0,0.58,20.0,15.0,300.0,0.010585022717160468,0.00013079888251616104,0.0,0.009335961494901112
5.0,0.58,20.0,16.0,320.0,0.010731732456770718,8.57075157542484e-05,0.0,0.009335961494901112
5.0,0.58,20.0,17.0,340.0,0.004185721137226241,5.6160864033812506e-05,0.0,0.009335961494901112
5.0,0.58,20.0,18.0,360.0,0.009962161339944835,3.680007081372014e-05,0.0,0.009335961494901112
5.0,0.58,20.0,19.0,380.0,1.609428251204399e-05,2.4113681924114847e-05,0.0,0.009335961494901112
5.0,0.58,20.0,20.0,400.0,0.00789785469573522,1.580077546265467e-05,0.0,0.009335961494901112
5.0,0.58,20.0,21.0,420.0,0.012789752065516085,1.0353645121757754e-05,0.0,0.009335961494901112
5.0,0.58,20.0,22.0,440.0,0.012898608596792961,6.784348499898747e-06,0.0,0.009335961494901112
5.0,0.58,20.0,23.0,460.0,0.007351017917723172,4.445524646325162e-06,0.0,0.009335961494901112
5.0,0.58,20.0,24.0,480.0,0.0030205245265495836,2.9129826366348084e-06,0.0,0.009335961494901112
5.0,0.58,20.0,25.0,500.0,0.009240836022167827,1.9087663473759584e-06,0.0,0.009335961494901112
5.0,0.58,20.0,26.0,520.0,-0.0009282201968343753,1.2507417390870354e-06,0.0,0.009335961494901112
5.0,0.58,20.0,27.0,540.0,-0.008060242360586823,8.195633268812761e-07,0.0,0.009335961494901112
5.0,0.58,20.0,28.0,560.0,0.011510816111114942,5.370285693503708e-07,0.0,0.009335961494901112
5.0,0.58,20.0,29.0,580.0,-0.0041115087372846065,3.51894325720951e-07,0.0,0.009335961494901112
5.0,0.58,20.0,30.0,600.0,-0.0074236069418606495,2.3058292154623384e-07,0.0,0.009335961494901112
5.0,0.58,50.0,1.0,50.0,0.06493284596038125,0.057701004996804764,0.0,0.022993135663301717
5.0,0.58,50.0,2.0,100.0,0.016368835354070865,0.025315973002326343,0.0,0.022993135663301717
5.0,0.58,50.0,3.0,150.0,0.01891599251751705,0.011107232691874367,0.0,0.022993135663301717
5.0,0.58,50.0,4.0,200.0,0.016225236312410598,0.0048732323288583805,0.0,0.022993135663301717
5.0,0.58,50.0,5.0,250.0,0.004406678458161011,0.0021381017207286845,0.0,0.022993135663301717
5.0,0.58,50.0,6.0,300.0,0.024792004249418572,0.0009380794223808103,0.0,0.022993135663301717
5.0,0.58,50.0,7.0,350.0,0.02141230119170317,0.00041157677119047696,0.0,0.022993135663301717
5.0,0.58,50.0,8.0,400.0,0.012042644968219204,0.00018057686219537675,0.0,0.022993135663301717
5.0,0.58,50.0,9.0,450.0,0.01802803730235296,7.922702504810985e-05,0.0,0.022993135663301717
5.0,0.58,50.0,10.0,500.0,0.016706036788643387,3.4760386362137866e-05,0.0,0.022993135663301717
5.0,0.58,50.0,11.0,550.0,-0.003784193215747209,1.525091292158681e-05,0.0,0.022993135663301717
5.0,0.58,50.0,12.0,600.0,-0.017930910507555863,6.691247402105071e-06,0.0,0.022993135663301717
5.0,0.58,100.0,1.0,100.0,0.060021083802378326,0.041620300597415644,0.0,0.05024927806629248
5.0,0.58,100.0,2.0,200.0,0.025036638368432194,0.009844933429306356,0.0,0.05024927806629248
5.0,0.58,100.0,3.0,300.0,0.0357265118107034,0.002328736526076222,0.0,0.05024927806629248
5.0,0.58,100.0,4.0,400.0,0.04325400696393861,0.0005508431160883574,0.0,0.05024927806629248
5.0,0.58,100.0,5.0,500.0,0.04422986745379845,0.0001302973243835314,0.0,0.05024927806629248
5.0,0.58,100.0,6.0,600.0,-0.01278879457679571,3.0820740507872604e-05,0.0,0.05024927806629248
