model,replicate,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_msd_mc_se,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_ngp_mc_se,shuffle_realizations,shuffle_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se
direction_randomized_path,2.0,0.45,3000.0,20.0,150.0,330977.0,5.910468083616591,0.43061894250681476,12.725518086151203,0.0,0.06671292101803883,1.4125656124190522,1.3458526914010134,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.029658370792766862,0.7881757849378997,0.7585174141451329,0.0,9.382240366740363e-06,0.5238939683641092,0.5238845861237424,0.0,2.296739506593708e-13,0.28726954685338274,0.2872695468531531,0.0
within_particle_time_shuffle,2.0,0.45,20.0,20.0,1.0,819250.0,0.03962103310375001,0.038152024480352674,0.03850408054109522,5.782411586589357e-19,0.6476841420797537,0.6641054641430317,0.016421322063278065,4.665411600623628e-17,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9741442483696383,0.975085284203826,0.0009410358341876979,2.031500120101559e-17,0.9025601834569954,0.9059230562568693,0.003362872799873906,6.993747673752627e-18,0.7256924666058178,0.7335770580014349,0.007884591395617147,1.3987495347505254e-17
within_particle_time_shuffle,2.0,0.45,100.0,20.0,5.0,806142.0,0.19521937529151487,0.052775278088095054,2.699068623866751,3.6650186906019534e-05,0.18387005234406906,1.6163795842344126,1.4325095318903436,0.0004430722849907322,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8792817001261608,0.9663158180281514,0.08703411790199056,2.0660066684833537e-05,0.6070147495263589,0.8792594732386941,0.2722447237123352,5.420078702445465e-05,0.21625879340029225,0.6847219017867405,0.4684631083864483,8.144500061395077e-05
within_particle_time_shuffle,2.0,0.45,200.0,20.0,10.0,789757.0,0.3831811626529725,0.06724485325845257,4.698297253772462,0.00011307796560193568,0.12557579479244857,2.1053026915279753,1.9797268967355268,0.0005008692628257823,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7776105228290358,0.9579937366175421,0.1803832137885063,5.5438239744557506e-05,0.38057287977159104,0.8562828584879376,0.47570997871634657,0.00011086236590890835,0.055301317919969686,0.6480499865399985,0.5927486686200287,0.00010649658040105274
within_particle_time_shuffle,2.0,0.45,500.0,20.0,25.0,740602.0,0.9032056795145678,0.1073797564638258,7.411321735664771,0.0004420487765841965,0.09177921926277581,2.3654625478366693,2.2736833285738935,0.0006462648147014711,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5563700088923326,0.9359506294503632,0.37958062055803066,0.00015269449141566555,0.11187290358856868,0.8005729633027215,0.6887000597141528,0.00016405043318922343,0.0018014385718576763,0.5679871984961697,0.5661857599243121,0.00011376024071946472
within_particle_time_shuffle,2.0,0.45,1000.0,20.0,50.0,658677.0,1.624265803534879,0.171315127140714,8.481158089447332,0.001303903813328086,0.08345029586307119,2.1878435702506227,2.1043932743875513,0.000864472823074842,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35447027787577845,0.9031995585846249,0.5487292807088464,0.00028139830745014095,0.02419311515592864,0.7283672041708552,0.7041740890149266,0.0001939999318046985,0.0002913413095604372,0.4797847508304132,0.4794934095208528,0.00012570250907680076
within_particle_time_shuffle,2.0,0.45,2000.0,20.0,100.0,494827.0,2.524250870409208,0.30417451341716534,7.298692885380838,0.002629095165121824,0.08629958030273298,1.7285262993440798,1.6422267190413469,0.001007824330292264,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20762007924566908,0.8413429351086408,0.6337228558629717,0.00037322565669117456,0.004768890312530907,0.6109579893966665,0.6061890990841355,0.000261049473699809,4.673944972142326e-06,0.3600406540179815,0.36003598007300935,0.00010712293659544997
within_particle_time_shuffle,2.0,0.45,3000.0,20.0,150.0,330977.0,2.6922675823360387,0.43061894250681476,5.252088137747058,0.0028819609905239244,0.1037927355856095,1.4125656124190522,1.3087728768334428,0.0012486712696476313,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19268097322428163,0.7881757849378997,0.5954948117136181,0.00042460859258946273,0.0040195353707013414,0.5238939683641092,0.5198744329934079,0.0002909154008626133,-0.00013934018245793353,0.28726954685338274,0.28740888703584067,0.00017593400050055117
contiguous_empirical_path,3.0,0.45,20.0,20.0,1.0,819250.0,0.038701481046824894,0.04088453535015432,0.05339560018556477,0.0,0.6583261924242398,0.6717795454013664,0.013453352977126576,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9747312076233644,0.9733464399062582,0.0013847677171061612,0.0,0.9046248687513617,0.8998300405768516,0.004794828174510157,0.0,0.7303169093988157,0.719625334776794,0.010691574622021638,0.0
contiguous_empirical_path,3.0,0.45,100.0,20.0,5.0,806142.0,0.05548425505650576,0.06145764487131366,0.09719522814965653,0.0,1.5880088494210058,1.5290982774510748,0.05891057196993099,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9646440279549452,0.9610112315857834,0.003632796369161806,0.0,0.8738632059393617,0.862271216767361,0.011591989172000772,0.0,0.6744008505626737,0.6509038936949388,0.023496956867734897,0.0
contiguous_empirical_path,3.0,0.45,200.0,20.0,10.0,789757.0,0.07285310788916476,0.08291711479064671,0.1213743016371478,0.0,1.9926223792751108,1.8615152201432474,0.13110715913186333,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9546132562166814,0.9487120659775828,0.005901190239098519,0.0,0.8459907588683788,0.8285185258267364,0.01747223304164247,0.0,0.6301642157899258,0.5978656138385857,0.032298601951340045,0.0
contiguous_empirical_path,3.0,0.45,500.0,20.0,25.0,740602.0,0.11876319823134433,0.1442378852338565,0.17661578274812761,0.0,2.217312099146689,1.8875616697620217,0.32975042938466714,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9294901870326577,0.9154651401493429,0.014025046883314851,0.0,0.7835806256835208,0.746495797190644,0.037084828492876865,0.0,0.5443485910036526,0.4861965894302254,0.0581520015734272,0.0
contiguous_empirical_path,3.0,0.45,1000.0,20.0,50.0,658677.0,0.19312298977003597,0.24403309580251992,0.20861967867539644,0.0,2.005954704861462,1.5499016636258744,0.45605304123558765,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.891755593067935,0.8653976751912258,0.026357917876709158,0.0,0.7007305764798966,0.6394261790931611,0.06130439738673543,0.0,0.44509315011747885,0.3638800632295381,0.08121308688794077,0.0
contiguous_empirical_path,3.0,0.45,2000.0,20.0,100.0,494827.0,0.34577512662131554,0.45236003499621646,0.235619639510799,0.0,1.4065307073489923,1.073065313621913,0.3334653937270793,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8197989323224194,0.7710587368632903,0.04874019545912911,0.0,0.5611761484216058,0.47164946591635304,0.08952668250525275,0.0,0.30354964406032264,0.21085493819329598,0.09269470586702666,0.0
