replicate,temperature,lag,calibration_msd,log_msd_slope,selected_debye_waller_lag,selected_debye_waller_factor,thermodynamic_claim_allowed
2.0,0.45,307.0,0.09488970786333084,0.5737551887598986,2.0,0.031991325318813324,0.0
2.0,0.45,349.0,0.10220716893672943,0.5872985167788549,2.0,0.031991325318813324,0.0
2.0,0.45,396.0,0.11018844693899155,0.6167926771518673,2.0,0.031991325318813324,0.0
2.0,0.45,450.0,0.11956264823675156,0.6465611462506518,2.0,0.031991325318813324,0.0
2.0,0.45,512.0,0.13010215759277344,0.6544888306719987,2.0,0.031991325318813324,0.0
3.0,0.45,1.0,0.030572043731808662,0.05992278263576206,2.0,0.03186860308051109,0.0
3.0,0.45,2.0,0.03186860308051109,0.026783451218607368,2.0,0.03186860308051109,0.0
3.0,0.45,3.0,0.031964343041181564,0.03467174442549048,2.0,0.03186860308051109,0.0
3.0,0.45,4.0,0.03246499225497246,0.08710018504699057,2.0,0.03186860308051109,0.0
3.0,0.45,5.0,0.03329220786690712,0.12997637028366782,2.0,0.03186860308051109,0.0
3.0,0.45,6.0,0.03417813032865524,0.11451818996549612,2.0,0.03186860308051109,0.0
3.0,0.45,7.0,0.03465322032570839,0.05804039857500065,2.0,0.03186860308051109,0.0
3.0,0.45,8.0,0.034795768558979034,0.07346055908968374,2.0,0.03186860308051109,0.0
3.0,0.45,9.0,0.035254254937171936,0.1146522406222017,2.0,0.03186860308051109,0.0
3.0,0.45,11.0,0.03611810505390167,0.09370756106670086,2.0,0.03186860308051109,0.0
3.0,0.45,12.0,0.03637682646512985,0.09497094896033786,2.0,0.03186860308051109,0.0
3.0,0.45,14.0,0.037043966352939606,0.12156227885177806,2.0,0.03186860308051109,0.0
3.0,0.45,16.0,0.037666160613298416,0.12924075942623503,2.0,0.03186860308051109,0.0
3.0,0.45,18.0,0.03826180472970009,0.13497167060017645,2.0,0.03186860308051109,0.0
3.0,0.45,21.0,0.039080094546079636,0.14219060459815047,2.0,0.03186860308051109,0.0
3.0,0.45,24.0,0.0398518443107605,0.1530222341205274,2.0,0.03186860308051109,0.0
3.0,0.45,27.0,0.04060434550046921,0.16628087054588825,2.0,0.03186860308051109,0.0
3.0,0.45,31.0,0.04159814864397049,0.17287823232382138,2.0,0.03186860308051109,0.0
3.0,0.45,35.0,0.04247037693858147,0.1896007874790655,2.0,0.03186860308051109,0.0
3.0,0.45,40.0,0.0436786413192749,0.20283190829288422,2.0,0.03186860308051109,0.0
3.0,0.45,45.0,0.04470101743936539,0.20614736425224933,2.0,0.03186860308051109,0.0
3.0,0.45,51.0,0.045928679406642914,0.23508790636582688,2.0,0.03186860308051109,0.0
3.0,0.45,58.0,0.04745526239275932,0.25787966333323453,2.0,0.03186860308051109,0.0
3.0,0.45,66.0,0.049086447805166245,0.26476768357379754,2.0,0.03186860308051109,0.0
3.0,0.45,75.0,0.05079692602157593,0.28038937924242013,2.0,0.03186860308051109,0.0
3.0,0.45,86.0,0.052880384027957916,0.31280071598005144,2.0,0.03186860308051109,0.0
3.0,0.45,97.0,0.05502036586403847,0.3277931947879722,2.0,0.03186860308051109,0.0
3.0,0.45,111.0,0.05749077722430229,0.34668805039971673,2.0,0.03186860308051109,0.0
3.0,0.45,126.0,0.06022331863641739,0.3771397475608058,2.0,0.03186860308051109,0.0
3.0,0.45,143.0,0.06325381249189377,0.39346930378846423,2.0,0.03186860308051109,0.0
3.0,0.45,162.0,0.06648153066635132,0.4088380403177503,2.0,0.03186860308051109,0.0
3.0,0.45,184.0,0.07012445479631424,0.43180975379176445,2.0,0.03186860308051109,0.0
3.0,0.45,210.0,0.07437429577112198,0.45278054898268927,2.0,0.03186860308051109,0.0
3.0,0.45,238.0,0.07878195494413376,0.479342489545429,2.0,0.03186860308051109,0.0
3.0,0.45,270.0,0.08389906585216522,0.5048478950926576,2.0,0.03186860308051109,0.0
3.0,0.45,307.0,0.08958914875984192,0.5275221553974099,2.0,0.03186860308051109,0.0
3.0,0.45,349.0,0.09606224298477173,0.5576152537718198,2.0,0.03186860308051109,0.0
3.0,0.45,396.0,0.1032479852437973,0.581849296500641,2.0,0.03186860308051109,0.0
3.0,0.45,450.0,0.11137700825929642,0.6015513634740639,2.0,0.03186860308051109,0.0
3.0,0.45,512.0,0.12050608545541763,0.6103280245226202,2.0,0.03186860308051109,0.0
