block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k5,fs_k7p25,fs_k9,temperature,block_size,origin_stride,overlap_radius
5.0,64.0,159.0,3277.0,1.181528610254419,0.11235701403971965,0.03351162955840497,0.07086499711506325,0.021353084724103185,0.0033885101302790687,0.0008248060073987866,0.7,699.0,4.0,0.3
5.0,128.0,143.0,3277.0,2.295596151584216,0.06546738280939102,0.012099587931141182,0.0129073314167134,0.0006924679810790759,0.00033375476834793727,-0.0007324798481631366,0.7,699.0,4.0,0.3
5.0,256.0,111.0,3277.0,4.5040250407512055,0.02186049696507464,0.004104501205508224,0.0038528908210307663,-0.0010854273571444214,-0.0001809609268454804,0.00030874336363753235,0.7,699.0,4.0,0.3
5.0,512.0,47.0,3277.0,8.788103102993633,0.03723589366406532,0.001246599445522955,0.0008937830687647959,-0.000547879436367933,-0.000764558930186562,0.0029681781518492924,0.7,699.0,4.0,0.3
6.0,1.0,175.0,3277.0,0.061958064570858215,0.16861027055707978,0.7849845241728063,0.6345626126434704,0.7765988675996555,0.5942698876561955,0.4556727082090473,0.7,699.0,4.0,0.3
6.0,2.0,175.0,3277.0,0.08444719686605073,0.2451292229702624,0.6756702558960722,1.5854516014522988,0.7131539403583091,0.504535021434462,0.3610021234720565,0.7,699.0,4.0,0.3
6.0,4.0,174.0,3277.0,0.12204132173795616,0.3090159802174246,0.5419222796291815,2.5861796525369107,0.6228007222687186,0.3932593876866432,0.2562812888281156,0.7,699.0,4.0,0.3
6.0,8.0,173.0,3277.0,0.1954250214635106,0.3121352435442315,0.3734700249241076,2.626790453202883,0.48382158699031413,0.2510290357584575,0.1399533483255106,0.7,699.0,4.0,0.3
6.0,16.0,171.0,3277.0,0.34083261356250155,0.24904702258438682,0.20674129632901292,1.6146253024216366,0.29869636756214935,0.10914869765196275,0.04601620580787471,0.7,699.0,4.0,0.3
6.0,32.0,167.0,3277.0,0.6274416767332196,0.16718597275687141,0.09022236272039381,0.4934401168554188,0.11873275266347946,0.023452388420749568,0.006609652580640746,0.7,699.0,4.0,0.3
6.0,64.0,159.0,3277.0,1.1984442996732518,0.10065771924887024,0.03232170857299685,0.058858745068868096,0.0186632506513151,0.0019681435363127775,0.0010588381493103142,0.7,699.0,4.0,0.3
6.0,128.0,143.0,3277.0,2.360050744579009,0.05732502586711674,0.011192652327836948,0.013194745315843628,0.002433304670023415,0.00010417722506836069,-0.00041075076620468383,0.7,699.0,4.0,0.3
6.0,256.0,111.0,3277.0,4.659779656564846,0.02114506726546672,0.003791096558871963,0.0036539108201554893,0.0009780212647727334,-0.0016329433610058565,0.0003218552765747967,0.7,699.0,4.0,0.3
6.0,512.0,47.0,3277.0,9.377586023191059,-0.006405702210529385,0.0016686252994760386,0.001829008938245116,0.0012628667455930032,-0.0014270333225828327,0.0008611975716138156,0.7,699.0,4.0,0.3
7.0,1.0,175.0,3277.0,0.061609452735094584,0.16675725994296542,0.7869340424604385,0.6131178317649916,0.7776533212617356,0.5958495892568043,0.45742920442555357,0.7,699.0,4.0,0.3
7.0,2.0,175.0,3277.0,0.08392875017077049,0.24595020156626823,0.6795379048781551,1.570668005206355,0.7145748531312284,0.5064073605242931,0.36281208725891595,0.7,699.0,4.0,0.3
