q_over_A,t_over_t_peak,alpha_over_alpha_peak,predicted_t_peak,predicted_alpha_peak
0.6,0.12987124463519314,0.05748507985995577,13.69700402475259,0.15
0.6,0.13557939914163092,0.06402219217474414,13.69700402475259,0.15
0.6,0.1412875536480687,0.07092366105999541,13.69700402475259,0.15
0.6,0.14699570815450647,0.0781819409561487,13.69700402475259,0.15
0.6,0.1527038626609442,0.08578845726330868,13.69700402475259,0.15
0.6,0.15841201716738199,0.09373370232499698,13.69700402475259,0.15
0.6,0.16412017167381976,0.10200732616578723,13.69700402475259,0.15
0.6,0.16982832618025753,0.11059822293013907,13.69700402475259,0.15
0.6,0.1755364806866953,0.1194946137145229,13.69700402475259,0.15
0.6,0.18124463519313305,0.12868412626156162,13.69700402475259,0.15
0.6,0.18695278969957083,0.13815387180132976,13.69700402475259,0.15
0.6,0.1926609442060086,0.14789051918229953,13.69700402475259,0.15
0.6,0.19836909871244637,0.15788036632955324,13.69700402475259,0.15
0.6,0.20407725321888415,0.16810940899590232,13.69700402475259,0.15
0.6,0.2097854077253219,0.1785634067265433,13.69700402475259,0.15
0.6,0.21549356223175967,0.18922794593435083,13.69700402475259,0.15
0.6,0.22120171673819744,0.20008849997569467,13.69700402475259,0.15
0.6,0.22690987124463521,0.21113048612140548,13.69700402475259,0.15
0.6,0.232618025751073,0.22233931933050383,13.69700402475259,0.15
0.6,0.23832618025751073,0.23370046275284534,13.69700402475259,0.15
0.6,0.2440343347639485,0.24519947490839894,13.69700402475259,0.15
0.6,0.24974248927038628,0.25682205351397425,13.69700402475259,0.15
0.6,0.255450643776824,0.2685540759515452,13.69700402475259,0.15
0.6,0.26115879828326183,0.28038163639473535,13.69700402475259,0.15
0.6,0.2668669527896996,0.2922910796314593,13.69700402475259,0.15
0.6,0.2725751072961374,0.30426903164002245,13.69700402475259,0.15
0.6,0.2782832618025751,0.31630242699359695,13.69700402475259,0.15
0.6,0.2839914163090129,0.32837853318337995,13.69700402475259,0.15
0.6,0.28969957081545067,0.34048497196397687,13.69700402475259,0.15
0.6,0.2954077253218884,0.3526097378357977,13.69700402475259,0.15
0.6,0.3011158798283262,0.3647412137883407,13.69700402475259,0.15
0.6,0.30682403433476396,0.37686818443553705,13.69700402475259,0.15
0.6,0.31253218884120176,0.38897984667977337,13.69700402475259,0.15
0.6,0.3182403433476395,0.4010658180449944,13.69700402475259,0.15
0.6,0.32394849785407726,0.4131161428216531,13.69700402475259,0.15
0.6,0.32965665236051506,0.4251212961671591,13.69700402475259,0.15
0.6,0.3353648068669528,0.43707218630529326,13.69700402475259,0.15
0.6,0.3410729613733906,0.44896015496668146,13.69700402475259,0.15
0.6,0.34678111587982835,0.4607769762101214,13.69700402475259,0.15
0.6,0.3524892703862661,0.47251485376158386,13.69700402475259,0.15
