model,replicate,realization,temperature,block_size,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,2.0,8.0,0.58,20.0,3560309.0,0.004742797691245082,0.004463974142309146,0.0008500971499594834,2.040389186908076e-05,0.0003555603833326204,0.0021915868908627956,0.000567477931730842,0.0027734353039353676,0.0027734353039353676,0.0018343007453502647,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,9.0,0.58,20.0,3657718.0,0.0005382831522109388,0.004349668074909663,0.002475439628539605,0.0003716731997747136,0.003727956506719754,0.003314063839871262,0.0039038755776826806,0.003353184225776684,0.0039038755776826806,0.0025082905647303144,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,10.0,0.58,20.0,3755127.0,0.002175827923261986,0.006609174471590595,0.0004563285405801698,0.00011403802922249628,0.0015228842183570013,0.002393738774140064,0.0009204443451481525,2.664136477681378e-05,0.002393738774140064,0.001783768903760613,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,11.0,0.58,20.0,3852536.0,0.003577977422004386,0.0008208611353257567,0.0014160769722136868,0.000635172751907942,0.0012080097854945127,0.003608385620063548,0.004896642063561163,0.0013203494566615959,0.004896642063561163,0.0005248463190214159,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,12.0,0.58,20.0,3949945.0,0.006706575908779433,0.005423011346416207,0.0028447491214819154,0.00036748986303414277,0.0036299671320428883,0.003706767690334345,0.007556156201897923,0.0013417143007316001,0.007556156201897923,0.0033237084245433257,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,13.0,0.58,20.0,4047354.0,0.001324506447345497,0.0032891367699714458,0.0018111444788526943,0.0015747961069193517,0.0008052444893479338,0.0006023175744595544,0.005235217270057935,0.0013313215580109672,0.005235217270057935,0.0007580294760409501,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,14.0,0.58,20.0,4144763.0,0.0016548365021809008,0.0022006430574839086,0.0023406259149588993,0.00020615036235083206,0.0009612511977540317,0.0030109079445398423,0.005193679844888999,0.004764091203793841,0.005193679844888999,0.0009220556001343638,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,15.0,0.58,20.0,4242172.0,0.0016830212945850853,0.0038028185464000774,6.417104531977746e-05,0.00016417368505072805,0.0018190332227535633,0.0020416876253475658,0.0011724657403982541,0.003391123351254577,0.003391123351254577,0.0013149258562532573,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,0.0,0.58,20.0,3781040.0,0.0022381389136503227,0.002893218147755783,0.001826151445531221,0.0004971915769108604,0.0016368639974472243,0.005831156548325445,0.001599380766077907,0.0009694372539034157,0.005831156548325445,0.0007605290588264813,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,1.0,0.58,20.0,3878449.0,0.0017033185936545792,0.0006491342683954127,0.00036508794598641425,0.0008189891579003516,0.001115792478078359,0.00341563770259129,0.0014803096566654572,0.0014344255924483296,0.00341563770259129,0.001073744335551241,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,2.0,0.58,20.0,3975858.0,0.0013833931336100225,0.0007083995717804825,0.0016713916699421516,0.0012328483723346162,0.0008263259402625511,0.0035345318848412077,0.00295414736099886,0.0011731534462859905,0.0035345318848412077,0.0009690913419318214,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
