model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_base_seed,calibration_path_used_in_kernel,heldout_path_used_in_prediction,heldout_events_used_in_calibration,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_recoil_markov_surrogate,1.0,6.0,0.45,2000.0,20.0,100.0,494827.0,1.6073517216113076,0.38494087781746295,3.175580755997304,0.14761600441548683,1.5320813966552245,1.3844653922397376,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659812530064654,0.8061233874084176,0.4401421344019522,0.034832542286493046,0.5436221107653332,0.5087895684788402,-0.0018683047183395691,0.29754222992878293,0.2994105346471225
radial_recoil_markov_surrogate,1.0,6.0,0.45,3000.0,20.0,150.0,330977.0,2.3937626416840585,0.5507382500974113,3.346461574551366,0.14109496750570671,1.3301724324025965,1.1890774648968898,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340142258051596,0.7425593344166428,0.5085451086114832,0.007970368700395726,0.44897180267658227,0.4410014339761865,-0.00033045755773560893,0.22221602781950803,0.22254648537724364
radial_recoil_markov_surrogate,1.0,7.0,0.45,20.0,20.0,1.0,819250.0,0.039372077886475954,0.039439034265083064,0.0016977185130111483,0.6681755225368495,0.6894572448102572,0.021281722273407633,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743107232270313,0.9742726065504118,3.811667661945961e-05,0.9032304629022272,0.9031194881740169,0.00011097472821031129,0.7275583744297285,0.7273620752980499,0.00019629913167862334
radial_recoil_markov_surrogate,1.0,7.0,0.45,100.0,20.0,5.0,806142.0,0.09592004037527833,0.0570676716703697,0.6808122281442457,0.48908155781074125,1.6297339342658397,1.1406523764550984,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389347070635841,0.9637263303218477,0.024791623258263673,0.7843225799367164,0.8712844740845151,0.08696189414779876,0.47660691389642534,0.6701586799370863,0.193551766040661
radial_recoil_markov_surrogate,1.0,7.0,0.45,200.0,20.0,10.0,789757.0,0.17487695697538042,0.07543971565197483,1.3181020164781407,0.3212437290233827,2.0528096750212144,1.7315659459978316,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917700906574516,0.9531991465279716,0.061429055870519944,0.644811849022754,0.8424536039827798,0.19764175496002578,0.2662871548955362,0.6251232912663965,0.3588361363708603
radial_recoil_markov_surrogate,1.0,7.0,0.45,500.0,20.0,25.0,740602.0,0.4130060921286773,0.12726889615088294,2.2451455510311034,0.18595639196806335,2.240207131422164,2.0542507394541007,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642509382900232,0.9252086699236458,0.1609577316336226,0.3625237088028835,0.7741688168233672,0.41164510802048376,0.05109641233416646,0.533395281820343,0.48229886948617656
radial_recoil_markov_surrogate,1.0,7.0,0.45,1000.0,20.0,50.0,658677.0,0.8084473961513633,0.21371648432894896,2.782803178191038,0.14222983633826458,2.035011317785304,1.8927814814470396,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5943158929493692,0.8825336715723144,0.2882177786229453,0.14690476302626676,0.6840225543370759,0.5371177913108092,0.005559563532017627,0.43196745142274323,0.4264078878907256
radial_recoil_markov_surrogate,1.0,7.0,0.45,2000.0,20.0,100.0,494827.0,1.5895709701904588,0.38494087781746295,3.1293898928142037,0.12952494789334867,1.5320813966552245,1.4025564487618758,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36888776461402123,0.8061233874084176,0.4372356227943964,0.03212474865157467,0.5436221107653332,0.5114973621137585,-0.0009760135472267728,0.29754222992878293,0.2985182434760097
radial_recoil_markov_surrogate,1.0,7.0,0.45,3000.0,20.0,150.0,330977.0,2.3581299637889632,0.5507382500974113,3.2817617323145276,0.12201500666510046,1.3301724324025965,1.208157425737496,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323185687794899,0.7425593344166428,0.5102407656371529,0.0048395626373915835,0.44897180267658227,0.44413224003919066,-0.0032960866682701603,0.22221602781950803,0.2255121144877782
radial_recoil_markov_surrogate,1.0,8.0,0.45,20.0,20.0,1.0,819250.0,0.039272169189753715,0.039439034265083064,0.004230962508052105,0.6791837628206796,0.6894572448102572,0.01027348198957756,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743745775536622,0.9742726065504118,0.00010197100325037844,0.9034450991395325,0.9031194881740169,0.0003256109655156436,0.7279701072611456,0.7273620752980499,0.0006080319630957787
radial_recoil_markov_surrogate,1.0,8.0,0.45,100.0,20.0,5.0,806142.0,0.09578830473778241,0.0570676716703697,0.6785038172061431,0.49590233355304303,1.6297339342658397,1.1338316007127967,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390237457278688,0.9637263303218477,0.024702584593978894,0.7846120149152175,0.8712844740845151,0.08667245916929767,0.47723549327429243,0.6701586799370863,0.1929231866627939
radial_recoil_markov_surrogate,1.0,8.0,0.45,200.0,20.0,10.0,789757.0,0.17478614075720672,0.07543971565197483,1.3168981914452806,0.3453169521597659,2.0528096750212144,1.7074927228614485,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919142589448472,0.9531991465279716,0.06128488758312434,0.6454033787074003,0.8424536039827798,0.19705022527537952,0.2671447209905096,0.6251232912663965,0.3579785702758869
