parent_group,clone_index,target_slot,a_particle_index,source_trajectory,parent_restart_sha256,first_passage_tau,escaped_within_horizon,log_u_squared,log_p_squared,cos_u_p,log_gram_eigenvalue_1,log_gram_eigenvalue_2,log_gram_eigenvalue_3,log_b_squared,cos_u_b,cos_p_b,geometry_heldout_rate,kinematic_heldout_rate,full_heldout_rate,geometry_heldout_event_probability,kinematic_heldout_event_probability,full_heldout_event_probability,thermodynamic_claim_allowed
2,2,21,1394,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-6.212478617385866,-0.9716145301608633,-0.6191000581579715,-1.2268867569525543,-1.1489572841782316,-0.9091845240430866,6.037878930485639,-0.4948633339192532,0.9195390838221076,0.05679224518843309,0.05691067616819752,0.05818333856533781,0.6788493347339792,0.6796091183184036,0.6876611963799469,False
2,2,22,1438,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,18.150000000000002,True,-5.2633928660657165,-1.5513998913329974,-0.8133468589162117,-1.501607146157772,-0.9934022419879542,-0.9649228852202463,7.443095336024256,-0.7361829265820734,0.895294191980554,0.042577348959222244,0.042247069538162464,0.04116634662507905,0.5732457588848747,0.5704174650225671,0.5610311971264862,False
2,2,23,1470,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,8.55,True,-6.167888666468124,-0.20241429342922593,-0.9923285233483684,-1.2666942292083485,-1.1412531402473647,-0.9437685326595607,7.864709039404207,-0.9105156501784805,0.9207421408603831,0.054293688009922736,0.05547752801302348,0.0530738431838957,0.6623933302876258,0.6702928887413893,0.6540554800262108,False
2,2,24,1480,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-7.26723101085831,-0.6198495143769172,-0.6439226982415783,-1.3080416529553702,-1.0996400634358376,-0.611783185182779,5.838672225721676,0.9360871900390172,-0.6102163941616028,0.050038121488836636,0.050496942383069635,0.055126048600627225,0.6324009341719176,0.6357587469050786,0.6679670181282191,False
2,2,25,1576,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-7.880053897324717,-1.2530273142274706,0.8032969402739444,-1.241095435178717,-1.1763165750301074,-0.46998022756781693,7.33448509807139,0.6497684506858308,0.14133962226693247,0.05393365209129912,0.05318061052398882,0.05676109520006971,0.6599535461812003,0.6547934034089983,0.6786491956074193,False
2,2,26,1583,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-5.5701292230098876,-0.0946505756709058,0.043907625787858826,-1.5219392325907986,-0.9222153004860844,-0.7634171141958127,5.294806801886369,0.27841038257406964,0.5479783957976083,0.040940406621489775,0.04166957963844834,0.04521950246003206,0.5590430963365636,0.5654271102017427,0.5952112889826091,False
2,2,27,1663,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-6.139616899989634,-0.44839171181196286,-0.629615527941171,-1.185989183911313,-1.0117426566667163,-0.7126566884110898,6.3253673899294585,-0.19940991159377577,0.048568922470660345,0.058170039443181415,0.05882979138957038,0.05990407345543903,0.6875781086924332,0.6916734492019222,0.6982273830214083,False
2,2,28,1725,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-7.94940559886621,-0.05492545103670638,0.3635122965918981,-1.3114340815728867,-0.889785110264181,-0.45031201473924226,7.386129801620904,-0.7066395884241279,0.17966375155040615,0.04571420963472182,0.04637312808990215,0.04421302860180016,0.5991965785493646,0.6044438627106516,0.5869805414657723,False
2,2,29,1737,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,13.700000000000001,True,-5.841661675502106,-1.8297024633568877,-0.12960596571114455,-1.194707945053797,-1.0464337939935446,-0.637042074918335,5.6921760474869165,-0.6062699110928054,0.855402986109846,0.0597234011882617,0.058403149523844865,0.05960606929300672,0.6971349716680514,0.6890312923882084,0.6964234225649146,False
2,2,30,1809,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-7.476903016203845,-1.034750511222029,-0.1412884540946646,-1.1545722783492611,-0.9288246340855976,-0.70871501417411,7.061796948381329,-0.25886845067362396,-0.9193657951304208,0.054403279753549964,0.05419569468236694,0.05284096097183017,0.6631324979968021,0.6617310174578417,0.6524404352927243,False
