temperature,model,segment_length,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
0.45,cross_particle_segment_splice,5.0,3000.0,3.0,1.7384644012022725,0.5428630069869955,2.202399829841266,0.003472799830146288,0.05082041152234559,1.188746539691488,1.1379261281691424,0.0007669773354482918,0.0,0.0,0.0,0.0,0.0,0.32421371160087753,0.7409790220423944,0.4167653104415169,0.00040652918365616594,0.014828619121929005,0.44362214992805216,0.42879353080612315,0.0002590424855062863,0.00022702724200956203,0.2129683136864647,0.21274128644445514,0.0001410439895666351,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,20.0,3.0,0.03920546825791093,0.03949186469853002,0.007252036408140317,1.3044159125581358e-18,0.6597200437066787,0.6751140847848851,0.01539404107820641,8.722735881576528e-18,0.0,0.0,0.0,0.0,0.0,0.9744123101212961,0.9742347768868321,0.00017753323446401126,1.069901173351115e-17,0.9035299285874975,0.9029575283359126,0.0005724002515848925,8.953332534318493e-18,0.7279802454344745,0.7268548226920929,0.0011254227423815877,4.5519096251916136e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,100.0,3.0,0.07092059264723805,0.057100198209926144,0.24203759129700186,0.0001424989997316681,1.071469384159453,1.591737265317109,0.520267881157656,0.0004494520274832138,0.0,0.0,0.0,0.0,0.0,0.9548892761278492,0.9636844599785942,0.008795183850744959,4.804978424904105e-06,0.8402626506551863,0.87093838803019,0.03067573737500362,1.4131532738320837e-05,0.6006860541213555,0.6685948251395887,0.06790877101823323,2.3498590399919086e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,200.0,3.0,0.10894915401633028,0.07520056123369138,0.4487811291429409,0.00033726768138985923,0.8935221072207037,2.006542528897479,1.1130204216767754,0.0006668112372437109,0.0,0.0,0.0,0.0,0.0,0.9319746963833312,0.9533016497076988,0.021326953324367626,1.4706501841827525e-05,0.7694575402743516,0.8424183294324846,0.07296078915813298,4.144570668711448e-05,0.46928544072493744,0.623679630548327,0.15439418982338954,6.217425948679344e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,500.0,3.0,0.2220001171367739,0.1262955126161884,0.7577830956783986,0.0008002521299149929,0.553902981517356,2.164410449673618,1.6105074681562621,0.0009204270071958274,0.0,0.0,0.0,0.0,0.0,0.8672586025467844,0.9255414798411173,0.0582828772943329,5.418584599712461e-05,0.5942470966493932,0.7737458591055776,0.17949876245618435,0.00012668884943410768,0.2314629029583725,0.5291930232489127,0.29773012029054025,0.00012764895715413919,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,1000.0,3.0,0.4109603730506912,0.2096882357573943,0.9598637547132847,0.0014588952003031814,0.32273103429697014,1.9242521838872673,1.601521149590297,0.0009723237140504256,0.0,0.0,0.0,0.0,0.0,0.7688618561876993,0.8837103017827217,0.11484844559502239,0.00014646436280223583,0.38511325488502085,0.6839386458670308,0.29882539098200994,0.0002655340927038216,0.06978136327024857,0.4252107551608982,0.3554293918906496,0.00016723395768961072,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,2000.0,3.0,0.7871110175456053,0.3804918087436149,1.0686674442339466,0.0024839924227307523,0.17483728157898812,1.444557669873739,1.269720388294751,0.0011028902132421273,0.0,0.0,0.0,0.0,0.0,0.6049722329876797,0.8061750197934496,0.20120278680576997,0.0003634403035044246,0.16243650684693858,0.5420765220261176,0.379640015179179,0.00039223776400040085,0.006798222331183765,0.2894792740466868,0.282681051715503,0.0001374492029181478,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,3000.0,3.0,1.1634108044266374,0.5428630069869955,1.1431020155228726,0.002877823375870623,0.11966030867886455,1.188746539691488,1.0690862310126235,0.0012557995949910655,0.0,0.0,0.0,0.0,0.0,0.4759007639180894,0.7409790220423944,0.265078258124305,0.000485497702600572,0.06813482143566817,0.44362214992805216,0.375487328492384,0.0003642527095098042,0.0005666394792339641,0.2129683136864647,0.21240167420723075,0.00017600781214556924,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,25.0,20.0,3.0,0.03920546825791093,0.03949186469853002,0.007252036408140317,9.223613372574965e-19,0.6597200437066787,0.6751140847848851,0.01539404107820641,8.405438615124031e-18,0.0,0.0,0.0,0.0,0.0,0.9744123101212961,0.9742347768868321,0.00017753323446401126,9.196623068530353e-18,0.9035299285874975,0.9029575283359126,0.0005724002515848925,8.40543861512403e-18,0.7279802454344745,0.7268548226920929,0.0011254227423815877,4.438566286913627e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,25.0,100.0,3.0,0.06192960550739854,0.057100198209926144,0.08457776765883218,0.00015232741144542895,1.3627745432668543,1.591737265317109,0.22896272205025459,0.00040205246722498366,0.0,0.0,0.0,0.0,0.0,0.9605912752203393,0.9636844599785942,0.00309318475825493,5.212878087088904e-06,0.8600078967130966,0.87093838803019,0.010930491317093338,1.5792292068499666e-05,0.6442382537651543,0.6685948251395887,0.024356571374434366,2.6558446648929006e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
