held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,39.0,up,-0.0019098610476532274,0.02547321244126807,-0.01657210299851675,0.0
1.0,40.0,39.0,pu,0.0032965779267470512,-0.025229385788846138,-0.01657210299851675,0.0
1.0,40.0,39.0,pp,-0.002860666241663895,0.003197180585045612,1.0259837585145717,0.0
1.0,40.0,40.0,uu,0.2406534207361794,0.23093339872140484,0.9761406990923095,0.0
1.0,40.0,40.0,up,-0.0019405631148251977,0.02618476153976873,-0.005688562872680622,0.0
1.0,40.0,40.0,pu,0.0032788378396420006,-0.02325441628652309,-0.005688562872680622,0.0
1.0,40.0,40.0,pp,0.002118915226955027,0.004999046605888463,1.0219156958987439,0.0
1.0,40.0,41.0,uu,0.2411171670407262,0.22768802849664121,0.9775003203811498,0.0
1.0,40.0,41.0,up,-0.0012355899581903773,0.026617758316160586,0.013206013230972011,0.0
1.0,40.0,41.0,pu,0.0025473537332214857,-0.013031200507735754,0.013206013230972011,0.0
1.0,40.0,41.0,pp,0.0052194703977981585,0.0010200142282501053,0.9849088051967132,0.0
1.0,40.0,42.0,uu,0.24140642515739077,0.22607461992427266,0.9819881799605478,0.0
1.0,40.0,42.0,up,-0.00013345309298249303,0.026084752344774656,0.012777822927666705,0.0
1.0,40.0,42.0,pu,0.0014230241177932937,-0.0037534337648834886,0.012777822927666705,0.0
1.0,40.0,42.0,pp,0.006667031141992778,-0.010416223206524421,0.9080423804411912,0.0
1.0,40.0,43.0,uu,0.24147477955526603,0.22598105355875983,0.9848466493179389,0.0
1.0,40.0,43.0,up,0.001123826843358426,0.02291997252253535,0.00018551829904462825,0.0
1.0,40.0,43.0,pu,0.00015571521076178688,0.003785860118424908,0.00018551829904462825,0.0
1.0,40.0,43.0,pp,0.006960547941730324,-0.026546074656337418,0.8441139067325983,0.0
1.0,40.0,44.0,uu,0.24131078776309506,0.22660780231471658,0.9809212327998961,0.0
1.0,40.0,44.0,up,0.0023723092010366404,0.017014015531868234,-0.02118214650707107,0.0
1.0,40.0,44.0,pu,-0.0010857168736168516,0.0029672861019286127,-0.02118214650707107,0.0
1.0,40.0,44.0,pp,0.006546743048030005,-0.040679181686102274,0.7961025236428144,0.0
1.0,40.0,45.0,uu,0.24092458789729257,0.2268680816811279,0.9697807015444966,0.0
1.0,40.0,45.0,up,0.0035296751331933755,0.009304316395567723,-0.039499695083236704,0.0
1.0,40.0,45.0,pu,-0.002244017419806398,-0.001666099169517567,-0.039499695083236704,0.0
1.0,40.0,45.0,pp,0.005983625769772657,-0.0485978858265216,0.800161542201745,0.0
1.0,40.0,46.0,uu,0.2403352805369402,0.2260125692845298,0.9526821830641699,0.0
1.0,40.0,46.0,up,0.004569206387562948,0.0004627135327910861,-0.05054406786820031,0.0
1.0,40.0,46.0,pu,-0.0033052469205342174,-0.006632541407768785,-0.05054406786820031,0.0
