model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
phase_randomized_cross_spectrum,100.0,5.0,0.5971088320621922,0.6277432713959149,0.048800904334029394,0.000202357165731307,0.10093927858013049,0.27259878318412567,0.17165950460399518,0.0003762330195514636,0.6769399514172033,0.6729530928901382,0.003986858527065151,6.0431657212075686e-05,0.22852784152629027,0.2550264768632297,0.02649863533693944,0.00014176148988272376,0.014839286835079521,0.03791104562476884,0.02307175878968932,0.00016213101129826786,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,200.0,5.0,1.1418153255955332,1.2114563032671688,0.05748534015120588,0.0005600329387021755,0.1063945412478788,0.16461288054797313,0.05821833930009433,0.0007708670343363662,0.4813567165454672,0.4684955850761498,0.012861131469317388,0.00017542509886870437,0.07273751033916669,0.07669663841520627,0.003959128076039584,0.0002061191539577738,0.0011677598959302796,0.0029394292791792066,0.001771669383248927,0.00019431085331701712,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,400.0,5.0,2.2398962161880767,2.3739410739101037,0.05646511583425384,0.0010483594101695756,0.10072455118252252,0.09624093789673074,0.0044836132857917765,0.0013720413754394417,0.24943204190706533,0.22856523099152498,0.02086681091554035,0.0004489533810885512,0.00922984790798162,0.00533568134770505,0.00389416656027657,0.00031937542291012196,-0.0005135781986582338,-0.00020390029128960173,0.0003096779073686321,0.00022824732269344884,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,600.0,5.0,3.343497019586023,3.5487077013310584,0.057826876433938024,0.001044662325830994,0.06914313228243545,0.06492829891012106,0.004214833372314389,0.0016111982810976442,0.12783193324502443,0.10992628341556979,0.01790564982945464,0.0006078527188277744,-0.000508778199027125,0.001625518978447396,0.002134297177474521,0.00045855299694868917,0.0003589919932578666,0.002668049891866133,0.0023090578986082666,0.00034055616922010304,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,10.0,5.0,0.10443051491075706,0.10748781085615211,0.028443187381372415,1.4227266535684024e-17,0.5217981183811912,0.5177232478580981,0.004074870523093077,3.8914408668085443e-17,0.9338834262987742,0.9320426574001935,0.001840768898580647,1.0429501456005382e-06,0.7704186927509802,0.7648964558318289,0.005522236919151324,1.0979477124704774e-05,0.4646363989729174,0.45575524978039256,0.008881149192524862,4.247193739410178e-05,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,20.0,5.0,0.1610627481215146,0.16644706753509889,0.03234853874760446,3.345990266487696e-05,0.2899396799865377,0.5344887762388694,0.24454909625233168,0.0006089893482003688,0.8996332219715422,0.8977986067917458,0.0018346151797963284,3.5153240138930537e-06,0.6661207889727377,0.6708725623542008,0.0047517733814630425,2.3185269728171085e-05,0.296542853674585,0.33086790404330846,0.034325050368723464,8.268240950075537e-05,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,50.0,5.0,0.326494669947395,0.33992514839328375,0.03951010541400146,0.00010280781167576486,0.18272098603859915,0.408893280229672,0.22617229419107282,0.0006701650172647916,0.807745348539082,0.8051858250811226,0.0025595234579594006,1.8744826100953366e-05,0.44391274523591856,0.4636749863426945,0.019762241106775935,7.133726005784338e-05,0.09229234982635956,0.1420029922620639,0.04971064243570433,0.00016288051641624816,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,100.0,5.0,0.6000040793824815,0.6277432713959149,0.04418875243656484,0.00017017431009869587,0.14335390198983508,0.27259878318412567,0.1292448811942906,0.0007231886892778946,0.6777598940670947,0.6729530928901382,0.004806801176956532,5.378562769707667e-05,0.23551292152512535,0.2550264768632297,0.019513555338104366,0.00015218829739685393,0.017839057248261975,0.03791104562476884,0.020071988376506863,0.0001973275122316871,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,200.0,5.0,1.146755441745908,1.2114563032671688,0.053407507432805756,0.00034109023895913834,0.1182655866666023,0.16461288054797313,0.046347293881370835,0.0008791903041766283,0.48128958575076713,0.4684955850761498,0.012794000674617334,0.00014981796184655754,0.07475909999334256,0.07669663841520627,0.0019375384218637132,0.0002560594192556159,0.0014000450857006026,0.0029394292791792066,0.001539384193478604,0.00020183312110499786,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,400.0,5.0,2.246314708387557,2.3739410739101037,0.05376138730871449,0.0008965670180870761,0.09908653164520873,0.09624093789673074,0.0028455937484779814,0.0013922917823728175,0.24832920740569836,0.22856523099152498,0.01976397641417338,0.0004266188735116714,0.010085611290184896,0.00533568134770505,0.004749929942479847,0.00032775479808692,-2.8660384042861047e-05,-0.00020390029128960173,0.00017523990724674067,0.00022859458483026396,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
