record,protocol,held_clone_index,training_clone_count,memory_order,innovation_block_length,simulation_count,simulation_seed,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,thermodynamic_claim_allowed,stationary_covariance_rmse,stationary_covariance_maximum_error,target_correlation_rmse,target_correlation_maximum_error,marginal_excess_kurtosis_maximum_error,minimum_terminal_variance_ratio,maximum_simulated_absolute_state,innovation_time_count
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,16.0,2000.0,20270716.0,0.0,1.0,0.0,0.09052080639267325,0.2544780889743108,0.047176345222624934,0.1593066827237859,0.1906771840039001,0.8950662882961112,6.448002123461615,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,16.0,2000.0,20271716.0,0.0,1.0,0.0,0.0685571591528358,0.20590694098602458,0.058433466912313686,0.1796112036856127,0.11095455804848076,0.9007565312531051,6.002881105347842,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,40.0,2000.0,20272716.0,0.0,1.0,0.0,0.058599751294147934,0.23222123195603017,0.06223143291265834,0.21444302681852176,0.11567381937066878,0.9868526815842378,6.167421047526281,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,40.0,2000.0,20273716.0,0.0,1.0,0.0,0.056231565191592475,0.23809148528679347,0.05948900269865864,0.24681996433401093,0.11355415171957484,0.9492847449681648,6.462073281331958,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,40.0,2000.0,20274716.0,0.0,1.0,0.0,0.06023310310765936,0.23927531418513615,0.053550556068320064,0.16922490145279864,0.15507729002939996,0.9915093283116635,6.3025004501762645,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,40.0,2000.0,20275716.0,0.0,1.0,0.0,0.04982636904864921,0.19609502742468532,0.05317322012257742,0.18793285828101886,0.030565914164330188,0.9452634569679482,6.489679965236598,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,100.0,2000.0,20276716.0,0.0,1.0,0.0,0.048984628617974556,0.22887343824482187,0.06252673638312162,0.1812284447511482,0.07659918423917045,0.8981565973510262,6.527422957124659,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,100.0,2000.0,20277716.0,0.0,1.0,0.0,0.049370432356999644,0.23892488421192581,0.0566688430018951,0.193845696107394,0.06578957677742636,0.922997047306901,6.1105579286897,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,100.0,2000.0,20278716.0,0.0,1.0,0.0,0.04366244650103094,0.23622985063536728,0.043570413579227425,0.13919752767667012,0.14469436038454253,0.9326231670642868,6.533114263177292,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,100.0,2000.0,20279716.0,0.0,1.0,0.0,0.04788569799526716,0.22082726421697618,0.055201438919244075,0.17659487977179184,0.05368395260695058,0.9246265215896622,6.936038161777638,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,200.0,2000.0,20280716.0,0.0,1.0,0.0,0.041242834185080283,0.20376861966497084,0.05885760960665544,0.18519063164166796,0.05601987842740197,0.9184400854653076,6.120873177852525,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,200.0,2000.0,20281716.0,0.0,1.0,0.0,0.041475679547316235,0.20073488291435015,0.055842200392161714,0.19722173577767863,0.05922213516681829,0.9046961236601059,6.116465403291599,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,200.0,2000.0,20282716.0,0.0,1.0,0.0,0.03880422566584798,0.24297814916383154,0.047792921619189355,0.18338624986224084,0.1408220641897735,0.9618548972637143,6.979629820261598,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,200.0,2000.0,20283716.0,0.0,1.0,0.0,0.04252303186004642,0.1786423734233774,0.05309595139611055,0.19991136159622913,0.06927070081388065,0.9533457132602837,6.093716404267223,960.0
held_clone,discovery_leave_one_clone_out_block_scan,1.0,3.0,40.0,400.0,2000.0,20284716.0,0.0,1.0,0.0,0.04113918917865291,0.21382701397051557,0.05765243337513289,0.19306769352431125,0.04818319628974832,0.9480586328860899,5.73560620918029,960.0
held_clone,discovery_leave_one_clone_out_block_scan,2.0,3.0,40.0,400.0,2000.0,20285716.0,0.0,1.0,0.0,0.03848288205622836,0.19954529851948433,0.05718418073629615,0.20947567124109953,0.03166626182468635,0.9430203559343663,6.116425560482482,960.0
held_clone,discovery_leave_one_clone_out_block_scan,3.0,3.0,40.0,400.0,2000.0,20286716.0,0.0,1.0,0.0,0.0354816949352018,0.24672053482584455,0.04270053822971471,0.12970384019729314,0.10915245056734424,0.9752570743575797,5.642782873624399,960.0
held_clone,discovery_leave_one_clone_out_block_scan,4.0,3.0,40.0,400.0,2000.0,20287716.0,0.0,1.0,0.0,0.043864719548767396,0.19265951062315334,0.05009616915460188,0.16648694590193958,0.12381984485824926,0.9155786890227516,6.093311944187216,960.0
