temperature,model,segment_length,replicate,higher_order_score,replicate_curve_pass,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
0.45,within_particle_segment_shuffle,125.0,3.0,1.5344507368621845,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,250.0,3.0,3.323585313166642,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,1.0,3.0,23.152677274923864,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,2.0,3.0,19.3561052688001,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,3.0,13.616955846832884,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,3.0,9.994877272860636,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,25.0,3.0,5.073646028488133,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,50.0,3.0,2.5077020075887395,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,125.0,3.0,1.6199302121268597,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,250.0,3.0,3.32358531316664,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
