protocol,model,fold_index,lag_frames,row_coordinate,column_coordinate,held_correlation,simulated_correlation,thermodynamic_claim_allowed
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,17.0,u,u,0.1321819159766731,0.0424679507141264,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,17.0,u,p,-0.14681263386494045,-0.15115211284525018,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,17.0,p,u,0.15089393304610632,0.09003639715976905,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,17.0,p,p,0.00046054332516597303,-0.04884628808234423,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,18.0,u,u,0.16070930571229405,0.05918208538971945,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,18.0,u,p,-0.13891546636194843,-0.15300942215701702,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,18.0,p,u,0.14232754066470654,0.08783775682041949,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,18.0,p,p,0.08303907860185376,0.0361281409221082,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,19.0,u,u,0.18629944826700817,0.07516156925857699,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,19.0,u,p,-0.117255451289518,-0.14009791331577132,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,19.0,p,u,0.11990578330658645,0.08264075954755666,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,19.0,p,p,0.14393722028843198,0.10606743251744069,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,20.0,u,u,0.20669861549680696,0.08914248894440505,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,20.0,u,p,-0.08602961723620581,-0.11584096731491204,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,20.0,p,u,0.08794371551663309,0.06548982264934487,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,20.0,p,p,0.18162377904850305,0.1506777894697579,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,21.0,u,u,0.22048853052891246,0.09946270418430414,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,21.0,u,p,-0.0496527326508407,-0.08519610255598986,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,21.0,p,u,0.05104404863114912,0.04620954426519579,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,21.0,p,p,0.1964357384559886,0.17295621331938454,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,22.0,u,u,0.22710830005450522,0.10610197581743198,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,22.0,u,p,-0.01229649640377545,-0.05188755525320152,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,22.0,p,u,0.013403929373459236,0.026100226834304605,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,22.0,p,p,0.19123723239450413,0.17362524875876453,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,23.0,u,u,0.22674905939256906,0.10851869957293173,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,23.0,u,p,0.02264107648823355,-0.020193667695529334,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,23.0,p,u,-0.021406547767479314,0.002629208201030295,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,23.0,p,p,0.16984777216171273,0.15616423687398343,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,24.0,u,u,0.2201721323490559,0.10740115460010459,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,24.0,u,p,0.052487558564053516,0.007234990728311782,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,24.0,p,u,-0.05075121114617268,-0.012304973215998053,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,24.0,p,p,0.13699968494347728,0.12684802038816329,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,25.0,u,u,0.20856238791958986,0.10383715239311134,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,25.0,u,p,0.07548759354025394,0.02858205190921028,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,25.0,p,u,-0.07297010236437783,-0.016900345704469886,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,25.0,p,p,0.09761991809496783,0.09117618892821079,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,26.0,u,u,0.19335304060581665,0.10082144837570205,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,26.0,u,p,0.09073121146366973,0.042824987565579356,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,26.0,p,u,-0.08734419703117698,-0.014139532759858056,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,26.0,p,p,0.056016605725312286,0.0524501261490486,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,27.0,u,u,0.1760575612857466,0.09684013097244382,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,27.0,u,p,0.09809893339533152,0.04971092864461657,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,27.0,p,u,-0.09378546151851083,-0.021371065882649476,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,27.0,p,p,0.016001269137447576,0.01687911037377921,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,28.0,u,u,0.15812788101623748,0.09166623267502358,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,28.0,u,p,0.09827706018106791,0.05024325805334363,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,28.0,p,u,-0.09289412930761551,-0.02632198686890602,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,28.0,p,p,-0.01980276834313222,-0.012439457615310094,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,29.0,u,u,0.14086560494388686,0.0864757583128705,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,29.0,u,p,0.09235041603505295,0.046132679742228073,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,29.0,p,u,-0.08571018121539838,-0.02045445900369747,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,29.0,p,p,-0.04937653132317711,-0.03212772256645309,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,30.0,u,u,0.12533702496751264,0.08181200482201982,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,30.0,u,p,0.08136872325830084,0.038398509893409274,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,30.0,p,u,-0.07353452301942547,-0.021866025885851216,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,30.0,p,p,-0.07161623361580963,-0.04887585157305955,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,31.0,u,u,0.11236323059557712,0.07781329417050882,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,31.0,u,p,0.06680911659635264,0.027828271377548848,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,31.0,p,u,-0.057958275821496714,-0.011876105687367784,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,31.0,p,p,-0.0861281089399982,-0.05707376464096274,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,32.0,u,u,0.10245985154355068,0.07531617307608296,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,32.0,u,p,0.05010035295050001,0.016893703085969974,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,32.0,p,u,-0.04054389409724348,-0.007249422446279195,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,32.0,p,p,-0.09269750361469453,-0.05328840497394442,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,33.0,u,u,0.095849937533667,0.07415230516691516,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,33.0,u,p,0.03282587655727821,0.007333323806542474,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,33.0,p,u,-0.022738657898714015,-0.0003675020550032603,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,33.0,p,p,-0.09218093446641458,-0.04315341924173539,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,34.0,u,u,0.09250006522588607,0.0742916752131879,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,34.0,u,p,0.016250191955388595,3.771334420169289e-05,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,34.0,p,u,-0.005832358118104928,0.007105971188937195,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,34.0,p,p,-0.08536264910813954,-0.029225048113078543,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,35.0,u,u,0.09213485359168384,0.07623047532878761,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,35.0,u,p,0.0014072097023981813,-0.004283091400952418,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,35.0,p,u,0.009115421924587147,0.014916896136351474,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,35.0,p,p,-0.07359688056755055,-0.012276653435071758,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,36.0,u,u,0.09431198098832545,0.07956071461039935,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,36.0,u,p,-0.010951550473043878,-0.005772386052485303,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,36.0,p,u,0.021386088698206487,0.018240148017196884,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,36.0,p,p,-0.05804048034512325,0.00078418786689655,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,37.0,u,u,0.0984986692413112,0.08209229003436788,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,37.0,u,p,-0.02015392057320281,-0.00510772319188451,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,37.0,p,u,0.030441919195500804,0.013366291905123845,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,37.0,p,p,-0.040055187652945634,0.010831244819560043,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,38.0,u,u,0.10405709082958864,0.08382448289786835,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,38.0,u,p,-0.025961995976887788,-0.002554792305091805,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,38.0,p,u,0.0359726229171407,0.004551703614000356,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,38.0,p,p,-0.021365278920348667,0.016900100676227645,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,39.0,u,u,0.11033269408229286,0.08491209199735666,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,39.0,u,p,-0.028292409210121054,0.0018167316394395309,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,39.0,p,u,0.03803033952176863,0.005292595191734466,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,39.0,p,p,-0.003198476534962642,0.031082139197615714,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,40.0,u,u,0.1166985005732363,0.0854336574623221,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,40.0,u,p,-0.027419049431025314,0.008556798963100585,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,40.0,p,u,0.03679455098022109,-0.0006392703290059259,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,40.0,p,p,0.012859358375550073,0.03707048708721957,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,0.0,u,u,1.0054364914245977,0.9947361080436095,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,0.0,u,p,0.001468991373574523,-0.00037105492529942074,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,0.0,p,u,0.001468991373574523,-0.00037105492529942074,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,0.0,p,p,0.9658702391410143,1.0045431594434688,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,1.0,u,u,0.9883649838657598,0.9769657438268791,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,1.0,u,p,0.18166309257714122,0.18662633842009516,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,1.0,p,u,-0.1789769585564569,-0.1841519991160966,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,1.0,p,p,0.9151771729084097,0.9481389933546603,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,2.0,u,u,0.9383750521052124,0.9266236560326346,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,2.0,u,p,0.34483812346395437,0.3551491660849186,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,2.0,p,u,-0.3422647128606796,-0.3423020535959756,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,2.0,p,p,0.7877982238664243,0.8120729322312534,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,3.0,u,u,0.8599987443406699,0.8488415154482669,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,3.0,u,p,0.47783950771922634,0.4922945471751508,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,3.0,p,u,-0.47519826439692986,-0.46912863901502594,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,3.0,p,p,0.6002978972165893,0.6216163976029996,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,4.0,u,u,0.7599475065584904,0.7500089000690768,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,4.0,u,p,0.5714063330030212,0.5897359708893258,0.0
