time,wave_number,correlation_size,renewal_chi4,single_particle_chi_R,synthetic_observed_chi4_peak,inferred_correlation_size,model_peak_time
53.444537114261884,1.1,12.0,0.011020281636517967,0.0009183568030431638,0.27986459623999,12.0,12.460383653044202
53.594662218515424,1.1,12.0,0.010853326177432083,0.0009044438481193402,0.27986459623999,12.0,12.460383653044202
53.74478732276897,1.1,12.0,0.010688813097672337,0.000890734424806028,0.27986459623999,12.0,12.460383653044202
53.89491242702252,1.1,12.0,0.010526708625739014,0.0008772257188115845,0.27986459623999,12.0,12.460383653044202
54.04503753127606,1.1,12.0,0.010366979411453543,0.000863914950954462,0.27986459623999,12.0,12.460383653044202
54.195162635529606,1.1,12.0,0.01020959252182839,0.0008507993768190325,0.27986459623999,12.0,12.460383653044202
54.345287739783146,1.1,12.0,0.010054515436946371,0.0008378762864121975,0.27986459623999,12.0,12.460383653044202
54.49541284403669,1.1,12.0,0.00990171604585083,0.0008251430038209024,0.27986459623999,12.0,12.460383653044202
54.64553794829024,1.1,12.0,0.009751162642447653,0.0008125968868706378,0.27986459623999,12.0,12.460383653044202
54.79566305254378,1.1,12.0,0.009602823921419843,0.0008002353267849869,0.27986459623999,12.0,12.460383653044202
54.94578815679733,1.1,12.0,0.009456668974155863,0.0007880557478463219,0.27986459623999,12.0,12.460383653044202
55.095913261050875,1.1,12.0,0.009312667284692462,0.0007760556070577052,0.27986459623999,12.0,12.460383653044202
55.246038365304415,1.1,12.0,0.009170788725672958,0.0007642323938060799,0.27986459623999,12.0,12.460383653044202
55.39616346955796,1.1,12.0,0.009031003554321581,0.0007525836295267983,0.27986459623999,12.0,12.460383653044202
55.54628857381151,1.1,12.0,0.008893282408434943,0.0007411068673695786,0.27986459623999,12.0,12.460383653044202
55.69641367806505,1.1,12.0,0.008757596302391157,0.0007297996918659297,0.27986459623999,12.0,12.460383653044202
55.846538782318596,1.1,12.0,0.008623916623177333,0.0007186597185981111,0.27986459623999,12.0,12.460383653044202
55.99666388657214,1.1,12.0,0.008492215126436279,0.0007076845938696898,0.27986459623999,12.0,12.460383653044202
56.146788990825684,1.1,12.0,0.008362463932532902,0.0006968719943777419,0.27986459623999,12.0,12.460383653044202
56.29691409507923,1.1,12.0,0.008234635522640907,0.0006862196268867422,0.27986459623999,12.0,12.460383653044202
56.44703919933277,1.1,12.0,0.008108702734850643,0.0006757252279042202,0.27986459623999,12.0,12.460383653044202
56.59716430358632,1.1,12.0,0.007984638760298136,0.0006653865633581779,0.27986459623999,12.0,12.460383653044202
56.747289407839865,1.1,12.0,0.007862417139316522,0.0006552014282763768,0.27986459623999,12.0,12.460383653044202
56.897414512093405,1.1,12.0,0.0077420117576097545,0.0006451676464674796,0.27986459623999,12.0,12.460383653044202
57.04753961634695,1.1,12.0,0.0076233968424493734,0.0006352830702041145,0.27986459623999,12.0,12.460383653044202
57.1976647206005,1.1,12.0,0.0075065469588948795,0.0006255455799079067,0.27986459623999,12.0,12.460383653044202
57.34778982485404,1.1,12.0,0.007391437006037769,0.0006159530838364808,0.27986459623999,12.0,12.460383653044202
57.49791492910759,1.1,12.0,0.007278042213270063,0.0006065035177725053,0.27986459623999,12.0,12.460383653044202
57.64804003336113,1.1,12.0,0.007166338136577393,0.0005971948447147827,0.27986459623999,12.0,12.460383653044202
57.798165137614674,1.1,12.0,0.007056300654857104,0.0005880250545714253,0.27986459623999,12.0,12.460383653044202
57.94829024186822,1.1,12.0,0.0069479059662618595,0.000578992163855155,0.27986459623999,12.0,12.460383653044202
58.09841534612176,1.1,12.0,0.006841130584568683,0.0005700942153807236,0.27986459623999,12.0,12.460383653044202
58.24854045037531,1.1,12.0,0.006735951335574202,0.0005613292779645168,0.27986459623999,12.0,12.460383653044202
58.398665554628856,1.1,12.0,0.0066323453535159895,0.0005526954461263325,0.27986459623999,12.0,12.460383653044202
58.548790658882396,1.1,12.0,0.006530290077520465,0.0005441908397933721,0.27986459623999,12.0,12.460383653044202
58.69891576313594,1.1,12.0,0.006429763248077464,0.0005358136040064553,0.27986459623999,12.0,12.460383653044202
58.84904086738949,1.1,12.0,0.006330742903541866,0.0005275619086284888,0.27986459623999,12.0,12.460383653044202
58.99916597164303,1.1,12.0,0.006233207376662288,0.0005194339480551907,0.27986459623999,12.0,12.460383653044202
59.14929107589658,1.1,12.0,0.006137135291137107,0.0005114279409280922,0.27986459623999,12.0,12.460383653044202
59.299416180150125,1.1,12.0,0.006042505558198095,0.0005035421298498412,0.27986459623999,12.0,12.460383653044202
59.449541284403665,1.1,12.0,0.0059492973732215675,0.0004957747811017973,0.27986459623999,12.0,12.460383653044202
59.59966638865721,1.1,12.0,0.005857490212367458,0.0004881241843639548,0.27986459623999,12.0,12.460383653044202
59.74979149291075,1.1,12.0,0.005767063829246226,0.0004805886524371855,0.27986459623999,12.0,12.460383653044202
59.8999165971643,1.1,12.0,0.005677998251613858,0.0004731665209678215,0.27986459623999,12.0,12.460383653044202
60.05004170141785,1.1,12.0,0.0055902737780949285,0.0004658561481745774,0.27986459623999,12.0,12.460383653044202
