block_lag,lag_time,block_size,block_count,paired_particle_block_count,mean_events_per_particle_block,particle_identity_correlation,replicate,temperature,debye_waller_factor,thermodynamic_claim_allowed
6.0,300.0,50.0,15.0,29493.0,0.7239751805513173,-0.007540241552350906,3.0,0.58,0.05592551454901695,0.0
1.0,100.0,100.0,7.0,19662.0,1.4525044683726405,0.011611728586532994,3.0,0.58,0.05592551454901695,0.0
2.0,200.0,100.0,7.0,16385.0,1.4525044683726405,0.01931155721932761,3.0,0.58,0.05592551454901695,0.0
3.0,300.0,100.0,7.0,13108.0,1.4525044683726405,-0.014414207027272906,3.0,0.58,0.05592551454901695,0.0
1.0,20.0,20.0,37.0,117972.0,0.28471162648764115,0.08030862547747292,4.0,0.58,0.055333156138658524,0.0
2.0,40.0,20.0,37.0,114695.0,0.28471162648764115,0.029166327890795034,4.0,0.58,0.055333156138658524,0.0
3.0,60.0,20.0,37.0,111418.0,0.28471162648764115,0.011781534716171218,4.0,0.58,0.055333156138658524,0.0
4.0,80.0,20.0,37.0,108141.0,0.28471162648764115,0.002362088317419614,4.0,0.58,0.055333156138658524,0.0
5.0,100.0,20.0,37.0,104864.0,0.28471162648764115,0.0015741403172626004,4.0,0.58,0.055333156138658524,0.0
6.0,120.0,20.0,37.0,101587.0,0.28471162648764115,0.0015073172232953277,4.0,0.58,0.055333156138658524,0.0
7.0,140.0,20.0,37.0,98310.0,0.28471162648764115,0.002423299654723016,4.0,0.58,0.055333156138658524,0.0
8.0,160.0,20.0,37.0,95033.0,0.28471162648764115,0.00416952043061907,4.0,0.58,0.055333156138658524,0.0
9.0,180.0,20.0,37.0,91756.0,0.28471162648764115,0.004950299276761781,4.0,0.58,0.055333156138658524,0.0
10.0,200.0,20.0,37.0,88479.0,0.28471162648764115,0.00042672703043614683,4.0,0.58,0.055333156138658524,0.0
11.0,220.0,20.0,37.0,85202.0,0.28471162648764115,-0.0005230284138841164,4.0,0.58,0.055333156138658524,0.0
12.0,240.0,20.0,37.0,81925.0,0.28471162648764115,0.0021615250966408924,4.0,0.58,0.055333156138658524,0.0
13.0,260.0,20.0,37.0,78648.0,0.28471162648764115,-0.009541276318606262,4.0,0.58,0.055333156138658524,0.0
14.0,280.0,20.0,37.0,75371.0,0.28471162648764115,0.009001056686416917,4.0,0.58,0.055333156138658524,0.0
15.0,300.0,20.0,37.0,72094.0,0.28471162648764115,0.007187144683899185,4.0,0.58,0.055333156138658524,0.0
1.0,50.0,50.0,15.0,45878.0,0.7056250635744075,0.0639364887407905,4.0,0.58,0.055333156138658524,0.0
2.0,100.0,50.0,15.0,42601.0,0.7056250635744075,0.003371610556975504,4.0,0.58,0.055333156138658524,0.0
3.0,150.0,50.0,15.0,39324.0,0.7056250635744075,0.007849683759599421,4.0,0.58,0.055333156138658524,0.0
