temperature,lag,observable,channel,shapley_contribution,calibration_value,heldout_oracle_value,observed_value,calibration_to_oracle_shift,oracle_representation_residual
0.45,2000.0,fourth_moment,count,0.02702692386130645,0.5319913901891492,0.5876100770311651,0.5843678384835524,0.055618686842015874,-0.0032422385476126303
0.45,2000.0,fourth_moment,kernel,0.026937726270645113,0.5319913901891492,0.5876100770311651,0.5843678384835524,0.055618686842015874,-0.0032422385476126303
0.45,2000.0,fourth_moment,residual,0.0016540367100643105,0.5319913901891492,0.5876100770311651,0.5843678384835524,0.055618686842015874,-0.0032422385476126303
0.45,2000.0,fs_k2,count,-0.005469014846323153,0.8150599915548494,0.8059751960330609,0.8061750197934495,-0.009084795521788536,0.0001998237603886288
0.45,2000.0,fs_k2,kernel,-0.0029866600144406266,0.8150599915548494,0.8059751960330609,0.8061750197934495,-0.009084795521788536,0.0001998237603886288
0.45,2000.0,fs_k2,residual,-0.000629120661024755,0.8150599915548494,0.8059751960330609,0.8061750197934495,-0.009084795521788536,0.0001998237603886288
0.45,2000.0,fs_k4,count,-0.009739222061693198,0.559236622720214,0.542138072788375,0.5420765220261176,-0.017098549931839013,-6.155076225744516e-05
0.45,2000.0,fs_k4,kernel,-0.005757935635055889,0.559236622720214,0.542138072788375,0.5420765220261176,-0.017098549931839013,-6.155076225744516e-05
0.45,2000.0,fs_k4,residual,-0.0016013922350899268,0.559236622720214,0.542138072788375,0.5420765220261176,-0.017098549931839013,-6.155076225744516e-05
0.45,2000.0,fs_k7p25,count,-0.008617139795209484,0.3064247364448402,0.2890274694558572,0.2894792740466868,-0.017397266988982973,0.00045180459082955204
0.45,2000.0,fs_k7p25,kernel,-0.006291451698910941,0.3064247364448402,0.2890274694558572,0.2894792740466868,-0.017397266988982973,0.00045180459082955204
0.45,2000.0,fs_k7p25,residual,-0.0024886754948625447,0.3064247364448402,0.2890274694558572,0.2894792740466868,-0.017397266988982973,0.00045180459082955204
0.45,3000.0,msd,count,0.018543587243054882,0.5131246180462063,0.5407671523341907,0.5428630069869955,0.027642534287984355,0.0020958546528048183
0.45,3000.0,msd,kernel,0.009325414584163805,0.5131246180462063,0.5407671523341907,0.5428630069869955,0.027642534287984355,0.0020958546528048183
0.45,3000.0,msd,residual,-0.0002264675392343318,0.5131246180462063,0.5407671523341907,0.5428630069869955,0.027642534287984355,0.0020958546528048183
0.45,3000.0,fourth_moment,count,0.05473346968945804,0.9789324819146925,1.0654176546074607,1.0655669393941465,0.08648517269276823,0.00014928478668574385
0.45,3000.0,fourth_moment,kernel,0.03187594035662179,0.9789324819146925,1.0654176546074607,1.0655669393941465,0.08648517269276823,0.00014928478668574385
0.45,3000.0,fourth_moment,residual,-0.0001242373533116107,0.9789324819146925,1.0654176546074607,1.0655669393941465,0.08648517269276823,0.00014928478668574385
0.45,3000.0,fs_k2,count,-0.007462448241604968,0.7533500539248736,0.7422281796571665,0.7409790220423944,-0.011121874267707166,-0.0012491576147720673
0.45,3000.0,fs_k2,kernel,-0.0037996937366395755,0.7533500539248736,0.7422281796571665,0.7409790220423944,-0.011121874267707166,-0.0012491576147720673
0.45,3000.0,fs_k2,residual,0.0001402677105373784,0.7533500539248736,0.7422281796571665,0.7409790220423944,-0.011121874267707166,-0.0012491576147720673
0.45,3000.0,fs_k4,count,-0.011117404564762613,0.4665808579704101,0.446945863039746,0.44362214992805216,-0.019634994930664118,-0.0033237131116938268
0.45,3000.0,fs_k4,kernel,-0.008995889622164344,0.4665808579704101,0.446945863039746,0.44362214992805216,-0.019634994930664118,-0.0033237131116938268
0.45,3000.0,fs_k4,residual,0.0004782992562628411,0.4665808579704101,0.446945863039746,0.44362214992805216,-0.019634994930664118,-0.0033237131116938268
0.45,3000.0,fs_k7p25,count,-0.007727732771169356,0.2318430867325727,0.2174793054795285,0.2129683136864647,-0.014363781253044189,-0.004510991793063801
0.45,3000.0,fs_k7p25,kernel,-0.007631408564822004,0.2318430867325727,0.2174793054795285,0.2129683136864647,-0.014363781253044189,-0.004510991793063801
0.45,3000.0,fs_k7p25,residual,0.0009953600829471728,0.2318430867325727,0.2174793054795285,0.2129683136864647,-0.014363781253044189,-0.004510991793063801
0.45,4096.0,msd,count,0.017449142490746156,0.6779276130191135,0.6958409323056608,0.7020352157102732,0.01791331928654727,0.006194283404612366
0.45,4096.0,msd,kernel,8.245534431318901e-05,0.6779276130191135,0.6958409323056608,0.7020352157102732,0.01791331928654727,0.006194283404612366
0.45,4096.0,msd,residual,0.0003817214514879226,0.6779276130191135,0.6958409323056608,0.7020352157102732,0.01791331928654727,0.006194283404612366
0.45,4096.0,fourth_moment,count,0.07165636096198083,1.5501355644062975,1.6019599131171347,1.6170913307904564,0.05182434871083719,0.015131417673321712
0.45,4096.0,fourth_moment,kernel,-0.02097952645438191,1.5501355644062975,1.6019599131171347,1.6170913307904564,0.05182434871083719,0.015131417673321712
