replicate,temperature,calibration_time,radius_scale,debye_waller_factor,debye_waller_lag,fluctuation_half_window,calibration_event_count,radius_threshold,pair_count,return_count,return_fraction,isotropic_null_fraction,return_excess_ratio,return_run_count,return_run_mean,geometric_return_run_mean,mean_return_run_duration,return_run_duration_p50,return_run_duration_p75,return_run_duration_p90,return_run_duration_p95,calibration_events_only,heldout_events_used_in_calibration,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
1.0,0.58,750.0,1.0,0.05516825616359711,2.0,5.0,35326.0,0.23487923740423952,32049.0,1831.0,0.05713126774626354,0.04388079804588923,1.3019651029709478,1682.0,1.0885850178359096,1.0605930240254153,35.14922711058264,16.0,42.0,94.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.58,750.0,1.5,0.05516825616359711,2.0,5.0,35326.0,0.35231885610635927,32049.0,4690.0,0.14633841929545383,0.12720341831475263,1.1504283551040546,3809.0,1.2312943029666579,1.1714243941664533,42.77894460488317,20.0,55.0,112.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.58,750.0,0.5,0.055943578481674194,2.0,5.0,34905.0,0.11826197453289264,31630.0,317.0,0.010022130888397091,0.006178942102528421,1.6219816794036697,313.0,1.012779552715655,1.0101235908408648,27.498402555910545,10.0,29.0,72.60000000000002,114.99999999999989,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.58,750.0,1.0,0.055943578481674194,2.0,5.0,34905.0,0.23652394906578528,31630.0,1880.0,0.05943724312361682,0.044858927863959314,1.3249813571975726,1726.0,1.089223638470452,1.0631932773109245,36.96465816917729,16.0,47.0,98.0,141.75,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.58,750.0,1.5,0.055943578481674194,2.0,5.0,34905.0,0.3547859235986779,31630.0,4764.0,0.15061650331963325,0.12930785685774793,1.1647900365816677,3866.0,1.2322814278323848,1.17732449936723,44.82384893947232,21.0,58.0,117.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.58,750.0,0.5,0.056258756667375565,2.0,5.0,35145.0,0.11859464223498417,31868.0,246.0,0.007719342286933601,0.005952600706620937,1.2968016279586096,241.0,1.020746887966805,1.0077793940927202,26.721991701244814,10.0,31.0,60.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.58,750.0,1.0,0.056258756667375565,2.0,5.0,35145.0,0.23718928446996834,31868.0,1662.0,0.05215262959708799,0.04274654979063714,1.2200430175656207,1533.0,1.0841487279843445,1.0550221810236378,34.09458577951729,15.0,43.0,89.79999999999995,129.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.58,750.0,1.5,0.056258756667375565,2.0,5.0,35145.0,0.3557839267049525,31868.0,4635.0,0.14544370528429773,0.12459502831733527,1.16733153199229,3713.0,1.2483167250201992,1.1701979216391878,44.276595744680854,21.0,58.0,114.0,160.39999999999964,1.0,0.0,0.0,0.0,0.0,0.0
4.0,0.58,750.0,0.5,0.0552939847111702,2.0,5.0,34734.0,0.11757336508662389,31457.0,302.0,0.00960040690466351,0.0062833266590612,1.5279178412312433,296.0,1.0202702702702702,1.009693468143155,26.824324324324323,10.5,27.0,63.5,95.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,0.58,750.0,1.0,0.0552939847111702,2.0,5.0,34734.0,0.23514673017324778,31457.0,1817.0,0.05776138856216422,0.045082416270149105,1.2812398567112824,1663.0,1.0926037282020444,1.061302294197031,34.78653036680698,15.0,40.0,91.0,137.79999999999973,1.0,0.0,0.0,0.0,0.0,0.0
