parent_group,clone_index,target_slot,a_particle_index,first_passage_tau,escaped_within_horizon,geometry_0,geometry_1,geometry_2,geometry_3,radial_A_0.8,radial_A_1.05,radial_A_1.3,radial_A_1.55,radial_A_1.8,radial_A_2.05,radial_A_2.3,radial_B_0.8,radial_B_1.05,radial_B_1.3,radial_B_1.55,radial_B_1.8,radial_B_2.05,radial_B_2.3,geometry_heldout_rate,radial_heldout_rate,geometry_radial_heldout_rate,geometry_heldout_event_probability,radial_heldout_event_probability,geometry_radial_heldout_event_probability,thermodynamic_claim_allowed
5,7,24,1480,20.0,False,-5.369054590683285,-1.0042652276208779,-0.7898036060014174,-0.4183514655273841,0.24023525806090332,3.8614683975570983,4.1341593040659905,1.3348366208801734,1.825120019073871,1.5106582157575335,0.4897154972199323,0.6241754995382043,0.32762590859348045,0.5729544043176805,0.6975170575907788,0.9781098888187298,0.226421882161015,0.06691613634599275,0.06869056167091729,0.08353951117961152,0.08781168091731283,0.7468596582102707,0.8119016328734149,0.8273059277423092,False
5,7,25,1576,7.15,True,-6.225532993211138,-1.5286224093496064,-1.3503710246327467,-0.7110920802311713,0.845786178501729,4.939991132520611,2.4838998632839813,1.4090355175061187,2.978586794156478,1.2057339145778914,0.2859007844373217,0.8075564000441613,0.818259402328221,0.05389574261868384,0.5334194179669541,0.788054510990812,0.2947815205033465,0.09564045661957885,0.04279924066740073,0.04587578110729478,0.046772463611609714,0.5751354273166631,0.6004896561599413,0.607590472781697,False
5,7,26,1583,0.65,True,-5.000045318659905,-1.0217303630720331,-0.9805303137740224,-0.5563192506647122,0.6229590652361193,4.428771629905778,2.782116174677393,2.0316050870847073,2.870823899970887,1.3131934423183316,0.28730863103836685,0.1351031584178069,0.7696466213675353,0.47879798644013455,0.12091743117762883,0.44611332325578307,0.4943770459780221,0.10423965011050584,0.06859301586104594,0.07558335619388527,0.07783635153191625,0.746365320568385,0.7794579995224513,0.7891750331241664,False
5,7,27,1663,18.3,True,-6.300377080178508,-1.4052988956826313,-1.0607867207693602,-0.8128440993537509,0.5634153521985863,4.784167647777943,2.1118631556107776,2.305176209351456,2.2893215367730746,1.312687367941669,0.3716264343847558,1.3895981656828134,1.0741668545885563,0.2969250434531951,0.7217650497249205,1.0211993106794204,0.4477256369549511,0.06280385780444464,0.04805305673366574,0.04675212089874151,0.046274399828282395,0.6175131994485955,0.6074307868126626,0.6036620396882421,False
5,7,28,1725,1.2000000000000002,True,-6.06677530270326,-1.1558921528419965,-0.841742128665167,-0.6748389655666004,0.26769197569657693,4.962402953636165,2.8075613461887996,2.1236839194468917,1.9259750118317187,1.32799192848637,0.3892219939883676,0.6973118987735742,0.20747152980330297,0.6377782193073425,0.9635891458859043,0.6234229380584091,0.16288688720350822,0.09791242606688742,0.059283817740771357,0.06097937184260433,0.06075475617274454,0.6944605434851673,0.7046480068601851,0.7033182084452715,False
5,7,29,1737,20.0,False,-6.039271264471917,-0.9864920082517427,-0.8257594339684055,-0.6463926100474106,0.3352390820060786,4.579890573521387,3.5182853063328965,1.747909344337475,1.6821777944387006,1.482887040275185,0.36485985102521057,0.1609355432496407,0.6015237783097516,0.038132537699302596,0.43115906903316664,0.6751274515237091,0.289599159756424,0.08486371263699283,0.0671954552039702,0.07310464489460668,0.07510465580562829,0.7391759153510291,0.7682492638115747,0.7773363887441397,False
5,7,30,1809,7.45,True,-7.151393264244531,-1.0816963919883593,-0.9968706854742585,-0.85724170389552,0.3930011261516169,5.786034489982196,2.7750512850705946,1.2164123214438607,2.358094817841934,1.5739686783616234,0.35400857353485066,4.808181941600473e-05,0.044952898965376416,0.7664054648885619,0.8744672184779427,0.3777737850342643,0.201877992095105,0.046597726608983966,0.05815302419347169,0.05682350489529046,0.058079539538020974,0.6874717718700759,0.6790500534964099,0.6870121135912568,False
5,7,31,1831,6.6000000000000005,True,-8.207680546406138,-1.2833743055600235,-0.9991654112579585,-0.6158175043083705,0.36763343414797695,4.933983363864894,3.0712684369176744,1.583752782377121,2.045545373415043,1.4164036511360405,0.43923887637178555,0.6005068152840007,0.24904476866735029,0.030791535579389687,0.7901638172418616,0.7383209077762091,0.2660345317629453,0.024039139211175,0.04655490047785923,0.056903044575008006,0.05023938765258678,0.6058792756183304,0.6795602127288105,0.6338776650938058,False
5,7,32,1836,20.0,False,-6.504395361881967,-1.4411033939532654,-1.0621347129680574,-0.6564402616197784,0.3580576220570896,5.291665963367908,2.6521143948932906,1.0124788075699334,2.520594561453779,1.6785520173079054,0.33836294560940106,0.973062344891155,1.4022767893930386,0.09832916848715956,0.753580846535567,0.371291052963909,0.07381481055994189,0.07104997644853625,0.04591975772853823,0.031648419001760304,0.03104974120389192,0.6008408839806489,0.4689867897743298,0.4625904563775683,False
5,7,33,1849,20.0,False,-5.462929016528759,-1.1307081201934868,-0.8202471014562774,-0.7099079177354414,0.4948990338889371,4.94926611873337,2.470132844016278,1.2522089783824688,2.6760694761799884,1.5799054096128298,0.2879274394146887,0.014976692170157794,0.7075804788782764,0.82802429547187,0.5866511099548587,0.6380357524597378,0.24568664230131879,0.045133094209867906,0.06288875616840249,0.061049226115115054,0.06232786224027644,0.7157141757096621,0.7050603507256157,0.7125071374038819,False
