replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_clock_prediction,two_clock_prediction,hmm_prediction,static_prediction,poisson_prediction
1.0,0.58,20.0,25.0,500.0,-0.001551117094945981,1.0119906144754657e-05,0.0003246511341657562,1.3624909904941317e-06,0.011868548442357433,0.0
1.0,0.58,20.0,26.0,520.0,0.0017287549297268345,7.098979501468932e-06,0.00032059778813928316,8.742116947885701e-07,0.011868548442357433,0.0
1.0,0.58,20.0,27.0,540.0,0.008638176516439156,4.979839658730149e-06,0.00031744540402463934,5.609182685515863e-07,0.011868548442357433,0.0
1.0,0.58,20.0,28.0,560.0,-0.002226643848021206,3.4932912570785983e-06,0.0003149260610404827,3.599005891484935e-07,0.011868548442357433,0.0
1.0,0.58,20.0,29.0,580.0,0.003072770442770217,2.450497333862661e-06,0.00031285181290166504,2.3092211705620414e-07,0.011868548442357433,0.0
1.0,0.58,20.0,30.0,600.0,-0.0059655786650317935,1.718991272514123e-06,0.00031109081437933684,1.4816598181148725e-07,0.011868548442357433,0.0
1.0,0.58,50.0,1.0,50.0,0.0667954962418746,0.06396885487175431,0.0632288252916339,0.064378462130368,0.028822795989243706,0.0
1.0,0.58,50.0,2.0,100.0,0.02349823188252645,0.024012653255462098,0.02540551380720538,0.025007416875012095,0.028822795989243706,0.0
1.0,0.58,50.0,3.0,150.0,0.008603615912791596,0.009013878980998572,0.011732702349129156,0.009713976974073222,0.028822795989243706,0.0
1.0,0.58,50.0,4.0,200.0,0.006914619320359952,0.0033836333461237217,0.006521937203151865,0.0037733344921007197,0.028822795989243706,0.0
1.0,0.58,50.0,5.0,250.0,0.007115886091851549,0.0012701495821205355,0.004320356901350834,0.0014657285298574022,0.028822795989243706,0.0
1.0,0.58,50.0,6.0,300.0,-0.004557768340648982,0.0004767892368743608,0.003225545445923365,0.0005693532147058317,0.028822795989243706,0.0
1.0,0.58,50.0,7.0,350.0,0.004602945272689612,0.0001789773264497775,0.0025677926953864613,0.0002211617475491195,0.028822795989243706,0.0
1.0,0.58,50.0,8.0,400.0,0.016651442290569893,6.7184577389173e-05,0.0021063484237095753,8.590891790125775e-05,0.028822795989243706,0.0
1.0,0.58,50.0,9.0,450.0,0.01294999971733073,2.5219772406357713e-05,0.0017505433075378385,3.33707897353537e-05,0.028822795989243706,0.0
1.0,0.58,50.0,10.0,500.0,-0.009468574537782078,9.467007830445638e-06,0.0014628943690293747,1.296267762144498e-05,0.028822795989243706,0.0
1.0,0.58,50.0,11.0,550.0,0.004688643263533906,3.553729027274065e-06,0.0012253300364042077,5.035272238088359e-06,0.028822795989243706,0.0
1.0,0.58,50.0,12.0,600.0,0.0022882844800863503,1.3340001640936437e-06,0.0010273253285856439,1.9559204704527007e-06,0.028822795989243706,0.0
