parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,softmode_heldout_committor,geometry_softmode_heldout_committor,thermodynamic_claim_allowed
3,16,1093,5,8,0.625,0.6623120270742829,0.6596017903832359,0.6769202684629907,False
3,17,1120,6,8,0.75,0.5688501287062626,0.6464748510358296,0.5149159197558149,False
3,18,1211,8,8,1.0,0.7026745135494081,0.7174082546817058,0.7484566373131463,False
3,19,1285,4,8,0.5,0.6660950027345459,0.6702167077771747,0.6513583079616011,False
3,20,1387,5,8,0.625,0.6110113519119814,0.6674448630654831,0.5941840388490923,False
3,21,1394,6,8,0.75,0.6843310353813237,0.6819590855298208,0.7092642608637137,False
3,22,1438,6,8,0.75,0.675584740911921,0.6603600802475265,0.6744091905995541,False
3,23,1470,7,8,0.875,0.6251775891925578,0.6282464733175396,0.5694008663822749,False
3,24,1480,6,8,0.75,0.7064546056963786,0.6977554741637538,0.7478178310596504,False
3,25,1576,8,8,1.0,0.7479711359898503,0.6683396033033107,0.7489351037339403,False
3,26,1583,5,8,0.625,0.6752740559749504,0.668688008403342,0.6957395833821035,False
3,27,1663,8,8,1.0,0.680995530024801,0.6802015219425958,0.6881909918434213,False
3,28,1725,5,8,0.625,0.6773240866368513,0.6654176325225233,0.6859714481997665,False
3,29,1737,5,8,0.625,0.6419071775998125,0.6597470884458487,0.6217743985024755,False
3,30,1809,6,8,0.75,0.7233425882199059,0.6367526010157415,0.7004032027479313,False
3,31,1831,6,8,0.75,0.7134218337742225,0.6686603965457629,0.708170578963708,False
3,32,1836,5,8,0.625,0.6102433080078266,0.6503272130373114,0.5905873557170543,False
3,33,1849,3,8,0.375,0.6367638621693584,0.6713357013677442,0.6458715265056295,False
3,34,1911,4,8,0.5,0.7234826547484304,0.7039311945559386,0.746730425965742,False
3,35,1937,7,8,0.875,0.6348897614518426,0.6880156346482483,0.6625516063978186,False
3,36,1956,6,8,0.75,0.6652603546390145,0.658018225432343,0.6617610593752753,False
3,37,1959,6,8,0.75,0.6463355225539936,0.6514910747534205,0.6293082354312607,False
3,38,1975,4,8,0.5,0.6800061712024781,0.6387422790326787,0.6194431553400866,False
3,39,2010,6,8,0.75,0.6818987611858259,0.6766053697669168,0.6996067958732601,False
3,40,2138,5,8,0.625,0.6952844189058996,0.6588027708254559,0.70600962491485,False
3,41,2141,4,8,0.5,0.686633064411829,0.6828823942854164,0.7023737746331715,False
3,42,2256,5,8,0.625,0.6717387804371056,0.6800826085893369,0.692496953788193,False
3,43,2277,7,8,0.875,0.6762291874509571,0.6565894174446836,0.6566689877576061,False
3,44,2288,4,8,0.5,0.5800108559672839,0.6559457420008041,0.5778797069427785,False
3,45,2412,6,8,0.75,0.6537949327022821,0.6780328239553466,0.639637292793112,False
3,46,2426,5,8,0.625,0.6338515853459105,0.6582601644802574,0.6240392139091759,False
3,47,2541,8,8,1.0,0.6789086875758448,0.6710262366879569,0.6674893235287869,False
3,48,2590,6,8,0.75,0.7521266765438419,0.6803709911921653,0.762002766261929,False
3,49,2687,6,8,0.75,0.5992088359106393,0.6373242461274786,0.5620001520677682,False
3,50,2823,7,8,0.875,0.6834441935216997,0.6372904111884666,0.6395811842193304,False
3,51,2826,6,8,0.75,0.6829259037648251,0.6816939216573686,0.6930570983703392,False
3,52,2828,7,8,0.875,0.7534673969004647,0.6628525096376355,0.7552420165942372,False
3,53,2845,5,8,0.625,0.6366906735407754,0.676482796745954,0.6294021854412483,False
3,54,2879,8,8,1.0,0.6454857705390548,0.652818080727271,0.6189488809689438,False
3,55,2971,8,8,1.0,0.7243735207897184,0.6828668145064176,0.7341663421505856,False
3,56,3044,7,8,0.875,0.7496730603346438,0.6675359320898305,0.7589548952702312,False
3,57,3053,7,8,0.875,0.622836211226923,0.6704105738059397,0.6100075909283112,False
3,58,3080,3,8,0.375,0.7207734837897773,0.6955024224348529,0.7598034143885379,False
3,59,3106,3,8,0.375,0.6452406586740338,0.660749713486038,0.6554111424666667,False
3,60,3151,7,8,0.875,0.6153226943843447,0.6885290862247399,0.6278115800414087,False
3,61,3182,6,8,0.75,0.5841404624727665,0.6668907486079639,0.5776468822009037,False
3,62,3209,3,8,0.375,0.6813983755703272,0.678957709416416,0.6972962557442155,False
3,63,3267,8,8,1.0,0.6879705153102431,0.6603276542441724,0.6852198289165919,False
4,0,128,4,8,0.5,0.6471757261876364,0.6491529025712787,0.620019756123006,False
4,1,134,2,8,0.25,0.7681447159013831,0.6923410634028695,0.7779673830482157,False
4,2,236,8,8,1.0,0.7123315632850035,0.742551821464853,0.7541985639336442,False
4,3,294,3,8,0.375,0.7151144007744455,0.69946420605402,0.7161039520503918,False
4,4,364,5,8,0.625,0.6662954931205451,0.7347715411106435,0.707919712683479,False
4,5,419,6,8,0.75,0.6822433821196336,0.6969489895760796,0.6878221029566096,False
4,6,422,3,8,0.375,0.6925026285350927,0.6926203430615342,0.6956236411415921,False
4,7,451,6,8,0.75,0.6968331675926576,0.6241066724450555,0.6463622804505971,False
4,8,580,7,8,0.875,0.67991290352979,0.619103889300916,0.640681805009279,False
4,9,682,6,8,0.75,0.5917091678094378,0.6675787170978705,0.5685310278591904,False
4,10,719,4,8,0.5,0.6957962751072078,0.6811792153798556,0.688419231589921,False
4,11,770,4,8,0.5,0.638020480120936,0.6401756182171854,0.6182714221168031,False
4,12,804,4,8,0.5,0.6495256014309014,0.6770992540934792,0.6404721834889235,False
4,13,896,6,8,0.75,0.6543815972308159,0.7095306971489698,0.676335742656426,False
4,14,1032,8,8,1.0,0.6669163616510668,0.7177544230498876,0.6713346286032856,False
4,15,1081,5,8,0.625,0.6982088580631025,0.6703466050052358,0.6830422308857185,False
4,16,1093,1,8,0.125,0.6715588047048061,0.7358477736932608,0.7127028544114979,False
4,17,1120,5,8,0.625,0.705648469005342,0.7145561709423438,0.7296756276309516,False
4,18,1211,5,8,0.625,0.6261741937973676,0.6786890545523611,0.6098888541477202,False
4,19,1285,8,8,1.0,0.7259091258049563,0.6876135473320509,0.7247635351590309,False
