replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
1.0,0.45,50.0,5.0,6.0,6.1647910289960945e-06,6.993255022346436e-07
1.0,0.45,50.0,5.0,7.0,3.0823955144980473e-06,1.1265505475829966e-07
1.0,0.45,50.0,5.0,8.0,3.0823955144980473e-06,1.5879252448701152e-08
1.0,0.45,50.0,5.0,9.0,0.0,1.9895593588478606e-09
1.0,0.45,50.0,5.0,10.0,0.0,2.2435009517295348e-10
1.0,0.45,50.0,6.0,0.0,0.00014179019366691018,9.062220805864315e-05
1.0,0.45,50.0,6.0,1.0,0.000129460611608918,5.305941619233946e-05
1.0,0.45,50.0,6.0,2.0,0.0001048014474929336,2.927827151479896e-05
1.0,0.45,50.0,6.0,3.0,8.630707440594533e-05,1.0999571735517705e-05
1.0,0.45,50.0,6.0,4.0,2.157676860148633e-05,3.100845503354551e-06
1.0,0.45,50.0,6.0,5.0,6.1647910289960945e-06,6.993255022346436e-07
1.0,0.45,50.0,6.0,6.0,0.0,1.314308964325743e-07
1.0,0.45,50.0,6.0,7.0,0.0,2.1172336468828105e-08
1.0,0.45,50.0,6.0,8.0,0.0,2.984339020017158e-09
1.0,0.45,50.0,6.0,9.0,0.0,3.7391682300105075e-10
1.0,0.45,50.0,6.0,10.0,0.0,4.216424830653619e-11
1.0,0.45,50.0,7.0,0.0,3.0823955144980475e-05,1.4598423403813498e-05
1.0,0.45,50.0,7.0,1.0,2.4659164115984378e-05,8.547395192436892e-06
1.0,0.45,50.0,7.0,2.0,1.5411977572490238e-05,4.716466466870559e-06
1.0,0.45,50.0,7.0,3.0,1.8494373086988284e-05,1.7719321721042079e-06
1.0,0.45,50.0,7.0,4.0,1.5411977572490238e-05,4.995183485532677e-07
1.0,0.45,50.0,7.0,5.0,3.0823955144980473e-06,1.1265505475829966e-07
1.0,0.45,50.0,7.0,6.0,0.0,2.1172336468828105e-08
1.0,0.45,50.0,7.0,7.0,0.0,3.4106731652647256e-09
1.0,0.45,50.0,7.0,8.0,0.0,4.807502009336971e-10
1.0,0.45,50.0,7.0,9.0,0.0,6.023464042942788e-11
1.0,0.45,50.0,7.0,10.0,0.0,6.792281543626039e-12
1.0,0.45,50.0,8.0,0.0,6.1647910289960945e-06,2.0577154843390487e-06
1.0,0.45,50.0,8.0,1.0,6.1647910289960945e-06,1.204794994155202e-06
1.0,0.45,50.0,8.0,2.0,6.1647910289960945e-06,6.648078229063913e-07
1.0,0.45,50.0,8.0,3.0,6.1647910289960945e-06,2.4976205766519417e-07
1.0,0.45,50.0,8.0,4.0,3.0823955144980473e-06,7.040942793426902e-08
1.0,0.45,50.0,8.0,5.0,0.0,1.5879252448701152e-08
1.0,0.45,50.0,8.0,6.0,0.0,2.984339020017158e-09
1.0,0.45,50.0,8.0,7.0,0.0,4.807502009336971e-10
1.0,0.45,50.0,8.0,8.0,0.0,6.77639704828918e-11
1.0,0.45,50.0,8.0,9.0,0.0,8.490351929505045e-12
1.0,0.45,50.0,8.0,10.0,0.0,9.574035853543916e-13
1.0,0.45,50.0,9.0,0.0,0.0,2.5781736973650044e-07
1.0,0.45,50.0,9.0,1.0,0.0,1.5095239299570555e-07
1.0,0.45,50.0,9.0,2.0,3.0823955144980473e-06,8.329577416642607e-08
1.0,0.45,50.0,9.0,3.0,0.0,3.129344035043232e-08
1.0,0.45,50.0,9.0,4.0,0.0,8.821809260246826e-09
1.0,0.45,50.0,9.0,5.0,0.0,1.9895593588478606e-09
1.0,0.45,50.0,9.0,6.0,0.0,3.7391682300105075e-10
1.0,0.45,50.0,9.0,7.0,0.0,6.023464042942788e-11
1.0,0.45,50.0,9.0,8.0,0.0,8.490351929505045e-12
1.0,0.45,50.0,9.0,9.0,0.0,1.063781761504802e-12
1.0,0.45,50.0,9.0,10.0,0.0,1.1995597838059e-13
1.0,0.45,50.0,10.0,0.0,0.0,2.9072443192203974e-08
1.0,0.45,50.0,10.0,1.0,0.0,1.7021951913404195e-08
1.0,0.45,50.0,10.0,2.0,0.0,9.392740547617678e-09
1.0,0.45,50.0,10.0,3.0,0.0,3.528764442079408e-09
1.0,0.45,50.0,10.0,4.0,0.0,9.94779943776165e-10
1.0,0.45,50.0,10.0,5.0,0.0,2.2435009517295348e-10
1.0,0.45,50.0,10.0,6.0,0.0,4.216424830653619e-11
1.0,0.45,50.0,10.0,7.0,0.0,6.792281543626039e-12
1.0,0.45,50.0,10.0,8.0,0.0,9.574035853543916e-13
1.0,0.45,50.0,10.0,9.0,0.0,1.1995597838059e-13
1.0,0.45,50.0,10.0,10.0,0.0,1.3526681195294792e-14
2.0,0.45,20.0,0.0,0.0,0.8805144287862466,0.862380384696229
2.0,0.45,20.0,0.0,1.0,0.03679901173200584,0.04548883309303345
2.0,0.45,20.0,0.0,2.0,0.009120399817150812,0.009449995130775659
2.0,0.45,20.0,0.0,3.0,0.00154784533311764,0.0015405463695487007
2.0,0.45,20.0,0.0,4.0,0.00021324234993069622,0.00018897582287472466
2.0,0.45,20.0,0.0,5.0,1.593189970746581e-05,1.8546163886674385e-05
