model,replicate,realization,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,surrogate_seed,scheduled_return_fraction_absolute_error,scheduled_return_given_return_absolute_error,scheduled_return_given_escape_absolute_error,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,geometric_return_fraction_absolute_error,return_closure_quantile_maximum_error_over_dw,geometric_return_quality_required,unsupported_tuple_count,active_particle_count,non_propagating_particle_count,return_holding_time_mean_relative_error,return_holding_time_quantile_maximum_relative_error,escape_holding_time_mean_relative_error,escape_holding_time_quantile_maximum_relative_error,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
anchor_aware_semi_markov,2.0,0.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2084037.0,0.058891809309889465,0.04750015986036016,0.057542519471246834,0.002185704894003271,0.08086018390883454,0.01625927593573334,0.03367488231752158,0.026244891170416118,0.01197624578829981,1.0,0.0,2971.0,161.0,0.142290317956839,0.2857142857142857,0.17956933733999558,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,0.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2084037.0,0.058891809309889465,0.04750015986036016,0.057542519471246834,0.002185704894003271,0.08086018390883454,0.0008216078897820278,0.0014767007671999122,0.03202184076481296,1.203182656968299,0.0,0.0,2971.0,161.0,0.142290317956839,0.2857142857142857,0.17956933733999558,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,1.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2181446.0,0.05987123225311192,0.04960896409640625,0.05772154372126753,0.0027276183912736673,0.08390203115978223,0.017838383739204433,0.03576396759166489,0.024103568511795515,0.011700318086576844,1.0,0.0,2971.0,161.0,0.1411148080765957,0.2857142857142857,0.17883697665058573,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,1.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2181446.0,0.05987123225311192,0.04960896409640625,0.05772154372126753,0.0027276183912736673,0.08390203115978223,0.00029655401250894275,0.0038221550050105413,0.032696633392707564,1.2205303328076325,0.0,0.0,2971.0,161.0,0.1411148080765957,0.2857142857142857,0.17883697665058573,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,2.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2278855.0,0.060455497257225876,0.049377659816030706,0.058653271306411126,0.005417472893473274,0.07878687583034938,0.01697251879972292,0.035732495531712094,0.023137651318601682,0.014404715762356357,1.0,0.0,2971.0,161.0,0.15347030795787708,0.2857142857142857,0.18123302134286412,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,2.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2278855.0,0.060455497257225876,0.049377659816030706,0.058653271306411126,0.005417472893473274,0.07878687583034938,0.003394429749514566,0.008341729732366687,0.03350207154513968,1.2112999260623474,0.0,0.0,2971.0,161.0,0.15347030795787708,0.2857142857142857,0.18123302134286412,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,3.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2376264.0,0.05934937475336988,0.044184033085080565,0.06006751743082772,0.0012781694187768977,0.08036937965113933,0.017606179979797576,0.03550766425982688,0.026489379666525037,0.012941775991654303,1.0,0.0,2971.0,161.0,0.12916933967638278,0.2857142857142857,0.1727523142151438,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,3.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2376264.0,0.05934937475336988,0.044184033085080565,0.06006751743082772,0.0012781694187768977,0.08036937965113933,0.00027542349659884224,0.0022212670842818305,0.03202416816601711,1.1994572303303672,0.0,0.0,2971.0,161.0,0.12916933967638278,0.2857142857142857,0.1727523142151438,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,4.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2473673.0,0.05867799464784845,0.04792770573815025,0.05698209417110495,0.004106722888911785,0.0801895805115691,0.015750720876147734,0.03452801596818278,0.024514597513353553,0.014127056235871238,1.0,0.0,2971.0,161.0,0.13772762727624088,0.2857142857142857,0.1778650566212413,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,4.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2473673.0,0.05867799464784845,0.04792770573815025,0.05698209417110495,0.004106722888911785,0.0801895805115691,0.0005848035799725093,0.0021457297958691335,0.03476170167325954,1.215089264806543,0.0,0.0,2971.0,161.0,0.13772762727624088,0.2857142857142857,0.1778650566212413,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
