temperature,replicate,lag,heldout_msd,heldout_ngp,cage_variance_root_supported,inferred_cage_variance,inferred_cage_fraction,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,heldout_fs_k2_used_for_cage_diagnostic,blind_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,gaussian_fs_k2,gamma_fs_k2,gaussian_fs_k2_normalized_error,gamma_fs_k2_normalized_error,cage_gamma_fs_k2,cage_gamma_fs_k2_normalized_error,observed_fs_k4,gaussian_fs_k4,gamma_fs_k4,gaussian_fs_k4_normalized_error,gamma_fs_k4_normalized_error,cage_gamma_fs_k4,cage_gamma_fs_k4_normalized_error,observed_fs_k7p25,gaussian_fs_k7p25,gamma_fs_k7p25,gaussian_fs_k7p25_normalized_error,gamma_fs_k7p25_normalized_error,cage_gamma_fs_k7p25,cage_gamma_fs_k7p25_normalized_error
0.58,1,600,3.50923869994,0.0488024810963,0,,,1,1,1,0,0,0,0,0.109714661378,0.09637654013,0.109120052224,0.444604041607,0.0198203051509,,,0.00366469647171,8.62750709579e-05,0.000449231089029,0.119280713359,0.107182179423,,,-0.00209905657923,4.45398012976e-14,6.9955257432e-09,0.0699685526425,0.0699687858253,,
0.58,2,20,0.168937757648,0.526851386604,1,0.00130942746812,0.0465056771093,1,1,1,0,0,0,0,0.896357250053,0.893485500951,0.896362537895,0.0957249700613,0.000176261394432,,,0.666956122584,0.637308979366,0.667490119562,0.988238107294,0.0177998992568,0.667292151016,0.0112009477164,0.325801083178,0.227645622212,0.334822463637,3.27184869885,0.300712681975,0.33284943412,0.234945031392
0.58,2,100,0.642915236766,0.251577149598,0,,,1,1,1,0,0,0,0,0.666116889194,0.651413828259,0.665617962842,0.490102031164,0.0166308783742,,,0.245254396318,0.180064414932,0.240417157208,2.17299937955,0.161241303691,,,0.0340042951549,0.00358066996356,0.0299606711828,1.01412083971,0.134787465737,,
0.58,2,200,1.23944894651,0.130046473164,0,,,1,1,1,0,0,0,0,0.458251872483,0.437665964506,0.456189173903,0.686196932583,0.0687566193429,,,0.069638983403,0.0366919758063,0.0639636473174,1.09823358656,0.18917786952,,,0.00136329091936,1.92482731349e-05,0.00114712151991,0.0448014215408,0.00720564664816,,
0.58,2,400,2.44638694482,0.0624409381848,0,,,1,1,1,0,0,0,0,0.213495863015,0.195748495517,0.211586688677,0.59157891659,0.0636391445883,,,-0.000802261556707,0.00146822877521,0.00420088375937,0.075683011064,0.166771510536,,,0.000504094948215,4.92577668864e-10,1.23687642856e-06,0.0168031485213,0.0167619357262,,
0.58,2,600,3.68787514208,0.0526066491392,1,0.494838030934,0.805078282538,1,1,1,0,0,0,0,0.0956622028155,0.0855560614826,0.0990536967531,0.336871377761,0.11304979792,,,-0.00336469274894,5.35800525957e-05,0.000361187405724,0.113942426718,0.124196005155,0.000142905195431,0.116919931479,0.00472080773068,9.31339359517e-15,6.33124046458e-09,0.157360257689,0.157360046648,9.78874500054e-13,0.157360257657
0.58,3,20,0.170929702649,0.512225757858,1,0.00383177959644,0.134503700775,1,1,1,0,0,0,0,0.895144808188,0.892299772443,0.895161232547,0.0948345248231,0.00054747866571,,,0.663251833642,0.633932662726,0.663875713799,0.977305697193,0.0207960052283,0.663267963462,0.000537660658817,0.320149783326,0.223707604715,0.329095439751,3.21473928704,0.298188547474,0.323223455205,0.102455729298
0.58,3,100,0.649062875158,0.234371160169,1,0.0273896396818,0.253192478542,1,1,1,0,0,0,0,0.661946215318,0.648749520615,0.662227449848,0.439889823423,0.00937448433057,,,0.23653364403,0.177136557291,0.233903580659,1.97990289133,0.0876687790458,0.229776495164,0.22523829555,0.0301069764917,0.00339293066114,0.0269453433789,0.890468194352,0.105387770428,0.0207220014936,0.312832499938
0.58,3,200,1.23792254273,0.132173446756,1,0.0904703459768,0.438494378383,1,1,1,0,0,0,0,0.455953528502,0.438111561177,0.45689688442,0.594732244146,0.0314451972974,,,0.0661884332242,0.0368416315685,0.0646045766568,0.978226721856,0.0527952189118,0.059663234796,0.217506614271,0.00271205238789,1.95073883311e-05,0.0011967451952,0.0897514999853,0.0505102397563,0.000418266766752,0.0764595207046
0.58,3,400,2.39953901689,0.084660890257,1,0.229750846729,0.574487462247,1,1,1,0,0,0,0,0.220916129066,0.201958574786,0.22307393211,0.631918475997,0.0719267681314,,,0.00646924451906,0.00166360106201,0.0060157849126,0.160188115235,0.0151153202152,0.00437357064542,0.0698557957881,0.00102592014524,7.42527212642e-10,5.69715891734e-06,0.0341973134238,0.0340074328775,1.687344795e-07,0.0341917136921
