record,protocol,basis,memory_order,held_clone_index,training_clone_count,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,resolved_variables,generator_definition,thermodynamic_claim_allowed,held_bias_correlation,maximum_noise_initial_state_correlation,gfd_operator_normalized_rmse,gfd_operator_shape_correlation,gfd_operator_maximum_absolute_error,held_target_correlation_extrapolation_rmse,held_target_correlation_extrapolation_maximum_error,lag_minus_correlation_condition_number
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,16.0,3.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.01654192185844033,0.034097462779602114,0.9995716439456016,0.0015093155759812182,0.04967719755193231,0.15696844437220658,4.124605650444728
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,16.0,4.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.050060862161049366,0.0822460516049098,0.9986989528923506,0.004990192474211168,0.059110097261779605,0.1949995568020261,3.9137276227358337
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,32.0,1.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.03994739780139176,0.07799471226436773,0.9991083808354947,0.0038757619220329068,0.06081020214102694,0.1758907738402842,4.014362092671644
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,32.0,2.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.04612449439673143,0.08030116984524026,0.9991909039016964,0.004528988268554433,0.06041611897026178,0.20367383500334948,3.9318952561827785
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,32.0,3.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.01668639207780803,0.03942840207399369,0.999361313966042,0.0015662818110167703,0.04586217668054453,0.13280512415990078,4.124605650444728
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,32.0,4.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.04927300497185419,0.08807785594803254,0.9983672438132475,0.004989973219130486,0.05463756196380874,0.16735817652242,3.9137276227358337
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,40.0,1.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.04004135749530096,0.08010000791344091,0.9989927485714614,0.0038894687360798846,0.058450341631291335,0.16759952812600054,4.014362092671644
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,40.0,2.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.045858624318921105,0.08276690721153995,0.9990742761757558,0.004551435290314612,0.057917141081825683,0.19296917237561745,3.9318952561827785
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,40.0,3.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.01578803601293883,0.0407252835128976,0.9993055936937896,0.0015763166930484185,0.04366923267029289,0.12489636946950791,4.124605650444728
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,40.0,4.0,3.0,0.0,1.0,"delta_u,p,Lp",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.049004335547051185,0.09059330562087162,0.9982593400738904,0.005024020077665094,0.05216008208042929,0.1517349630660837,3.9137276227358337
