replicate,temperature,lag,predicted_msd,observed_msd,msd_relative_error,msd_log_error,predicted_ngp,observed_ngp,ngp_absolute_error,ngp_signed_error,calibration_only_microchannel_input,heldout_events_used_in_prediction,macro_fit_parameter_count,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,signed_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,signed_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,signed_error_fs_k7p25
2.0,0.45,100.0,0.06206253499243308,0.052775278088095054,0.17597741292495495,0.16209964259551735,1.4599662219671292,1.6163795842344126,0.15641336226728342,-0.15641336226728342,1.0,0.0,0.0,0.0,0.9605772618498022,0.9663158180281514,0.0057385561783491745,-0.0057385561783491745,0.86033121192871,0.8792594732386941,0.01892826130998415,-0.01892826130998415,0.6452993740927754,0.6847219017867405,0.03942252769396515,-0.03942252769396515
2.0,0.45,200.0,0.08151677887162942,0.06724485325845257,0.21223818510426873,0.1924683907023907,1.8019963096183869,2.1053026915279753,0.3033063819095885,-0.3033063819095885,1.0,0.0,0.0,0.0,0.9493798691418651,0.9579937366175421,0.00861386747567694,-0.00861386747567694,0.8290732411654795,0.8562828584879376,0.02720961732245808,-0.02720961732245808,0.5951312425980514,0.6480499865399985,0.052918743941947066,-0.052918743941947066
2.0,0.45,500.0,0.13297992762086266,0.1073797564638258,0.23840779677742208,0.2138265196809084,2.0396590074154433,2.3654625478366693,0.32580354042122606,-0.32580354042122606,1.0,0.0,0.0,0.0,0.9215104365529252,0.9359506294503632,0.014440192897438031,-0.014440192897438031,0.761035526820851,0.8005729633027215,0.03953743648187058,-0.03953743648187058,0.5049602506114867,0.5679871984961697,0.063026947884683,-0.063026947884683
2.0,0.45,1000.0,0.2140704407513085,0.171315127140714,0.24957115185442036,0.2228004139328479,1.7883780625880412,2.1878435702506227,0.3994655076625815,-0.3994655076625815,1.0,0.0,0.0,0.0,0.8804453901979619,0.9031995585846249,0.022754168386663,-0.022754168386663,0.6747167861737524,0.7283672041708552,0.053650417997102795,-0.053650417997102795,0.41435527290719815,0.4797847508304132,0.06542947792321507,-0.06542947792321507
2.0,0.45,2000.0,0.370015323398326,0.30417451341716534,0.21645735285803558,0.19594282537910765,1.456755530323076,1.7285262993440798,0.27177076902100383,-0.27177076902100383,1.0,0.0,0.0,0.0,0.8100049840624683,0.8413429351086408,0.03133795104617243,-0.03133795104617243,0.5531801066179606,0.6109579893966665,0.05777788277870588,-0.05777788277870588,0.30990389253083034,0.3600406540179815,0.05013676148715118,-0.05013676148715118
2.0,0.45,3000.0,0.5285286052454508,0.43061894250681476,0.22736961399947364,0.20487335427035305,1.2074228253548758,1.4125656124190522,0.20514278706417644,-0.20514278706417644,1.0,0.0,0.0,0.0,0.7463230312734072,0.7881757849378997,0.04185275366449259,-0.04185275366449259,0.4627739929997825,0.5238939683641092,0.06111997536432667,-0.06111997536432667,0.23675103693148233,0.28726954685338274,0.050518509921900406,-0.050518509921900406
2.0,0.45,4096.0,0.7230438628104257,0.5558987627910753,0.3006754308646822,0.26288369174538384,1.0097899289153252,1.2190995155464872,0.20930958663116206,-0.20930958663116206,1.0,0.0,0.0,0.0,0.6765114417761028,0.7401817350929626,0.0636702933168598,-0.0636702933168598,0.37502694456605146,0.4544658532335852,0.07943890866753373,-0.07943890866753373,0.17550365849382507,0.2310186639246761,0.05551500543085103,-0.05551500543085103
3.0,0.45,20.0,0.04135667736310791,0.04088453535015432,0.011548180966469257,0.011482009676082535,0.7668269002919084,0.6717795454013664,0.09504735489054195,0.09504735489054195,1.0,0.0,0.0,0.0,0.9730735981960118,0.9733464399062582,0.0002728417102464409,-0.0002728417102464409,0.8990701339098964,0.8998300405768516,0.0007599066669551346,-0.0007599066669551346,0.7184313077021452,0.719625334776794,0.0011940270746487736,-0.0011940270746487736
3.0,0.45,50.0,0.04948861103027006,0.049422321755792684,0.0013412820790761337,0.0013403833637990127,1.111376337525598,1.1237178798062692,0.012341542280671192,-0.012341542280671192,1.0,0.0,0.0,0.0,0.9680913801768065,0.9681502777661694,5.889758936283851e-05,-5.889758936283851e-05,0.8831130887985481,0.8834658788950288,0.00035279009648070403,-0.00035279009648070403,0.6866710951895125,0.6881653367468185,0.0014942415573059309,-0.0014942415573059309
3.0,0.45,100.0,0.060011284593432995,0.06145764487131366,0.02353426137479242,-0.023815615174212386,1.4431619382409648,1.5290982774510748,0.08593633921011001,-0.08593633921011001,1.0,0.0,0.0,0.0,0.9618019698141592,0.9610112315857834,0.0007907382283758313,0.0007907382283758313,0.8641421112040371,0.862271216767361,0.001870894436676096,0.001870894436676096,0.6525970026218313,0.6509038936949388,0.0016931089268924504,0.0016931089268924504
