lag,metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,temperature,independence_class,thermodynamic_claim_allowed
64.0,fs_k5,0.27213176306463444,0.009449998709645965,0.004226167900410735,0.260398039883795,0.28386548624547386,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,fs_k7p25,0.10559145013342157,0.006186981878501151,0.0027669024111775836,0.09790929747734758,0.11327360278949555,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,fs_k9,0.04880489903064917,0.0036566984342043126,0.001635325254419577,0.04426450823260959,0.05334528982868875,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,msd,0.7646975682309095,0.017537973223343467,0.00784322006299342,0.7429212982780222,0.7864738381837968,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,ngp_3d,0.23801042887441898,0.016507764301224557,0.007382496626816485,0.2175133322507551,0.25850752549808287,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,overlap_mean,0.08016460744725393,0.004072478323336028,0.0018212676735747454,0.07510795772970234,0.08522125716480551,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,overlap_chi4,0.7485253665186652,0.3145970392903286,0.14069207307466938,0.35790154889036835,1.139149184146962,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,fs_k5,0.09946536933398462,0.006906449463822374,0.0030886580968547605,0.09088987967934267,0.10804085898862656,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,fs_k7p25,0.0218779772710032,0.0027496971909415553,0.0012297019672971071,0.01846377726304904,0.025292177278957356,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
128.0,fs_k9,0.006662960060001721,0.0014973012028891585,0.0006696134544904726,0.00480381506190706,0.008522105058096384,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,msd,1.4836725698316289,0.030312959669594134,0.013556367684084409,1.4460340591308911,1.5213110805323666,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,ngp_3d,0.13841856225665836,0.015684148477328658,0.00701416443290134,0.11894411974987694,0.15789300476343976,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,overlap_mean,0.026805121945494236,0.0016611783342945538,0.0007429015356464984,0.024742496613204587,0.028867747277783885,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,overlap_chi4,0.08438738509709556,0.04923344149629774,0.02201786439039614,0.023255993283471284,0.14551877691071985,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,fs_k5,0.013967387038565482,0.003639777461141673,0.001627757965216876,0.00944800640359236,0.018486767673538605,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,fs_k7p25,0.0015401897677757756,0.0008515308666029829,0.00038081618053271505,0.0004828745473555978,0.0025975049881959535,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
256.0,fs_k9,0.0006336342830181773,0.0004157774596746121,0.00018594133266892205,0.00011737838007559308,0.0011498901859607613,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,msd,2.947237684052181,0.06365530998145881,0.028467520049472554,2.8681991773537026,3.0262761907506595,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,ngp_3d,0.07215444938490619,0.009083206439844858,0.004062133410631392,0.060876158960298216,0.08343273980951416,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,overlap_mean,0.008453591502849774,0.0003739213100629447,0.0001672226935073041,0.007989306873983427,0.00891787613171612,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,overlap_chi4,0.010450093507964093,0.00033490733042896285,0.00014977511140042894,0.010034251133035917,0.01086593588289227,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
