time,log10_time,renewal_mean,poisson_alpha_decay,gamma_exchange_alpha_decay,static_gamma_alpha_decay,poisson_ngp,gamma_exchange_ngp,static_gamma_ngp,gamma_exchange_alpha_slope_per_renewal,static_gamma_alpha_slope_per_renewal,static_gamma_late_ngp_plateau,static_gamma_late_alpha_decay_per_renewal,gamma_exchange_late_ngp_renewal_amplitude,gamma_exchange_late_alpha_decay_per_renewal
37.349387044993634,1.5722834788378623,5.912893900099883,0.10344664277392698,0.3804531274597478,0.46806281265149796,0.11524525406487185,1.185812562647515,1.818827653503981,0.16343812561130988,0.12838937918206164,2.5,0.0,26.0,0.09440460177605386
37.730983517115824,1.5766981259136705,5.981580759606097,0.10075599571004949,0.37750104505326265,0.46622658677823453,0.1143798412580741,1.1846310699183822,1.824810485648311,0.16286362770901186,0.12757221811052902,2.5,0.0,26.0,0.09440460177605386
38.116478737759934,1.5811127729894787,6.050969449959194,0.0981089097317459,0.3745497348701759,0.4643969483814908,0.11351778224910158,1.1833793793288028,1.8307493632901854,0.16229311510693833,0.12675912622306343,2.5,0.0,26.0,0.09440460177605386
38.505912540208364,1.585527420065287,6.121067135442265,0.09550538457718355,0.3715992842753841,0.4625738824321039,0.11265913420478246,1.18205813567069,1.8366444439254648,0.16172657090694037,0.12595009529050227,2.5,0.0,26.0,0.09440460177605386
38.89932516471779,1.589942067141095,6.191881054114541,0.09294540364519821,0.368649783118577,0.4607573737929969,0.11180395234197804,1.1806679897687853,1.8424958880455276,0.16116397814135797,0.12514511695179867,2.5,0.0,26.0,0.09440460177605386
39.296757262677254,1.5943567142169037,6.26341851851871,0.09042893399718983,0.3657013237526391,0.45894740722348853,0.11095228996371032,1.1792095982895234,1.848303859040609,0.16060531977571504,0.12434418271687736,2.5,0.0,26.0,0.09440460177605386
39.69824990080851,1.598771361292712,6.335686916398492,0.08795592637263279,0.36275400105098476,0.45714396738338475,0.1101041984948179,1.177683623550847,1.854068523105218,0.16005057871133024,0.12354728396938906,2.5,0.0,26.0,0.09440460177605386
40.103844565409695,1.60318600836852,6.408693711426468,0.0855263152183865,0.35980791242380816,0.45534703883686495,0.10925972751715474,1.1760907333329254,1.8597900491455555,0.15949973778785015,0.12275441196937002,2.5,0.0,26.0,0.09440460177605386
40.51358316664193,1.6076006554443283,6.482446443942104,0.08314001873197914,0.3568631578332351,0.45355660605617837,0.10841892480432436,1.1744316006897835,1.8654686086888734,0.1589527797857097,0.12196555785581277,2.5,0.0,26.0,0.09440460177605386
40.92750804286,1.6120153025201365,6.556952731699926,0.08079693891901292,0.3539198398073609,0.4517726534251622,0.10758183635596019,1.17270690376183,1.8711043757947285,0.1584096874285239,0.12118071264915499,2.5,0.0,26.0,0.09440460177605386
41.34566196498712,1.6164299495959447,6.632220270627871,0.07849696166481716,0.3509780634531527,0.44999516524259364,0.10674850643155409,1.1709173255892678,1.8766975269680595,0.15787044338541714,0.12039986725369116,2.5,0.0,26.0,0.09440460177605386
41.76808814093452,1.6208445966717528,6.70825683559574,0.07623995682045628,0.3480379364682003,0.44822412572538667,0.10591897758383673,1.1690635539263967,1.882248241074048,0.1573350302732921,0.11962301245991286,2.5,0.0,26.0,0.09440460177605386
42.19483022006607,1.625259243747561,6.785070281193744,0.07402577830317644,0.3450995691512951,0.4464595190116454,0.10509329069171325,1.1671462810568023,1.8877566992547135,0.15680343065904465,0.11885013894678267,2.5,0.0,26.0,0.09440460177605386
42.625932297708616,1.6296738908233692,6.862668542521126,0.07185426421135101,0.34216307441181526,0.4447013291635827,0.10427148499275862,1.1651662036094352,1.8932230848471823,0.1562756270617261,0.11808123728394604,2.5,0.0,26.0,0.09440460177605386
43.06143891970833,1.6340885378991774,6.941059635984832,0.06972523695396221,0.33922856777789706,0.4429495401703144,0.10345359811527488,1.1631240223755868,1.8986475833036045,0.1557516019546581,0.1173162979338855,2.5,0.0,26.0,0.09440460177605386
43.50139508703367,1.6385031849749856,7.020251660108228,0.0676385033946329,0.33629616740336793,0.4412041359505367,0.10263966610991693,1.1610204421267698,1.9040303821126645,0.15523133776750161,0.1165553112540215,2.5,0.0,26.0,0.09440460177605386
43.945846260425306,1.6429178320507938,7.100252796349817,0.06559385501019789,0.33336599407341944,0.4394651003550959,0.10182972348088803,1.1588561714335155,1.9093716707226511,0.154714816888285,0.11579826749876353,2.5,0.0,26.0,0.09440460177605386
44.39483836509361,1.647332479126602,7.181071309932017,0.0635910680637788,0.33043817120899455,0.43773241716945754,0.1010238032167099,1.1566319224850945,1.9146716404660429,0.15420202166539138,0.11504515682151434,2.5,0.0,26.0,0.09440460177605386
44.84841779546409,1.6517471262024102,7.262715550679898,0.06162990379230429,0.32751282486986516,0.4360060701160821,0.10022193682056924,1.1543484109101845,1.9199304844855867,0.15369293440951007,0.11429596927663169,2.5,0.0,26.0,0.09440460177605386
45.30663141997136,1.6561617732782183,7.345193953869981,0.059710108608388344,0.32459008375637394,0.4342860428567133,0.09942415434024832,1.1520063555984945,1.9251483976618173,0.15318753739555244,0.11355069482134938,2.5,0.0,26.0,0.09440460177605386
45.76952658590204,1.6605764203540265,7.42851504108901,0.05783141431645868,0.32167007920981416,0.4325723189945867,0.09863048439763755,1.1496064785233617,1.930325576542003,0.15268581286453603,0.11280932331766105,2.5,0.0,26.0,0.09440460177605386
46.23715112428719,1.6649910674298347,7.512687421102792,0.05599353834299678,0.3187529452114193,0.43086488207656126,0.09784095421783912,1.1471495045653455,1.935462219270477,0.15218774302543717,0.11207184453416891,2.5,0.0,26.0,0.09440460177605386
46.709553354844644,1.669405714505643,7.5977197907350345,0.0541961839807307,0.31583881837993777,0.42916371559518246,0.09705558965786065,1.1446361613368383,1.940558525520327,0.15169331005701525,0.11133824814789989,2.5,0.0,26.0,0.09440460177605386
47.18678209097196,1.673820361581451,7.683620935756257,0.05243904064659152,0.3129278379677623,0.42746880299067946,0.09627441523490488,1.14206717900771,1.9456146964264225,0.1512024961096091,0.1106085237460912,2.5,0.0,26.0,0.09440460177605386
47.668886644790256,1.6782350086572593,7.770399731782793,0.050721784153221317,0.31002014585558585,0.4257801276529008,0.09549745415425881,1.1394432901320106,1.9506309345197395,0.15071528330690762,0.10988266082794736,2.5,0.0,26.0,0.09440460177605386
48.1559168322397,1.6826496557330675,7.858065145185861,0.049044076993794344,0.30711588654555666,0.42409767292319456,0.0947247283367838,1.1367652294757595,1.9556074436629793,0.15023165374769587,0.10916064880637019,2.5,0.0,26.0,0.09440460177605386
48.64792297822692,1.6870643028088756,7.946626234010806,0.047405568639886805,0.30421520715290185,0.4224214220962342,0.09395625844601119,1.1340337338458373,1.960544428987436,0.14975158950757742,0.10844247700966389,2.5,0.0,26.0,0.09440460177605386
49.14495592182517,1.6914789498846838,8.036092148906478,0.04580589585210607,0.3013182573959911,0.42075135842179545,0.09319206391484802,1.1312495419200077,1.9654420968311,0.1492750726406743,0.10772813468321615,2.5,0.0,26.0,0.09440460177605386
49.64706702152754,1.6958935969604925,8.126472134064864,0.044244683003164025,0.29842518958480974,0.4190874651064864,0.09243216297189383,1.1284133940781034,1.9703006546779858,0.14880208518130567,0.1070176109911567,2.5,0.0,26.0,0.09440460177605386
50.15430816055364,1.7003082440363007,8.217775528170892,0.04272154241305638,0.2955361586078143,0.4174297253154348,0.09167657266737139,1.1255260322343856,1.9751203110986368,0.14833260914564592,0.10631089501799525,2.5,0.0,26.0,0.09440460177605386
50.66673175221101,1.7047228911121088,8.310011765362658,0.041236074695980646,0.2926513219171353,0.41577812217393223,0.09092530889867922,1.1225881996711196,1.9799012756918224,0.1478666265333624,0.10560797577023842,2.5,0.0,26.0,0.09440460177605386
51.184390745310786,1.709137538187917,8.4031903762019,0.039787869118607815,0.28977083951210447,0.41413263876904205,0.09017838643556142,1.1196006408733818,1.9846437590273778,0.14740411932923458,0.1049088421779883,2.5,0.0,26.0,0.09440460177605386
51.70733862963898,1.7135521852637252,8.497320988654945,0.03837650396929285,0.2868948739210707,0.41249325815116955,0.08943581894490826,1.1165641013651348,1.9893479725901841,0.14694506950475444,0.10421348309652233,2.5,0.0,26.0,0.09440460177605386
52.23562944148359,1.7179668323395334,8.592413329084101,0.03700154693778952,0.28402359018147855,0.41085996333559816,0.08869761901517781,1.113479327546585,1.9940141287252697,0.14648945901970878,0.10352188730785597,2.5,0.0,26.0,0.09440460177605386
52.76931776921812,1.7223814794153416,8.688477223249606,0.035662555505011115,0.28115715581817863,0.4092327373039928,0.08796379818045619,1.1103470665328665,1.9986424405840073,0.14603726982374404,0.10283404352228843,2.5,0.0,26.0,0.09440460177605386
53.30845875894228,1.7267961264911498,8.785522597322178,0.03435907734235672,0.27829574081994035,0.40761156300587253,0.08723436694414755,1.1071680659940646,2.0032331220714084,0.14558848385791406,0.10214994037993252,2.5,0.0,26.0,0.09440460177605386
53.85310812018021,1.731210773566958,8.883559478906236,0.03309065072010171,0.2754395176141393,0.40599642336005365,0.08650933480230272,1.1039430739966132,2.0077863877944764,0.14514308305621115,0.10146956645222886,2.5,0.0,26.0,0.09440460177605386
54.40332213163693,1.7356254206427661,8.982597998073897,0.03185680492433,0.2725886610395897,0.40438730125606454,0.08578871026658996,1.1006728388460931,2.012302453011615,0.1447010493470804,0.10079291024344504,2.5,0.0,26.0,0.09440460177605386
54.95915764701369,1.7400400677185743,9.082648388409792,0.030657060681866688,0.26974334831749375,0.4027841795555341,0.08507250088690843,1.0973581089314581,2.016781533583084,0.14426236465491848,0.10011996019216043,2.5,0.0,26.0,0.09440460177605386
55.5206721008826,1.7444547147943825,9.183720988066804,0.029490930592650063,0.2669037590204823,0.4011870410935539,0.08436071327365235,1.0939996325707169,2.0212238459224703,0.14382701090155584,0.09945070467273662,2.5,0.0,26.0,0.09440460177605386
56.087923514621394,1.7488693618701907,9.285826240832819,0.028357919568964825,0.2640700750397167,0.3995958686800164,0.08365335311961997,1.0905981578580919,2.02562960694917,0.14339497000772375,0.09878513199677427,2.5,0.0,26.0,0.09440460177605386
56.66097050240879,1.753284008945999,9.388974697208564,0.027257525280941,0.2612424805500283,0.39801064510092843,0.08295042522158136,1.0871544325127,2.0299990340418756,0.1429662238945055,0.09812323041455635,2.5,0.0,26.0,0.09440460177605386
57.23987227728107,1.757698656021807,9.493177015496626,0.02618923860770805,0.25842116197306925,0.3964313531197031,0.08225193350150128,1.0836692037287525,2.034332344993024,0.1425407544847726,0.09746498811647826,2.5,0.0,26.0,0.09440460177605386
57.82468865725065,1.7621133030976153,9.59844396290178,0.025152544093577714,0.25560630793844813,0.394857975478428,0.08155788102742267,1.0801432180273347,2.038629757964239,0.1421185437046054,0.09681039323446501,2.5,0.0,26.0,0.09440460177605386
58.415480071486954,1.7665279501734235,9.70478641664265,0.024146920408617878,0.25279810924283014,0.3932904948991133,0.08086827003401265,1.0765772211097624,2.0428914914427057,0.14169957348469875,0.09615943384337576,2.5,0.0,26.0,0.09440460177605386
59.012307566560715,1.7709425972492316,9.812215365074907,0.023171840812964986,0.2499967588069747,0.39172889408491823,0.08018310194277745,1.0729719577125587,2.047117764198497,0.14128382576175263,0.09551209796239553,2.5,0.0,26.0,0.09440460177605386
59.61523281275181,1.7753572443250398,9.920741908825992,0.022226773624214484,0.2472024516306923,0.3901731557213581,0.07950237738194432,1.0693281714640746,2.0513087952428304,0.14087128247984798,0.09486837355641506,2.5,0.0,26.0,0.09440460177605386
60.22431811042175,1.779771891400848,10.030377261941583,0.02131118268721661,0.2444153847456962,0.3886232624774906,0.0788260962060201,1.0656466047427682,2.0554648037872307,0.14046192559180729,0.0942282485373979,2.5,0.0,26.0,0.09440460177605386
60.839626396451095,1.7841865384766562,10.141132753043816,0.02042452784559924,0.2416357571663332,0.3870791970070841,0.07815425751502403,1.0619279985371801,2.0595860092036027,0.1400557370605406,0.09359171076573587,2.5,0.0,26.0,0.09440460177605386
61.461221250742824,1.7886011855524644,10.253019826501438,0.019566265414330933,0.23886376983817123,0.3855409419497662,0.0774868596734013,1.0581730923076256,2.063672630985196,0.1396526988603768,0.09295874805159225,2.5,0.0,26.0,0.09440460177605386
62.08916690279205,1.793015832628273,10.36605004361199,0.01873584865263322,0.23609962558442849,0.38400847993215426,0.0768239003286193,1.054382623849621,2.0677248887084376,0.1392527929783795,0.0923293481562332,2.5,0.0,26.0,0.09440460177605386
62.72352823832266,1.7974304797040812,10.48023508379605,0.017932728236548023,0.23334352905023045,0.3824817935689691,0.07616537642945165,1.0505573291590777,2.0717430019956344,0.13885600141564935,0.09170349879334765,2.5,0.0,26.0,0.09440460177605386
63.364370805992294,1.8018451267798894,10.59558674580387,0.01715635273046164,0.23059568664467361,0.38096086546412866,0.07551128424395093,1.0466979422992795,2.0757271904785393,0.13846230618861025,0.09108118763035485,2.5,0.0,26.0,0.09440460177605386
