parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,radial_heldout_committor,geometry_radial_heldout_committor,geometry_heldout_baseline_committor,radial_heldout_baseline_committor,geometry_radial_heldout_baseline_committor,thermodynamic_claim_allowed
2,9,682,6,8,0.75,0.7389628779454944,0.6904132099442597,0.7410104143311355,0.67626953125,0.67626953125,0.67626953125,False
2,10,719,5,8,0.625,0.6863800890983894,0.6819747504276943,0.6687684281457491,0.67626953125,0.67626953125,0.67626953125,False
2,11,770,4,8,0.5,0.6641530515894384,0.5570336126842994,0.5717735259040783,0.67626953125,0.67626953125,0.67626953125,False
2,12,804,4,8,0.5,0.6009174197502525,0.6632076864139859,0.6331066385667519,0.67626953125,0.67626953125,0.67626953125,False
2,13,896,4,8,0.5,0.6175605441027838,0.6790261723860264,0.6810625542924669,0.67626953125,0.67626953125,0.67626953125,False
2,14,1032,8,8,1.0,0.7369682680023322,0.6825807589579199,0.71484075902729,0.67626953125,0.67626953125,0.67626953125,False
2,15,1081,4,8,0.5,0.6691413274876716,0.6011589168989022,0.5726650562228627,0.67626953125,0.67626953125,0.67626953125,False
2,16,1093,5,8,0.625,0.6372479727496395,0.6726170350290884,0.6568515211219769,0.67626953125,0.67626953125,0.67626953125,False
2,17,1120,6,8,0.75,0.6664800531700616,0.7717404655333675,0.7395474906745879,0.67626953125,0.67626953125,0.67626953125,False
2,18,1211,6,8,0.75,0.7720535243791163,0.8230048889975865,0.8375560631418114,0.67626953125,0.67626953125,0.67626953125,False
2,19,1285,5,8,0.625,0.7183063110659877,0.7352195627727498,0.7404677904657592,0.67626953125,0.67626953125,0.67626953125,False
2,20,1387,4,8,0.5,0.6496040107838935,0.6856399001044063,0.6679263603379352,0.67626953125,0.67626953125,0.67626953125,False
2,21,1394,3,8,0.375,0.7143940143588301,0.6309509469726996,0.7010184074126287,0.67626953125,0.67626953125,0.67626953125,False
2,22,1438,6,8,0.75,0.5969849916609766,0.643482807754599,0.6200357413947717,0.67626953125,0.67626953125,0.67626953125,False
2,23,1470,7,8,0.875,0.699192072321245,0.7194267285393168,0.7361266419006859,0.67626953125,0.67626953125,0.67626953125,False
2,24,1480,7,8,0.875,0.6561724197271356,0.6709907060734135,0.6553402257967741,0.67626953125,0.67626953125,0.67626953125,False
2,25,1576,3,8,0.375,0.6838133244224499,0.5519167659964402,0.57244781109268,0.67626953125,0.67626953125,0.67626953125,False
2,26,1583,5,8,0.625,0.5693117633787426,0.6287151277119232,0.5102892303083644,0.67626953125,0.67626953125,0.67626953125,False
2,27,1663,4,8,0.5,0.7101112085340946,0.6742762163567969,0.685152094585235,0.67626953125,0.67626953125,0.67626953125,False
2,28,1725,4,8,0.5,0.604552725612154,0.7267695628910211,0.6537643134353821,0.67626953125,0.67626953125,0.67626953125,False
2,29,1737,5,8,0.625,0.7178798623464762,0.5422055244525331,0.5668735143744796,0.67626953125,0.67626953125,0.67626953125,False
2,30,1809,4,8,0.5,0.6838247706453959,0.5848437749741978,0.5508425009480079,0.67626953125,0.67626953125,0.67626953125,False
2,31,1831,6,8,0.75,0.6926385767616154,0.7161709825355097,0.732573436120341,0.67626953125,0.67626953125,0.67626953125,False
2,32,1836,8,8,1.0,0.6808112010843801,0.6816568413820063,0.6748286402795034,0.67626953125,0.67626953125,0.67626953125,False
2,33,1849,5,8,0.625,0.6991124039739084,0.7043837755560501,0.7317789932477686,0.67626953125,0.67626953125,0.67626953125,False
2,34,1911,7,8,0.875,0.7800707677525883,0.7893325434810469,0.8326124114297897,0.67626953125,0.67626953125,0.67626953125,False
2,35,1937,5,8,0.625,0.7160094666670224,0.6706034499647191,0.6810147285696584,0.67626953125,0.67626953125,0.67626953125,False
2,36,1956,7,8,0.875,0.6798012178060437,0.7807308144400539,0.749809629147947,0.67626953125,0.67626953125,0.67626953125,False
