replicate,temperature,block_size,first_count,second_count,heldout_probability,two_clock_probability,single_clock_probability,hmm_probability,poisson_probability
1.0,0.45,20.0,4.0,3.0,1.1029776720553254e-05,4.77681008410766e-05,5.334878044893563e-05,2.9270412890953707e-06,5.848984718945155e-10
1.0,0.45,20.0,4.0,4.0,1.2255307467281393e-06,1.9748060088629433e-05,2.219250045596084e-05,3.572929537225111e-07,1.4683503993697315e-11
1.0,0.45,20.0,4.0,5.0,0.0,7.4664430340588944e-06,8.413231745611175e-06,3.489077702113721e-08,2.9489602027451867e-13
1.0,0.45,20.0,4.0,6.0,0.0,2.645212643815882e-06,2.9816405429455e-06,2.8393282076998374e-09,4.935451307074322e-15
1.0,0.45,20.0,5.0,0.0,2.5736145681290926e-05,6.359984093844934e-05,5.3953128922642564e-05,1.7499007747869698e-05,6.960546068530988e-08
1.0,0.45,20.0,5.0,1.0,1.593189970746581e-05,4.301227415887217e-05,4.5616688118045493e-05,7.220336254935199e-06,6.989603215377954e-09
1.0,0.45,20.0,5.0,2.0,4.902122986912557e-06,2.9126452304140348e-05,3.2114425384952704e-05,1.7563503118355932e-06,3.509390831367092e-10
1.0,0.45,20.0,5.0,3.0,1.2255307467281393e-06,1.587515775130704e-05,1.7765723748179762e-05,2.85834757960061e-07,1.1746803194957854e-11
1.0,0.45,20.0,5.0,4.0,0.0,7.4664430340588944e-06,8.413231745611175e-06,3.489077702113721e-08,2.9489602027451867e-13
1.0,0.45,20.0,5.0,5.0,1.2255307467281393e-06,3.165579758758694e-06,3.5772493549066437e-06,3.40719375642795e-09,5.922541568489187e-15
1.0,0.45,20.0,5.0,6.0,0.0,1.2430761629707558e-06,1.4051782967629344e-06,2.7726930059092697e-10,9.912109189602278e-17
1.0,0.45,20.0,6.0,0.0,2.4510614934562785e-06,1.4745565740861112e-05,1.1873034883811324e-05,1.4240274669704606e-06,1.164933869229659e-09
1.0,0.45,20.0,6.0,1.0,0.0,1.0428035036160041e-05,1.094519114614603e-05,5.875737410783247e-07,1.169796943789031e-10
1.0,0.45,20.0,6.0,2.0,0.0,8.104741264482253e-06,8.916182167110675e-06,1.42927598886876e-07,5.873401597478926e-12
1.0,0.45,20.0,6.0,3.0,0.0,5.017317503948828e-06,5.613774089886973e-06,2.326055079040452e-08,1.9659734684967913e-13
1.0,0.45,20.0,6.0,4.0,0.0,2.645212643815882e-06,2.9816405429455e-06,2.8393282076998374e-09,4.935451307074322e-15
1.0,0.45,20.0,6.0,5.0,0.0,1.2430761629707562e-06,1.4051782967629344e-06,2.7726930059092697e-10,9.912109189602278e-17
1.0,0.45,20.0,6.0,6.0,0.0,5.35996310163458e-07,6.059342103514116e-07,2.2563514301217736e-11,1.6589146306601784e-18
1.0,0.45,50.0,0.0,0.0,0.762356553018744,0.7389548163426027,0.7426536039500854,0.7605577252029745,0.6052659837846148
1.0,0.45,50.0,0.0,1.0,0.052104813777074994,0.07291796171065065,0.07116239756167055,0.052650479574007605,0.15194817420814438
1.0,0.45,50.0,0.0,2.0,0.020722945043970372,0.01767491415107921,0.016815901499784118,0.019238115025687876,0.019072811180319525
1.0,0.45,50.0,0.0,3.0,0.007299112578331376,0.0053476273371652824,0.0049212098448945234,0.007140813715968548,0.0015960359651829381
1.0,0.45,50.0,0.0,4.0,0.0023672797551345004,0.0018317074441580497,0.0016189138766935318,0.0020124750720852736,0.000100168668559433
1.0,0.45,50.0,0.0,5.0,0.0006688798266460763,0.0006845060358327582,0.0005782269521039182,0.0004538652671005301,5.029341383203464e-06
1.0,0.45,50.0,0.0,6.0,0.00014487258918140822,0.00027309246241889414,0.00021997435500095626,8.529920598772606e-05,2.104306924890649e-07
1.0,0.45,50.0,0.0,7.0,3.0823955144980475e-05,0.00011449957567126981,8.791253886692818e-05,1.3740935598480793e-05,7.546755211211432e-09
1.0,0.45,50.0,0.0,8.0,1.2329582057992189e-05,4.983796627272047e-05,3.650308126499697e-05,1.9368486012510638e-06,2.368206099178864e-10
1.0,0.45,50.0,0.0,9.0,0.0,2.2310423727613667e-05,1.560682023401213e-05,2.426735939700151e-07,6.6058119269368196e-12
1.0,0.45,50.0,0.0,10.0,0.0,1.0199848808069265e-05,6.82224474707474e-06,2.7364774848769194e-08,1.65834705460272e-13
1.0,0.45,50.0,1.0,0.0,0.052477783634329256,0.07291796171065065,0.07116239756167055,0.052650479574007605,0.15194817420814438
1.0,0.45,50.0,1.0,1.0,0.018269358214429925,0.022711423910960805,0.023561918988970143,0.022910146066746153,0.03814562236063905
