block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k5,fs_k7p25,fs_k9,replicate,temperature,independence_class,thermodynamic_claim_allowed
0.0,4096.0,370.0,3277.0,0.6788936722757032,1.0603398250849927,0.270553159201313,0.6007477152778968,0.303758495666063,0.18129113614777484,0.11876418594381158,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,8192.0,114.0,3277.0,1.3141202510141252,0.7149293511250729,0.1356878617049184,0.21354031798521522,0.14707662431049187,0.0787393917887293,0.04552837029644609,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,1.0,625.0,3277.0,0.030461792061256973,0.1416780714484196,0.9576090326518157,0.11791101890753737,0.8817813960315111,0.7694301513134062,0.6701095082763844,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,2.0,625.0,3277.0,0.031725669623878176,0.19209383924700085,0.9508779981690572,0.19385854750076276,0.8775757832589769,0.7624375848912736,0.6615405271170505,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,4.0,625.0,3277.0,0.032312623574015376,0.2791501200658688,0.9469714983216356,0.20057232366188585,0.8760523446733138,0.7605575187322996,0.6599540107229734,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,8.0,625.0,3277.0,0.034681900057690285,0.3996097308245985,0.9360537076594446,0.3630660042722002,0.8685866719254713,0.7484992479039773,0.6453642327985538,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,16.0,625.0,3277.0,0.03746874845896355,0.5681813669088209,0.9240344217271895,0.5478101627586207,0.8603416227316966,0.7357699427604171,0.6304165044256963,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,32.0,624.0,3277.0,0.04163531820979292,0.8648352844215299,0.9077701618897837,0.9460815167855495,0.8491377942662343,0.7193369208185248,0.611668830372452,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,64.0,622.0,3277.0,0.04819503584079028,1.28832653880881,0.884665313247255,1.6125448797154203,0.83312677129444,0.6969725430206688,0.5868395534165861,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,128.0,618.0,3277.0,0.059517105781350436,1.7884431262597729,0.8505564427168666,2.957529226841211,0.8086545114044983,0.6648617279069148,0.5523491294757253,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,256.0,610.0,3277.0,0.08037682025796074,2.1757435553184954,0.796558227487156,5.011555462538617,0.7690706198183582,0.6155290991558594,0.5007569608583616,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,512.0,594.0,3277.0,0.1196286839062741,2.2711455665535505,0.7161606914429619,8.155599387842477,0.7075803262057688,0.5448814859989348,0.4304204239514922,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,1024.0,562.0,3277.0,0.19588700146834406,2.002729177939069,0.6032397699049886,11.7301911862663,0.6148228154328707,0.4489364277642878,0.34079253055040876,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,2048.0,498.0,3277.0,0.33977344752522537,1.5594974976469058,0.461815525758818,6.24288427194543,0.4893465915165134,0.3329556482976643,0.23933492615717866,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,4096.0,370.0,3277.0,0.612863838981664,1.061217101129543,0.2978696731519435,2.5355497922189607,0.33029145256160264,0.20344581613634694,0.1355994955814034,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,8192.0,114.0,3277.0,1.2116442377869965,0.7243532463688074,0.1466494279641735,0.2275346476411652,0.16477958270939763,0.09065038788133796,0.0572221386778897,2.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,1.0,625.0,3277.0,0.030733847867017564,0.13949705612312968,0.9564196521208421,0.11134139644797077,0.8807830171298036,0.7676119376491164,0.6676939947967298,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,2.0,625.0,3277.0,0.032111534994825885,0.19104233435434903,0.9490802563320111,0.20055682148306372,0.876191091847917,0.7599574055214983,0.6582877744721217,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,4.0,625.0,3277.0,0.03288581661697951,0.27658564684749165,0.9443437290204456,0.26347223455599644,0.8740289084492793,0.7570046586950173,0.6553717883715157,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,8.0,625.0,3277.0,0.03538479299287678,0.3993780526192259,0.9326925846811107,0.4954870891180959,0.8661907886066618,0.7444337091613636,0.640245096674058,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,16.0,625.0,3277.0,0.03858524901538282,0.5892601908986748,0.9190288678669516,0.7461315722429054,0.8568068161641665,0.7299734516607249,0.6232647218585282,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,32.0,624.0,3277.0,0.04322000849651128,0.8757420014289441,0.9006111945728973,1.2753269459674714,0.8442745454937036,0.7115287561146061,0.6022136342913336,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,64.0,622.0,3277.0,0.05083652802831021,1.2967432351877135,0.8742561181066126,2.1366096130697434,0.8257699251153534,0.685837604298167,0.5738754221359865,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,128.0,618.0,3277.0,0.06411822902526848,1.7220917110406102,0.8326380885508788,3.8457458373946083,0.7967016734675219,0.6474811948120986,0.5328028149950431,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,256.0,610.0,3277.0,0.08819870193081471,2.0225674333459147,0.7712156760731776,6.619884880877586,0.7517028005801905,0.5921668375860013,0.4757556693473661,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,512.0,594.0,3277.0,0.1340343463415249,2.0184044455189016,0.6776358848375937,10.816995580235753,0.6802487481405253,0.5109432921071706,0.3958500153728673,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,1024.0,562.0,3277.0,0.22387877587627883,1.7091859905873763,0.5413379349439694,14.656331841713692,0.5702707766187354,0.39702332036860977,0.29060003143934376,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,2048.0,498.0,3277.0,0.41146125299447633,1.2052105678242948,0.35902719820386214,10.816270872898844,0.40748969896988285,0.24927786504135926,0.16519009661290943,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,4096.0,370.0,3277.0,0.7812689262031839,0.7220098967817996,0.17746290691057248,4.964725250450658,0.21717194100980258,0.10471531520340886,0.057513885389729645,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,8192.0,114.0,3277.0,1.4992981361611988,0.45438831099609445,0.06635562051298524,0.04922716062114556,0.06960167652470646,0.024622185220651713,0.011349655195171515,3.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
