held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,12.0,uu,0.18588291243175017,0.10008525105399692,1.0120941966691963,0.0
1.0,40.0,12.0,up,0.11384613020525776,0.11021651742051049,0.006466473734774648,0.0
1.0,40.0,12.0,pu,-0.11277071117549758,-0.1280530695223475,0.006466473734774648,0.0
1.0,40.0,12.0,pp,-0.5499124089425589,-0.5775892680746453,1.016214427899563,0.0
1.0,40.0,13.0,uu,0.17410142375911386,0.08617297208570851,1.014955531668328,0.0
1.0,40.0,13.0,up,0.02195934229532869,0.013977412229369709,0.00684537708917014,0.0
1.0,40.0,13.0,pu,-0.020858022265635268,-0.03016767335664218,0.00684537708917014,0.0
1.0,40.0,13.0,pp,-0.46636296201634353,-0.48853846066930395,1.0185259989610558,0.0
1.0,40.0,14.0,uu,0.17736563144984033,0.08794114541956409,1.0166519896589472,0.0
1.0,40.0,14.0,up,-0.05265810737011963,-0.06422876107442171,0.0004173059118648974,0.0
1.0,40.0,14.0,pu,0.05373123781439455,0.047890906548025566,0.0004173059118648974,0.0
1.0,40.0,14.0,pp,-0.3598168509328852,-0.37765125288005463,1.019246178977513,0.0
1.0,40.0,15.0,uu,0.1922584629786899,0.10203267890047836,1.0164816956661593,0.0
1.0,40.0,15.0,up,-0.10695637436526961,-0.12111992842270897,0.0022037201768705006,0.0
1.0,40.0,15.0,pu,0.10799822545573905,0.10457292870221843,0.0022037201768705006,0.0
1.0,40.0,15.0,pp,-0.24261246942297626,-0.2534452470317498,1.0323363953998652,0.0
1.0,40.0,16.0,uu,0.21500943480582976,0.12390306123821464,1.019142122269269,0.0
1.0,40.0,16.0,up,-0.14003837692775736,-0.1557405039568439,0.012296022701619358,0.0
1.0,40.0,16.0,pu,0.14106245659685382,0.13498938431800372,0.012296022701619358,0.0
1.0,40.0,16.0,pp,-0.126093578523153,-0.13239793861436622,1.0320656686365361,0.0
1.0,40.0,17.0,uu,0.24186245713394458,0.14992637791637603,1.0239755270193152,0.0
1.0,40.0,17.0,up,-0.15292251231022577,-0.1689921365112763,0.01360433962662624,0.0
1.0,40.0,17.0,pu,0.15393186360072952,0.15073621154223188,0.01360433962662624,0.0
1.0,40.0,17.0,pp,-0.019793906728280297,-0.017116983588352487,1.0228869930931361,0.0
1.0,40.0,18.0,uu,0.26939252327539426,0.176189373773647,1.0287804887180796,0.0
1.0,40.0,18.0,up,-0.14817611620014073,-0.16309249991606845,0.010857208362229986,0.0
1.0,40.0,18.0,pu,0.14917362740199577,0.1378182280186864,0.010857208362229986,0.0
1.0,40.0,18.0,pp,0.0688454878683124,0.0831474786514552,1.0008830715947574,0.0
1.0,40.0,19.0,uu,0.29474016324490304,0.19843405668365213,1.030253458975058,0.0
1.0,40.0,19.0,up,-0.12942042405019416,-0.14096708501249489,-0.0008103350198684108,0.0
1.0,40.0,19.0,pu,0.13040938559849385,0.10827205729374031,-0.0008103350198684108,0.0
1.0,40.0,19.0,pp,0.13514353924604053,0.1558381326336374,0.9985511184550828,0.0
1.0,40.0,20.0,uu,0.315761818505259,0.215451586266389,1.0291143781321628,0.0
1.0,40.0,20.0,up,-0.10093883737854999,-0.10844923270471728,-0.005285108145046259,0.0
1.0,40.0,20.0,pu,0.10187184688452705,0.07647361992245508,-0.005285108145046259,0.0
1.0,40.0,20.0,pp,0.1771630429787542,0.20120704823848004,1.0120822180295765,0.0
1.0,40.0,21.0,uu,0.33109837906418443,0.2253183635918739,1.0261387387342775,0.0
1.0,40.0,21.0,up,-0.0670718094043138,-0.06972635611085241,-0.00882021836650198,0.0
1.0,40.0,21.0,pu,0.06794504750643317,0.03569715793962466,-0.00882021836650198,0.0
1.0,40.0,21.0,pp,0.1954412586762727,0.22367437806468152,1.0157862284774484,0.0
1.0,40.0,22.0,uu,0.34015610618196745,0.22874291498765037,1.0231920928515885,0.0
1.0,40.0,22.0,up,-0.031889728116356444,-0.02879245404275773,-0.008642590201285,0.0
1.0,40.0,22.0,pu,0.03270693742448148,0.002616466001773659,-0.008642590201285,0.0
1.0,40.0,22.0,pp,0.1925242988202696,0.2249422067199682,1.0251878371139562,0.0
1.0,40.0,23.0,uu,0.3430278868551961,0.22698928740000496,1.0203814697074964,0.0
1.0,40.0,23.0,up,0.0011341135006785368,0.010019361199482543,-0.006050749963244447,0.0
1.0,40.0,23.0,pu,-0.00036176254898900444,-0.0238486386825535,-0.006050749963244447,0.0
1.0,40.0,23.0,pp,0.17246791862372043,0.20104792377133038,1.0298651496608735,0.0
1.0,40.0,24.0,uu,0.3403557343373305,0.22094912787663096,1.018123863417513,0.0
1.0,40.0,24.0,up,0.029379232623981722,0.042687993910821155,-0.0071972068299472605,0.0
1.0,40.0,24.0,pu,-0.028628675970897344,-0.04221361521398966,-0.0071972068299472605,0.0
1.0,40.0,24.0,pp,0.14035979412877891,0.1597526250084673,1.0287913160385547,0.0
1.0,40.0,25.0,uu,0.33317065527118583,0.21212132238641004,1.0155078925497685,0.0
1.0,40.0,25.0,up,0.051165247548033005,0.06690631310322465,-0.006354186134835455,0.0
1.0,40.0,25.0,pu,-0.05040512009832842,-0.05512400432670063,-0.006354186134835455,0.0
