record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,paired_improvement_fraction,position_error_threshold,linearity_mismatch,linearity_identified,model_identified,transition_stable,spectral_radius,design_rank,maximum_held_residual_state_correlation,gate_pass,fit_failure,fit_parameters_from_macro_observables,second_generator_response_allowed,one_tau_generator_response_allowed,autonomous_stochastic_single_particle_gle_allowed,event_clock_claim_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,identified_fold_count,evaluable_fold_count,all_identified_folds_pass,integrity_gate_pass,primary_fit_time,minimum_one_tau_identified_folds
leave_one_member_out,first_generator_constrained,3,0.05,0.001,0.5,4202.544788461079,nan,0.35,0.0002742770439332557,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,3,0.05,0.001,1.0,21053355396.999565,nan,0.5,0.00036504490675649294,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.001,0.2,2.938300318948223,-3.531726843862946,0.2,0.00019807928860044252,1.0,1.0,0.0,1.1885299333966142,15.0,0.9718242833774249,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.001,0.5,46430.76813871074,-10.048250637612625,0.35,0.0002742770439332557,1.0,1.0,0.0,1.1885299333966142,15.0,0.8610622504296318,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.001,1.0,1801070683358.1306,-84.54791620602252,0.5,0.00036504490675649294,1.0,1.0,0.0,1.1885299333966142,15.0,0.8384372179119254,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.001,0.2,1.2608373760592624,nan,0.2,0.00019807928860044252,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.001,0.5,5855.4049625959215,nan,0.35,0.0002742770439332557,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.001,1.0,38562077075.89906,nan,0.5,0.00036504490675649294,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,3,0.05,0.002,0.2,0.6483633011983121,nan,0.2,0.00019807928860044252,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,3,0.05,0.002,0.5,4203.761352693317,nan,0.35,0.0002742770439332557,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
