model,replicate,lag,realization_count,predicted_msd,observed_msd,predicted_msd_mc_se,predicted_ngp,observed_ngp,predicted_ngp_mc_se,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,msd_relative_error,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,calibration_residual_source,heldout_target_source,debye_waller_source
anchor_aware_semi_markov,2.0,2000.0,16.0,0.6923774185043094,0.30417451341716534,0.003529525108134254,3.3010163074501513,1.7285262993440798,0.27721406633987966,0.0,0.0,0.0,1.2762505994535336,1.5724900081060715,0.7003031557056971,0.8413429351086408,0.14103977940294365,0.0005800829932360833,0.3770129462721094,0.6109579893966665,0.23394504312455705,0.0006923768201335731,0.16211368503938106,0.3600406540179815,0.19792696897860046,0.0006562430498335766,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,2.0,3000.0,16.0,1.015567839091049,0.43061894250681476,0.005833015189937111,3.127487396668922,1.4125656124190522,0.2381737201778202,0.0,0.0,0.0,1.3583910015174894,1.7149217842498699,0.6129827221650495,0.7881757849378997,0.1751930627728503,0.0007691993964020034,0.2912058054066755,0.5238939683641092,0.23268816295743366,0.0008628485127820202,0.1207255331652925,0.28726954685338274,0.16654401368809024,0.0006115568975475538,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,20.0,16.0,0.04478426734554395,0.04088453535015432,1.942455632129571e-05,0.8871720049691749,0.6717795454013664,0.004169186551695594,0.0,0.0,0.0,0.0953840360906757,0.2153924595678085,0.9709488347000703,0.9733464399062582,0.002397605206187925,1.134541024925891e-05,0.892078533932852,0.8998300405768516,0.007751506643999595,3.344214670938527e-05,0.7045137698848218,0.719625334776794,0.015111564891972185,5.7254112030028007e-05,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,100.0,16.0,0.0771425183689114,0.06145764487131366,6.732551272097608e-05,1.6730338004336318,1.5290982774510748,0.014760511621616007,0.0,0.0,0.0,0.2552143599130805,0.14393552298255696,0.9517150265588025,0.9610112315857834,0.00929620502698092,3.748464535780675e-05,0.8337335786124925,0.862271216767361,0.028537638154868428,0.0001029342347499508,0.5999190819441212,0.6509038936949388,0.050984811750817594,0.00017164346777471165,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,200.0,16.0,0.11283768679564916,0.08291711479064671,0.00013268990357565228,2.0167662256819585,1.8615152201432474,0.030123681363602654,0.0,0.0,0.0,0.3608491694452636,0.15525100553871107,0.9318128018431221,0.9487120659775828,0.016899264134460745,7.280331189288913e-05,0.7795552466742708,0.8285185258267364,0.048963279152465566,0.00020156850961864224,0.5184699837474107,0.5978656138385857,0.079395630091175,0.0002830207483884902,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,500.0,16.0,0.21352230604465725,0.1442378852338565,0.000402410410114675,2.3668632180833264,1.8875616697620217,0.08176400465585001,0.0,0.0,0.0,0.48034828504638827,0.4793015483213048,0.8808436813452073,0.9154651401493429,0.034621458804135585,0.0002084092031486442,0.6599427815438186,0.746495797190644,0.08655301564682538,0.0004598114022668413,0.3749806506522947,0.4861965894302254,0.11121593877793073,0.0004193955709830993,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,1000.0,16.0,0.37820440425614016,0.24403309580251992,0.0010039198722129722,2.45198440846247,1.5499016636258744,0.13735424578950564,0.0,0.0,0.0,0.5498078365657268,0.9020827448365956,0.8088047143292996,0.8653976751912258,0.05659296086192622,0.0004274106858676413,0.5242076020464254,0.6394261790931611,0.11521857704673577,0.0007054779495970413,0.25333967198631263,0.3638800632295381,0.11054039124322546,0.0005554104757131953,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,2000.0,16.0,0.705420580150165,0.45236003499621646,0.0026793395579896634,2.3974207448497964,1.073065313621913,0.2076826900090025,0.0,0.0,0.0,0.5594228613853236,1.3243554312278834,0.6941447045151747,0.7710587368632903,0.07691403234811556,0.0006441356053472061,0.36746790453530476,0.47164946591635304,0.10418156138104828,0.0008177877238259453,0.15352282245019117,0.21085493819329598,0.05733211574310482,0.0005952399696755722,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,3.0,3000.0,16.0,1.0319443433566378,0.6472318283567606,0.005102358755419846,2.4466585954493323,0.8235015742528151,0.29548344014662475,0.0,0.0,0.0,0.5943967804806716,1.6231570211965172,0.6064718532455009,0.6922019467726407,0.08573009352713978,0.0007147913384758617,0.2821786517133333,0.3580006787434651,0.0758220270301318,0.0009359476781287897,0.11369139140032802,0.1294193663865033,0.015727974986175286,0.00046297343104340056,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,1.0,20.0,16.0,0.045688251077056645,0.039439034265083064,2.1047733811827038e-05,0.960463055107698,0.6894572448102572,0.004619424978352807,0.0,0.0,0.0,0.15845258202750312,0.27100581029744086,0.9704084829856795,0.9742726065504118,0.0038641235647323136,1.2586807912373003e-05,0.890450104160747,0.9031194881740169,0.012669384013269891,3.900712768300496e-05,0.7017531946152594,0.7273620752980499,0.025608880682790436,6.665454930844347e-05,0.45,5000.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T045_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T045_debye_waller_heldout_replicates.csv
