temperature,replicate,lag,kernel_model,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,2.0,1000.0,lag_conditioned,0.0,0.21405578883350118,0.171315127140714,0.24948562573625543,1.7878003033462115,2.1878435702506227,0.40004326690441117,0.8804546668279662,0.9031995585846249,0.022744891756658614,0.6747335097359003,0.7283672041708552,0.053633694434954915,0.41434587492760455,0.4797847508304132,0.06543887590280867
0.45,2.0,1000.0,lag_pooled,0.0,0.21972683575958407,0.171315127140714,0.282588639000372,1.9537271899165969,2.1878435702506227,0.23411638033402582,0.8787716888653863,0.9031995585846249,0.024427869719238604,0.6733594960517493,0.7283672041708552,0.055007708119105936,0.41138878592400085,0.4797847508304132,0.06839596490641237
0.45,2.0,2000.0,lag_conditioned,1.1102230246251565e-16,0.3698732129965697,0.30417451341716534,0.2159901526309036,1.4577236305444963,1.7285262993440798,0.2708026687995835,0.8100719776806258,0.8413429351086408,0.031270957428015,0.5532990594629047,0.6109579893966665,0.05765892993376176,0.3099672683422852,0.3600406540179815,0.0500733856756963
0.45,2.0,2000.0,lag_pooled,1.1102230246251565e-16,0.3735484553220134,0.30417451341716534,0.22807282939482842,1.509807107055273,1.7285262993440798,0.21871919228880676,0.8094299627705541,0.8413429351086408,0.031912972338086654,0.5523417011020781,0.6109579893966665,0.058616288294588315,0.3057580065285665,0.3600406540179815,0.054282647489415026
0.45,2.0,3000.0,lag_conditioned,0.0,0.5285886226248335,0.43061894250681476,0.22750898868427827,1.2080754402712808,1.4125656124190522,0.20449017214777143,0.7463257670569051,0.7881757849378997,0.04185001788099463,0.46279476673787856,0.5238939683641092,0.061099201626230615,0.23679379983149274,0.28726954685338274,0.050475747021890005
0.45,2.0,3000.0,lag_pooled,0.0,0.5214641834799202,0.43061894250681476,0.2109643399434704,1.2227127300785021,1.4125656124190522,0.1898528823405501,0.7485467808291127,0.7881757849378997,0.039629004108787,0.460844061402314,0.5238939683641092,0.06304990696179519,0.23503504025663433,0.28726954685338274,0.052234506596748415
0.45,2.0,4096.0,lag_conditioned,0.0,0.7230833510901081,0.5558987627910753,0.30074646588459153,1.0101500833052954,1.2190995155464872,0.20894943224119178,0.6765038640110749,0.7401817350929626,0.06367787108188772,0.3749976432485736,0.4544658532335852,0.07946820998501158,0.1755037823363064,0.2310186639246761,0.0555148815883697
0.45,2.0,4096.0,lag_pooled,0.0,0.6771073118363382,0.5558987627910753,0.21804068862591985,0.9975653089217786,1.2190995155464872,0.22153420662470857,0.689148109067751,0.7401817350929626,0.051033626025211554,0.38227851089017634,0.4544658532335852,0.07218734234340884,0.180821391779268,0.2310186639246761,0.05019727214540809
0.45,3.0,20.0,lag_conditioned,0.0,0.04138067818254496,0.04088453535015432,0.012135220032255312,0.7747387674379194,0.6717795454013664,0.10295922203655294,0.9730614141455773,0.9733464399062582,0.00028502576068090146,0.8990490708463571,0.8998300405768516,0.0007809697304944629,0.718430866792379,0.719625334776794,0.0011944679844150263
0.45,3.0,20.0,lag_pooled,0.0,0.040883005849410056,0.04088453535015432,3.7410251361946756e-05,0.8485814592628511,0.6717795454013664,0.1768019138614847,0.9733976040962371,0.9733464399062582,5.116418997885841e-05,0.9003372028372848,0.8998300405768516,0.000507162260433236,0.7211842411004983,0.719625334776794,0.0015589063237042566
