replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_mode_prediction,two_mode_prediction,hmm_prediction,static_prediction,poisson_prediction
2.0,0.58,20.0,1.0,20.0,0.07737190959977135,0.08122035034403655,0.0822954655974798,0.05477478482091462,0.009925840801845175,0.0
2.0,0.58,20.0,2.0,40.0,0.02304535040816494,0.03403201888624202,0.03053110657507224,0.03376889160804138,0.009925840801845175,0.0
2.0,0.58,20.0,3.0,60.0,0.007615024728507293,0.014259705905818846,0.015492258616073281,0.020818667643587585,0.009925840801845175,0.0
2.0,0.58,20.0,4.0,80.0,0.009625686603744714,0.005974938283859732,0.007966970631031599,0.012834798591700034,0.009925840801845175,0.0
2.0,0.58,20.0,5.0,100.0,0.004043825903679818,0.002503550054378394,0.00409901900894725,0.007912708810654595,0.009925840801845175,0.0
2.0,0.58,20.0,6.0,120.0,0.00503954984095825,0.0010490088059502372,0.002108987779967533,0.00487821918473266,0.009925840801845175,0.0
2.0,0.58,20.0,7.0,140.0,0.002007610911476984,0.00043954362847135745,0.0010850967389210494,0.0030074432136628975,0.009925840801845175,0.0
2.0,0.58,20.0,8.0,160.0,0.004995413419838619,0.00018417252575373655,0.0005582938741875101,0.0018541017410029917,0.009925840801845175,0.0
2.0,0.58,20.0,9.0,180.0,-0.000383570272862807,7.716985765548665e-05,0.00028724816785026297,0.0011430617377487923,0.009925840801845175,0.0
2.0,0.58,20.0,10.0,200.0,0.0005886336955342892,3.233482793481891e-05,0.00014779225377615823,0.0007047025022469792,0.009925840801845175,0.0
2.0,0.58,20.0,11.0,220.0,-0.002965497103570396,1.3548568435126666e-05,7.604069484489734e-05,0.00043445213873678925,0.009925840801845175,0.0
2.0,0.58,20.0,12.0,240.0,0.005430942657023087,5.6769656239192446e-06,3.91237505671476e-05,0.0002678416214659886,0.009925840801845175,0.0
2.0,0.58,20.0,13.0,260.0,0.014283883374090945,2.3786969707888198e-06,2.012958799972223e-05,0.00016512551738867773,0.009925840801845175,0.0
2.0,0.58,20.0,14.0,280.0,0.0062321549339316345,9.966943000323522e-07,1.0356888262619932e-05,0.00010180059523101749,0.009925840801845175,0.0
2.0,0.58,20.0,15.0,300.0,0.009993890157934528,4.176234047111722e-07,5.328729752733869e-06,6.276050699660095e-05,0.009925840801845175,0.0
2.0,0.58,20.0,16.0,320.0,0.005026682940459847,1.7498776521235277e-07,2.7416884355270747e-06,3.869212384791897e-05,0.009925840801845175,0.0
2.0,0.58,20.0,17.0,340.0,0.005774860635961433,7.332136472377727e-08,1.4106280157379795e-06,2.385386160031785e-05,0.009925840801845175,0.0
2.0,0.58,20.0,18.0,360.0,0.006077212473533332,3.0722276602785396e-08,7.257831973173582e-07,1.4706008785757628e-05,0.009925840801845175,0.0
2.0,0.58,20.0,19.0,380.0,0.008426263852548832,1.2872895686187009e-08,3.734232154978352e-07,9.066317983663442e-06,0.009925840801845175,0.0
2.0,0.58,20.0,20.0,400.0,0.005121465703854437,5.393852984593849e-09,1.9213023722257458e-07,5.589424226409127e-06,0.009925840801845175,0.0
2.0,0.58,20.0,21.0,420.0,0.0036822518291343242,2.2600703624616725e-09,9.885306141448717e-08,3.445904196065423e-06,0.009925840801845175,0.0
