record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,full_state_relative_l2_error,linearity_tolerance,linearity_identified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,position_error_threshold,model_identified,gate_evaluable,transition_stable,gate_pass,spectral_radius,design_rank,fit_failure,training_second_generator_relative_l2_error,maximum_residual_state_correlation,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,linearity_identified_fold_count,evaluable_fold_count,all_identified_folds_pass
leave_one_member_out,free_transition,3,0.05,0.002,0.2,4.144548876293755,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0938426163701311,12.0,,,,,,,,
leave_one_member_out,free_transition,3,0.05,0.002,1.0,602816.0988971328,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0938426163701311,12.0,,,,,,,,
leave_one_member_out,generator_constrained,4,0.05,0.001,0.2,2.890432747922773,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1146458799034942,12.0,,0.2408904654520781,0.006001675849837363,,,,,
leave_one_member_out,generator_constrained,4,0.05,0.001,1.0,97246283.80749062,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1146458799034942,12.0,,0.2408904654520781,0.006001675849837363,,,,,
leave_one_member_out,generator_constrained,4,0.05,0.002,0.2,2.8920250219412766,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1146458799034942,12.0,,0.2408904654520781,0.006001675849837363,,,,,
leave_one_member_out,generator_constrained,4,0.05,0.002,1.0,97432752.3729013,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1146458799034942,12.0,,0.2408904654520781,0.006001675849837363,,,,,
leave_one_member_out,free_transition,4,0.05,0.001,0.2,3.0007708990103072,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.102525586877655,12.0,,,,,,,,
leave_one_member_out,free_transition,4,0.05,0.001,1.0,1187246.0346196685,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.102525586877655,12.0,,,,,,,,
leave_one_member_out,free_transition,4,0.05,0.002,0.2,3.002127825569429,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.102525586877655,12.0,,,,,,,,
leave_one_member_out,free_transition,4,0.05,0.002,1.0,1189360.6034648553,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.102525586877655,12.0,,,,,,,,
leave_one_member_out,generator_constrained,5,0.05,0.001,0.2,1.6641151637241798,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1229720170531032,12.0,,0.18703436430060982,0.0042480589472190045,,,,,
