held_clone_index,lag_frames,lag_time,kernel,observed_random_force_correlation,fdt_target_force_correlation,thermodynamic_claim_allowed
3.0,8.0,0.08,-374.72628208383264,18.857959497222332,-82.25928436806953,0.0
3.0,9.0,0.09,566.8547489933057,10.709012505313973,124.43500288671851,0.0
3.0,10.0,0.1,-389.26788129413103,9.650410517552697,-85.45143181487931,0.0
3.0,11.0,0.11,543.2208605885553,6.570624559688459,119.2469313797014,0.0
3.0,12.0,0.12,-393.1552796366563,9.255915129481917,-86.304786973027,0.0
3.0,13.0,0.13,531.2971516488387,9.011808898780721,116.6294588102839,0.0
3.0,14.0,0.14,-387.65723643304597,13.579444174986259,-85.09786575885785,0.0
3.0,15.0,0.15,521.2885796426801,14.594156604719503,114.43239388546841,0.0
3.0,16.0,0.16,-378.80423418305,19.619162679078094,-83.15446956699252,0.0
3.0,17.0,0.17,515.6636021123569,20.54036988090374,113.19760826099133,0.0
3.0,18.0,0.18,-368.81035432861523,24.753086952112312,-80.96062983865887,0.0
3.0,19.0,0.19,510.01057919437903,24.467473828505863,111.95666616009774,0.0
3.0,20.0,0.2,-361.35245650889624,27.019337421183128,-79.32348462928435,0.0
3.0,21.0,0.21,501.92655171827073,25.052312358307812,110.1820740196732,0.0
3.0,22.0,0.22,-357.009361591821,25.899469298221117,-78.37009572409599,0.0
3.0,23.0,0.23,488.5000906028199,22.602927818522723,107.23471981539667,0.0
3.0,24.0,0.24,-353.9532683172947,22.399219589397333,-77.69922725891489,0.0
3.0,25.0,0.25,474.3885795193453,18.597049551379996,104.13698459217309,0.0
3.0,26.0,0.26,-351.6076205835294,18.2159905726972,-77.18431460617506,0.0
3.0,27.0,0.27,462.03105346465395,14.717912608492494,101.42428121795054,0.0
3.0,28.0,0.28,-349.3514724113333,14.83352033552209,-76.68904874694275,0.0
3.0,29.0,0.29,451.732068206726,12.131424056743636,99.1634652636404,0.0
3.0,30.0,0.3,-342.69568241653997,13.032122319482355,-75.2279809007505,0.0
3.0,31.0,0.31,441.77504995085843,11.21743789656706,96.97771733154251,0.0
3.0,32.0,0.32,-336.9801978821332,12.82559645737003,-73.97332733067641,0.0
3.0,33.0,0.33,434.8436692855312,11.679371950392124,95.45615228400486,0.0
3.0,34.0,0.34,-329.81680689501354,13.670519893420398,-72.40083176678822,0.0
3.0,35.0,0.35000000000000003,427.0695763866671,12.815192799740386,93.74959646167163,0.0
3.0,36.0,0.36,-322.3595339058266,14.833197211487684,-70.76382371916316,0.0
3.0,37.0,0.37,420.2025280968186,13.98547130867865,92.24215354920054,0.0
3.0,38.0,0.38,-315.7240264842923,15.841039911936608,-69.30720826940319,0.0
3.0,39.0,0.39,413.84175625253516,14.879439876269476,90.84584759214395,0.0
3.0,40.0,0.4,-309.76987802012206,16.491187495800766,-68.00016359412655,0.0
3.0,41.0,0.41000000000000003,408.19625205276117,15.346799861041013,89.60655598764836,0.0
3.0,42.0,0.42,-304.6919532561028,16.663858591100077,-66.88546607453897,0.0
3.0,43.0,0.43,400.1877259210273,15.321814819397119,87.84853777559238,0.0
3.0,44.0,0.44,-301.677996138628,16.373708447992385,-66.22384726781736,0.0
3.0,45.0,0.45,393.2001010311905,14.905688057940313,86.31462609031085,0.0
3.0,46.0,0.46,-297.9166776630804,15.8079057395554,-65.39816895041095,0.0
3.0,47.0,0.47000000000000003,386.7393368009746,14.370589116659351,84.89636997255747,0.0
3.0,48.0,0.48,-291.65770510071854,15.294342077103924,-64.02420980082536,0.0
3.0,49.0,0.49,378.7600041676173,14.033296192533408,83.14476026825625,0.0
3.0,50.0,0.5,-284.8328570528405,15.078717928916271,-62.526030614627615,0.0
3.0,51.0,0.51,371.73105264241303,14.031628757363555,81.60177662935631,0.0
3.0,52.0,0.52,-279.013700071314,15.177936651658943,-61.248619043002826,0.0
3.0,53.0,0.53,367.255195310769,14.270161918402197,80.61924394179786,0.0
3.0,54.0,0.54,-273.086313019003,15.394593326812496,-59.94744898793157,0.0
3.0,55.0,0.55,362.6356674107964,14.462042761405419,79.60517293226812,0.0
3.0,56.0,0.56,-268.12649967333516,15.390920170664408,-58.858679088619944,0.0
3.0,57.0,0.5700000000000001,355.78524898386695,14.307311375031594,78.10138057938751,0.0
3.0,58.0,0.58,-263.91784616788533,15.004428407475963,-57.93480253641692,0.0
3.0,59.0,0.59,349.0594488577624,13.83699108142796,76.62494422669992,0.0
3.0,60.0,0.6,-259.6732357378311,14.447664680423799,-57.00303278048772,0.0
3.0,61.0,0.61,342.916563211752,13.352400540293022,75.2764682821099,0.0
3.0,62.0,0.62,-255.5034932042512,13.99091703842769,-56.08769789950746,0.0
3.0,63.0,0.63,336.3764125695997,13.02715099038898,73.84078539247885,0.0
3.0,64.0,0.64,-251.60420818092152,13.720303894537182,-55.23173339714444,0.0
3.0,65.0,0.65,331.0418734011907,12.905868835791681,72.66975630963327,0.0
3.0,66.0,0.66,-247.40284911925124,13.67303505532322,-54.30945810899429,0.0
3.0,67.0,0.67,324.36177171222937,13.028084863443834,71.20335160115073,0.0
