time,log10_time,renewal_mean,effective_shape,poisson_alpha_decay,gamma_exchange_alpha_decay,poisson_ngp,gamma_exchange_ngp,gamma_exchange_local_beta,poisson_scattering_susceptibility,gamma_exchange_scattering_susceptibility
0.02401561114855064,-1.619506356971471,9.178762253821137e-08,0.4000000036715049,0.9999999647823016,0.9999999647823031,5.164498810805718e-05,5.16449999589654e-05,2.9940044409778466,1.2972235619024275e-08,1.2972236396180392e-08
0.024260977223209523,-1.6150917098956628,9.462403443794009e-08,0.4000000037849614,0.9999999636940079,0.9999999636940096,5.218762628578233e-05,5.218763863128737e-05,2.993943390833124,1.3367623674653828e-08,1.3367624562832248e-08
0.024508850188499715,-1.6106770628198546,9.754803598382988e-08,0.4000000039019215,0.9999999625721071,0.9999999625721089,5.273611968270586e-05,5.2736132543569285e-05,2.993881766931736,1.3774998919302561e-08,1.3774999807480981e-08
0.024759255657174108,-1.6062624157440464,1.0056232935998221e-07,0.4000000040224932,0.9999999614155626,0.9999999614155645,5.329053456137878e-05,5.3290547958790504e-05,2.993819411143022,1.4194721620341966e-08,1.419472273056499e-08
0.025012219503669563,-1.6018477686682382,1.0366970010632082e-07,0.400000004146788,0.9999999602233055,0.9999999602233074,5.385093804854968e-05,5.3850952005213954e-05,2.9937562926530745,1.4627163924529896e-08,1.4627165145775223e-08
0.025267767866780536,-1.59743312159243,1.0687301968466401e-07,0.4000000042749208,0.9999999589942341,0.9999999589942362,5.4417398145822915e-05,5.441741268517623e-05,2.9936924901700195,1.5072708414720637e-08,1.507270941392136e-08
0.025525927152359986,-1.5930184745166218,1.1017524779936838e-07,0.4000000044070099,0.9999999577272128,0.9999999577272151,5.498998357600371e-05,5.498999872231691e-05,2.9936281604991564,1.5531748553954117e-08,1.553174966417714e-08
0.02578672403604792,-1.5886038274408136,1.1357943543552351e-07,0.4000000045431774,0.9999999564210711,0.9999999564210734,5.556876396073385e-05,5.556877973960227e-05,2.993563153797254,1.6004690461812743e-08,1.6004691905102675e-08
0.026050185466027758,-1.5841891803650054,1.1708872781034107e-07,0.4000000046835491,0.9999999550746019,0.9999999550746045,5.615380989931751e-05,5.615382633678837e-05,2.993497515403078,1.649195224828759e-08,1.649195358055522e-08
0.026316338665810925,-1.5797745332891973,1.2070636664633648e-07,0.4000000048282547,0.9999999536865617,0.9999999536865645,5.674519267695466e-05,5.674520980071656e-05,2.993431236288643,1.6993963902756093e-08,1.6993965457068327e-08
