record,member_index,epsilon,stride,frame_time,maximum_time,position_velocity_relative_l2_error,velocity_force_relative_l2_error,force_generator_relative_l2_error,generator_second_relative_l2_error,tangent_innovation_rms,tangent_innovation_lag1_correlation,tangent_innovation_squared_norm_lag1_correlation,symmetric_tangent_residual_rms,symmetric_tangent_residual_lag1_correlation,symmetric_tangent_residual_squared_norm_lag1_correlation,symmetric_tangent_residual_max_abs_component_excess_kurtosis,symmetric_tangent_residual_normalized_mean,dump_float_format_verified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,reference_epsilon,symmetric_residual_cross_epsilon_relative_l2_error,symmetric_residual_cross_epsilon_correlation,maximum_symmetric_residual_cross_epsilon_relative_l2_error,minimum_symmetric_residual_cross_epsilon_correlation
resolution_member,1,0.002,1,0.001,0.2,,,,,72.78477242482349,0.5190993275608923,0.5505587082084179,72.9026634733574,0.5151322587966988,0.5388465224279853,3.6911037519707364,1.3477123441247596,1.0,0.0,0.0,,,,,
resolution_member,2,0.002,1,0.001,0.2,,,,,68.22232612668864,0.511096438833224,0.33262098171824483,68.15648945542625,0.5057977327651942,0.32404623489655904,4.039678345055335,1.0814663376485614,1.0,0.0,0.0,,,,,
resolution_member,3,0.002,1,0.001,0.2,,,,,58.7399086240433,0.45994212360622583,0.39629915207440486,58.978922074267444,0.4534990245744736,0.38540058879891476,4.446056725938266,2.624035023867348,1.0,0.0,0.0,,,,,
resolution_member,4,0.002,1,0.001,0.2,,,,,61.393527286241486,0.5074985058289772,0.4210096051073595,60.973216554084885,0.49205109391991764,0.42214352067430594,3.5221705093391513,1.7785136342282561,1.0,0.0,0.0,,,,,
resolution_member,5,0.002,1,0.001,0.2,,,,,60.33070973073641,0.4835189389203618,0.47193445425074787,61.1846435511521,0.48936832162097205,0.486000072401158,10.085207166808996,0.5308385533420921,1.0,0.0,0.0,,,,,
resolution_member,6,0.002,1,0.001,0.2,,,,,69.18122475152673,0.5304019051608284,0.4801141894681809,69.85891636381825,0.5303494583727087,0.4961371989426302,4.500651464857028,1.5145961311518306,1.0,0.0,0.0,,,,,
resolution_member,7,0.002,1,0.001,0.2,,,,,51.619799222438395,0.5302201396441004,0.5960234600907184,52.82309574768722,0.5413048089858885,0.6092282386741295,8.638398256802018,2.318899016761751,1.0,0.0,0.0,,,,,
resolution_member,8,0.002,1,0.001,0.2,,,,,78.85400709756607,0.5403686729929373,0.5476605372838864,79.01788379629873,0.5383784834586831,0.5595683674019982,3.457001300707727,1.8598734702319668,1.0,0.0,0.0,,,,,
resolution_cross_epsilon,1,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.005220266065634337,0.999986357729771,,
resolution_cross_epsilon,2,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.010694590214460118,0.9999428153602198,,
resolution_cross_epsilon,3,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.010807747859292031,0.9999411998518226,,
resolution_cross_epsilon,4,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.02217171590863814,0.9997537907616065,,
resolution_cross_epsilon,5,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.016966914891473634,0.9998560513300923,,
resolution_cross_epsilon,6,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.008297035410351358,0.9999654250028426,,
resolution_cross_epsilon,7,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.009545520631791548,0.9999543417713249,,
resolution_cross_epsilon,8,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.009794744515549706,0.9999518366814445,,
resolution_cross_epsilon_aggregate,,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.01168731693714886,0.9999189773111404,0.02217171590863814,0.9997537907616065
