replicate,temperature,lag,observed_msd,event_msd,residual_msd,factorized_msd,msd_relative_error,observed_ngp,event_ngp,residual_ngp,factorized_ngp,ngp_absolute_error,oracle_uses_heldout_events_and_residual,prediction_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,event_fs_k2,residual_fs_k2,factorized_fs_k2,absolute_error_fs_k2,observed_fs_k4,event_fs_k4,residual_fs_k4,factorized_fs_k4,absolute_error_fs_k4,observed_fs_k7p25,event_fs_k7p25,residual_fs_k7p25,factorized_fs_k7p25,absolute_error_fs_k7p25
3.0,0.58,400.0,2.3995390168923434,2.2050072755714303,0.1810028464094744,2.3860101219809047,0.0056381224961118415,0.08466089025698564,0.12739326310773036,0.40084738174114287,0.11110503590866871,0.02644414565168307,1.0,0.0,0.0,0.2209161290659797,0.259484288429066,0.8886112160391731,0.2305806490840119,0.009664520018032197,0.006469244519058826,0.022155979513222106,0.6389213183940169,0.014155927640898697,0.007686683121839871,0.0010259201452419485,0.003273205643336474,0.2687352682598212,0.0008796257966315879,0.00014629434861036057
3.0,0.58,600.0,3.4956415235298746,3.2704885286679914,0.1688652991437092,3.4393538278117006,0.016102250570972476,0.04958589058535989,0.07396934803738175,0.3319084111858379,0.06768427137382238,0.018098380788462487,1.0,0.0,0.0,0.10778931415413767,0.13207382236395807,0.8952955127131876,0.1182451005093303,0.010455786355192634,0.0028419058664708344,0.006042181628206329,0.6557131071913591,0.003961937689645717,0.0011200318231748825,0.0006545515779087175,-0.0007805634283906375,0.29005871059128985,-0.00022640922157370492,0.0008809607994824224
4.0,0.58,10.0,0.10567784230805667,0.04784036220185326,0.09513610602611958,0.14297646822797283,0.3529465127721725,0.5355920127215581,8.020379399815369,0.4700376384279139,1.1060658870853235,0.5704738743637654,1.0,0.0,0.0,0.9331707015066635,0.9722201732893027,0.9393983327578543,0.9133020098615231,0.01986869164514038,0.7685980765919621,0.9218438839473451,0.7859331236843042,0.7245076432600082,0.04409043333195395,0.4625646394360614,0.8757629047230369,0.48244551547910247,0.4225078860065816,0.040056753429479786
4.0,0.58,20.0,0.16256532270096183,0.09462253915644307,0.12278376413986342,0.2174063032963065,0.3373473486484224,0.5555990680179845,3.925103127310863,0.33554784081370204,0.8505524191481793,0.2949533511301947,1.0,0.0,0.0,0.9001075441842998,0.9456344806766924,0.9224038453153596,0.8722568812389742,0.027850662945325677,0.6774505577711958,0.8506957800887237,0.7321590695982456,0.6228446308609137,0.0546059269102821,0.3392101016963562,0.7705266524327946,0.39049181553049195,0.3008843514231143,0.038325750273241865
4.0,0.58,50.0,0.3282574981346231,0.235863439453529,0.16445097888220747,0.40031441833573644,0.21951340216320592,0.43198524122340576,1.5654110777299395,0.24886044213871972,0.5854322620071422,0.1534470207837364,1.0,0.0,0.0,0.8113075710702986,0.8698452565236617,0.897489601554723,0.780677072691687,0.030630498378611648,0.47658675104663295,0.6708207042296009,0.6593958544549006,0.4423363914515158,0.03425035959511713,0.15343509664024266,0.5373179069251731,0.28978278941769503,0.1557054818728541,0.0022703852326114438
4.0,0.58,100.0,0.6061875301316144,0.48368524035324584,0.18729941933584468,0.6709846596890905,0.10689287775914402,0.3029036268488876,0.7689027146365501,0.3344240280314821,0.42560893149715184,0.12270530464826424,1.0,0.0,0.0,0.6829333146637871,0.7515133335300466,0.8848806752232266,0.6649996260133255,0.017933688650461632,0.2707881818713311,0.4461108317116376,0.6301512129688825,0.28111728172164546,0.010329099850314383,0.04724884333668998,0.2969554769047914,0.26666437515975455,0.07918744669908312,0.03193860336239314
4.0,0.58,200.0,1.1822063890931207,1.0218777317918062,0.18644224313484659,1.2083199749266527,0.02208885527472404,0.19788664853935933,0.37302517429435467,0.4813005352690358,0.27825042105250963,0.0803637725131503,1.0,0.0,0.0,0.47982890295348035,0.546791336181778,0.886243440139369,0.4845902348161411,0.004761331862660756,0.08817574106473175,0.18568831730039917,0.6375643250843435,0.11838824669567641,0.030212505630944658,0.00246429959643711,0.08736312855174232,0.27553949762920193,0.024071992552462465,0.021607692956025354
4.0,0.58,400.0,2.3617796249648366,2.1788130465111837,0.17222777093569028,2.351040817446874,0.004546913439530842,0.12555946277382724,0.17730399945616915,0.3769429327713576,0.15430117838972568,0.028741715615898444,1.0,0.0,0.0,0.23670465183516248,0.27697000054206383,0.8936628861676444,0.24751781006627482,0.010813158231112341,0.010364557165827444,0.03181753816847395,0.6520618476444023,0.020747002725631417,0.010382445559803973,0.0004242822672751919,0.012577850959542787,0.2829617911164747,0.003559051235908297,0.003134768968633105
4.0,0.58,600.0,3.5538212136910325,3.326802764378595,0.1616695276289424,3.4884722920075375,0.01838835376178727,0.07065457221193294,0.09901938357112217,0.3618189945838759,0.09083125844355,0.020176686231617058,1.0,0.0,0.0,0.11523062554941144,0.13979336008126458,0.8996194301681496,0.1257608229375982,0.010530197388186752,0.006394974288393562,0.008721634010956988,0.6679293908498338,0.005825435692153694,0.0005695385962398679,0.0015659289135938244,0.004100211470075666,0.30322859068671887,0.001243301345588564,0.00032262756800526026
5.0,0.58,10.0,0.10611955976705194,0.04839472688489848,0.09588314137389234,0.14427786825879083,0.35957846579369535,0.5233234005354708,7.805741572420741,0.4699177782971413,1.0857776185736738,0.5624542180382031,1.0,0.0,0.0,0.9328834433726456,0.9718678329107397,0.938938558698245,0.9125241822783968,0.020359261094248793,0.7675177453746531,0.9208570136002697,0.7845260717188722,0.7224363354945917,0.045081409880061374,0.4601401709193842,0.8748547397658979,0.4802985847265242,0.4201914933508524,0.03994867756853182
