temperature,replicate,lag,heldout_msd,heldout_ngp,inferred_mean_event_count,count_fano_factor,inferred_cage_variance,model,model_class,maximum_omitted_count_probability,calibration_event_path_statistics_used,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count,observed_fs_k2,predicted_fs_k2,fs_k2_absolute_error,observed_fs_k4,predicted_fs_k4,fs_k4_absolute_error,observed_fs_k7p25,predicted_fs_k7p25,fs_k7p25_absolute_error,maximum_absolute_error
0.45,3.0,100.0,0.06145764487,1.529098277,0.36826304887538513,2.3114502642191255,0.0062336888294264965,empirical_path,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.96101123,0.9640590682785226,0.003047838278522619,0.86227122,0.8703130992635537,0.008041879263553708,0.65090389,0.6590303126067653,0.008126422606765216,0.008126422606765216
0.45,3.0,100.0,0.06145764487,1.529098277,0.36826304887538513,2.3114502642191255,0.0062336888294264965,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.96101123,0.96104774,3.651000000004512e-05,0.86227122,0.86260709,0.0003358700000000159,0.65090389,0.65123661,0.00033271999999995305,0.0003358700000000159
0.45,3.0,100.0,0.06145764487,1.529098277,0.36826304887538513,2.3114502642191255,0.0062336888294264965,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.96101123,0.96105347,4.223999999997119e-05,0.86227122,0.86279658,0.0005253600000000302,0.65090389,0.65276441,0.0018605199999999211,0.0018605199999999211
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.94871207,0.9486522304707374,5.983952926258418e-05,0.82851853,0.8275406226800329,0.000977907319967053,0.59786561,0.5943094713102353,0.0035561386897647873,0.0035561386897647873
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.94871207,0.9527707197413265,0.0040586497413265255,0.82851853,0.837968134207985,0.009449604207985018,0.59786561,0.6067087725007728,0.008843162500772772,0.009449604207985018
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.94871207,0.955171902469795,0.006459832469794979,0.82851853,0.8441172329862507,0.015598702986250768,0.59786561,0.6142586540617243,0.01639304406172426,0.01639304406172426
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,empirical_path,factorized_event_path,3.3283376055237568e-12,1.0,1.0,1.0,0.0,0.94871207,0.9556218689076836,0.0069097989076836175,0.82851853,0.8453898950522107,0.016871365052210763,0.59786561,0.6156817326241913,0.0178161226241913,0.0178161226241913
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.94871207,0.94887801,0.00016594000000003106,0.82851853,0.8300544,0.0015358699999999947,0.59786561,0.60282799,0.004962379999999933,0.004962379999999933
0.45,3.0,200.0,0.08291711479,1.86151522,0.6643515276572982,3.1508105320015667,0.00658677425732111,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.94871207,0.94889141,0.0001793399999999723,0.82851853,0.83038891,0.0018703800000000603,0.59786561,0.60459825,0.0067326399999999564,0.0067326399999999564
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.91546514,0.9152172596400331,0.00024788035996692326,0.7464958,0.7427366534108086,0.003759146589191409,0.48619659,0.47435040018770724,0.01184618981229274,0.01184618981229274
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.91546514,0.9249815320046453,0.009516392004645269,0.7464958,0.7637066947431853,0.017210894743185268,0.48619659,0.4943235310761335,0.008126941076133543,0.017210894743185268
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.91546514,0.9321103643865941,0.016645224386594104,0.7464958,0.779735194282302,0.03323939428230194,0.48619659,0.5106926273001021,0.024496037300102136,0.03323939428230194
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,empirical_path,factorized_event_path,6.757578141503018e-08,1.0,1.0,1.0,0.0,0.91546514,0.9339155122755036,0.018450372275503613,0.7464958,0.7843384836784072,0.03784268367840715,0.48619659,0.5151550664406404,0.02895847644064037,0.03784268367840715
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.91546514,0.91570367,0.00023852999999995905,0.7464958,0.7486588,0.002162999999999915,0.48619659,0.49291795,0.0067213600000000095,0.0067213600000000095
