record,model,held_clone_index,history_length,state_mode_count,captured_total_drift_variance_fraction,captured_center_drift_variance_fraction,captured_relative_drift_variance_fraction,split_mode_count,trajectory_sha256,lag_frames,observed_msd,predicted_msd,observed_ngp,predicted_ngp,wave_number,observed_fs,predicted_fs,fs_scaled_absolute_error
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,2.0,0.0006691937160396424,0.0006803633529714137,-0.010287672014426819,0.004690901969384598,7.25,0.9941546814197195,0.9940572755088223,9.797862718720914e-05
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.0025702525372424292,-0.009530080734862834,0.013075631735550486,1.0,0.9995786974837719,0.9995717163364176,6.9840897689056365e-06
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.0025702525372424292,-0.009530080734862834,0.013075631735550486,3.0,0.9962146473588944,0.9961520452375362,6.283999289128204e-05
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.0025702525372424292,-0.009530080734862834,0.013075631735550486,7.25,0.9780936179277395,0.9777351798494549,0.00036646602300097875
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.008353931868746918,-0.0023632338793424523,0.10787856413098829,1.0,0.9986189175899679,0.9986087435297992,1.0188130816939661e-05
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.008353931868746918,-0.0023632338793424523,0.10787856413098829,3.0,0.9876391135393018,0.9875550079186515,8.515825213615645e-05
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.008353931868746918,-0.0023632338793424523,0.10787856413098829,7.25,0.9299470171710826,0.9296737696880388,0.0002938312376924741
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.018286481437501643,0.04238848060175404,0.08537702166661942,1.0,0.9969110639872525,0.9969572610534424,4.634020812763615e-05
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.018286481437501643,0.04238848060175404,0.08537702166661942,3.0,0.9725576892510505,0.9729719309922712,0.00042593025154089687
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.018286481437501643,0.04238848060175404,0.08537702166661942,7.25,0.8504731279898977,0.8528011318526669,0.0027373044322652196
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.028729856775203955,0.08180848661995599,0.0215678204905434,1.0,0.9953368905651367,0.9952234614075011,0.0001139605682366271
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.028729856775203955,0.08180848661995599,0.0215678204905434,3.0,0.958880311164791,0.957846131360249,0.0010785285634718604
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.028729856775203955,0.08180848661995599,0.0215678204905434,7.25,0.7843960431508669,0.7782220126370982,0.007871062797522492
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.04334686995572828,0.10503308869514671,0.013363958591096958,1.0,0.9939556675944158,0.9928020948213674,0.0011605877512025121
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.04334686995572828,0.10503308869514671,0.013363958591096958,3.0,0.9470063084686624,0.9370892643403613,0.010471993733956467
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.04334686995572828,0.10503308869514671,0.013363958591096958,7.25,0.7300671621810471,0.6850013669050256,0.06172828694470959
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.0835807563888909,0.1707871216385577,0.003471130122400634,1.0,0.9924514606599208,0.9861661517397345,0.006333114685535302
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.0835807563888909,0.1707871216385577,0.003471130122400634,3.0,0.9343633648490657,0.8821418571296396,0.05588993499104263
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.0835807563888909,0.1707871216385577,0.003471130122400634,7.25,0.6785859765840291,0.47991680264381686,0.29276934802028154
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.16704881140891073,0.2045329201568582,0.014810824945765688,1.0,0.9907444185587126,0.9725499102070738,0.01836448231331681
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.16704881140891073,0.2045329201568582,0.014810824945765688,3.0,0.9203415947501059,0.7788250664287768,0.15376522057525188
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.16704881140891073,0.2045329201568582,0.014810824945765688,7.25,0.6275136829156027,0.23518084904432573,0.6252179746079636
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,0.26174453099403266,0.10822351464247681,0.021313159651323854,1.0,0.9889012896994123,0.9573357280673429,0.03191983058457136
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,0.26174453099403266,0.10822351464247681,0.021313159651323854,3.0,0.9048531653245575,0.6766270968609442,0.2522244240387355
held_clone,raw_hankel_16,4.0,64.0,17.0,0.9895029906213201,nan,nan,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,0.26174453099403266,0.10822351464247681,0.021313159651323854,7.25,0.5658368989710896,0.10974990766489721,0.8060396770439238
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,1.0,0.00017004163088458126,0.00017080674136185753,-0.010366028230818447,0.011026285788551249,1.0,0.9999716601284648,0.9999715326138088,1.2751826990781422e-07
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,1.0,0.00017004163088458126,0.00017080674136185753,-0.010366028230818447,0.011026285788551249,3.0,0.9997449699738385,0.9997438226123337,1.1476541910835873e-06
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,1.0,0.00017004163088458126,0.00017080674136185753,-0.010366028230818447,0.011026285788551249,7.25,0.9985114698261711,0.998504777499232,6.702303520085551e-06
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,2.0,0.0006691937160396424,0.0006734693007639984,-0.010287672014426819,0.016616839652792592,1.0,0.9998884739140868,0.9998877614330958,7.12560460062176e-07
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,2.0,0.0006691937160396424,0.0006734693007639984,-0.010287672014426819,0.016616839652792592,3.0,0.998996711485422,0.9989903075311399,6.410385748481421e-06
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,2.0,0.0006691937160396424,0.0006734693007639984,-0.010287672014426819,0.016616839652792592,7.25,0.9941546814197195,0.9941175449392377,3.735483137175022e-05
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.002559831972649024,-0.009530080734862834,0.03739741131821672,1.0,0.9995786974837719,0.999573454731905,5.244961582486203e-06
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.002559831972649024,-0.009530080734862834,0.03739741131821672,3.0,0.9962146473588944,0.9961678075323486,4.7017805520157216e-05
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,4.0,0.00252834659837094,0.002559831972649024,-0.009530080734862834,0.03739741131821672,7.25,0.9780936179277395,0.9778307757674444,0.00026872904134885164
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.0086458419766913,-0.0023632338793424523,0.07894487278947349,1.0,0.9986189175899679,0.9985601426634406,5.885621180612957e-05
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.0086458419766913,-0.0023632338793424523,0.07894487278947349,3.0,0.9876391135393018,0.9871212444244232,0.0005243505525239639
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,8.0,0.008292256489566954,0.0086458419766913,-0.0023632338793424523,0.07894487278947349,7.25,0.9299470171710826,0.9272536459539321,0.002896263085335559
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.021551683078228363,0.04238848060175404,0.03530228683742065,1.0,0.9969110639872525,0.9964147368250639,0.0004978650354260297
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.021551683078228363,0.04238848060175404,0.03530228683742065,3.0,0.9725576892510505,0.9682084649915507,0.004471944757178421
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,16.0,0.0185637682653521,0.021551683078228363,0.04238848060175404,0.03530228683742065,7.25,0.8504731279898977,0.8285209868407465,0.02581168108278194
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.05240683637465255,0.08180848661995599,0.0037532896671803595,1.0,0.9953368905651367,0.991303195307791,0.004052592941727991
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.05240683637465255,0.08180848661995599,0.0037532896671803595,3.0,0.958880311164791,0.9243732487638753,0.03598682963778721
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,32.0,0.028050551744549714,0.05240683637465255,0.08180848661995599,0.0037532896671803595,7.25,0.7843960431508669,0.6313256103789497,0.19514432040865906
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.1484713536157393,0.10503308869514671,-0.016794806753576363,1.0,0.9939556675944158,0.9755504377148709,0.01851715371178417
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.1484713536157393,0.10503308869514671,-0.016794806753576363,3.0,0.9470063084686624,0.799849753732468,0.15539131410238538
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,64.0,0.0363857104856285,0.1484713536157393,0.10503308869514671,-0.016794806753576363,7.25,0.7300671621810471,0.26929551946107255,0.6311359647288303
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.37944227746284254,0.1707871216385577,-0.0035314495286093983,1.0,0.9924514606599208,0.9387075473503229,0.05415268699777161
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.37944227746284254,0.1707871216385577,-0.0035314495286093983,3.0,0.9343633648490657,0.5656500799286074,0.39461444957232367
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,128.0,0.04548886333468044,0.37944227746284254,0.1707871216385577,-0.0035314495286093983,7.25,0.6785859765840291,0.036536343371102814,0.9461581219891618
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.878208092116072,0.2045329201568582,0.00347073695772937,1.0,0.9907444185587126,0.8638058063296365,0.1281244787770193
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.878208092116072,0.2045329201568582,0.00347073695772937,3.0,0.9203415947501059,0.26821545123327123,0.7085696737350027
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,256.0,0.05584999145934225,0.878208092116072,0.2045329201568582,0.00347073695772937,7.25,0.6275136829156027,0.0058382301203643,0.9906962504893307
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,1.414307937954834,0.10822351464247681,-0.0024660156403357725,1.0,0.9889012896994123,0.7896749011194212,0.20146236096076708
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,1.414307937954834,0.10822351464247681,-0.0024660156403357725,3.0,0.9048531653245575,0.1191096779797618,0.8683657387250904
held_clone,split_cage_drift_8,4.0,64.0,19.0,nan,0.8851977385435306,0.8926988863124427,8.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,400.0,0.06700334639273753,1.414307937954834,0.10822351464247681,-0.0024660156403357725,7.25,0.5658368989710896,0.009923519659344474,0.98246222599235
held_clone,split_cage_drift_16,4.0,64.0,35.0,nan,0.9904401681388011,0.9897476192043488,16.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,1.0,0.00017004163088458126,0.00017356417128249084,-0.010366028230818447,-0.0018877686633892443,1.0,0.9999716601284648,0.9999710730488551,5.870962479363007e-07
held_clone,split_cage_drift_16,4.0,64.0,35.0,nan,0.9904401681388011,0.9897476192043488,16.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,1.0,0.00017004163088458126,0.00017356417128249084,-0.010366028230818447,-0.0018877686633892443,3.0,0.9997449699738385,0.9997396870101887,5.284311307928565e-06
