record,model,held_clone_index,history_length,history_time_tau,slow_mode_count,state_mode_count,captured_force_history_variance_fraction,trajectory_sha256,heldout_state_r_squared,heldout_velocity_r_squared,maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,terminal_diffusion_relative_error,multi_k_fs_max_relative_error,ngp_max_absolute_error,observed_event_rate,predicted_event_rate,event_rate_relative_error,observed_event_count,predicted_event_count,spectral_radius,maximum_unclipped_singular_value,maximum_clipped_singular_value,stationary_covariance_relative_error,fit_parameters_from_macro_observables,thermodynamic_claim_allowed
held_clone,raw_force_delay_2,3.0,3.0,0.02,0.0,4.0,1.0,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9982682339322694,0.9817905652502473,0.9964041678872663,0.9992875593326476,2.6710291889099937,0.7645905413175174,0.2714518733386386,0.03906249999999999,0.07329192546583851,0.8762732919254663,23.0,944.0,0.9479173446621971,1.000110925526809,0.999,3.849091513834352e-15,0.0,0.0
held_clone,hankel_slow_2,3.0,64.0,0.63,2.0,3.0,0.3454112906511306,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9976920810585224,0.9338744751237662,0.051464567548864484,0.9599025423788619,54.02639970641283,1.0092480889322268,0.3468703854627786,0.03819848661233993,0.7824534161490683,19.483885241052942,21.0,10078.0,0.9982221703122214,0.9999291043005878,0.999,2.059793384439831e-15,0.0,0.0
held_clone,hankel_slow_4,3.0,64.0,0.63,4.0,5.0,0.607144099531204,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9968658675894418,0.9423824475698399,0.06952419176146708,0.960855627648932,46.0169779306629,1.0170475920115027,0.3547508237473992,0.03819848661233993,0.7949534161490683,19.811123336291036,21.0,10239.0,0.9975757694899284,1.0000170255353003,0.999,3.810695486706975e-15,0.0,0.0
held_clone,hankel_slow_8,3.0,64.0,0.63,8.0,9.0,0.8731069290069919,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9955057672684842,0.9624805455318319,0.11597320540552279,0.9347245934111953,21.97564364598906,1.0010451803510252,0.3522970745926214,0.03819848661233993,0.6708850931677018,16.563132800946462,21.0,8641.0,0.994883928317461,1.0001245915480381,0.999,3.1408360921318957e-15,0.0,0.0
held_clone,hankel_slow_16,3.0,64.0,0.63,16.0,17.0,0.989665152275856,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9978536273177243,0.978599844547131,0.2533938893612832,0.8562626173186112,3.2083814495445298,0.8226613123701394,0.3253255954003209,0.03819848661233993,0.052251552795031055,0.36789588879029855,21.0,673.0,0.9905077225020728,1.0002140555208094,0.999,7.537182137594277e-15,0.0,0.0
held_clone,raw_force_delay_2,4.0,3.0,0.02,0.0,4.0,1.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9983304233450403,0.9812386959259941,0.9998571119883032,0.9998061581856325,2.365283431692548,0.7531612015561839,0.35956206439846383,0.035665760869565216,0.07336956521739131,1.0571428571428574,21.0,945.0,0.9480109732220287,1.0000880320832646,0.999,2.3180268572175816e-15,0.0,0.0
held_clone,hankel_slow_2,4.0,64.0,0.63,2.0,3.0,0.34695682849842296,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9976119926086217,0.9334407781212957,0.06086342740731497,0.9593888567917492,51.17267979379784,1.0167619037043178,0.18522275524125908,0.03456053550640279,0.7769409937888199,21.480583197123245,19.0,10007.0,0.9982052972538219,0.9999577181593995,0.999,1.6485156820742374e-15,0.0,0.0
held_clone,hankel_slow_4,4.0,64.0,0.63,4.0,5.0,0.608052778185006,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.996832958923655,0.9419386330725492,0.07352656850937422,0.9612168780995143,42.21963967560976,1.023122366862856,0.1947786483366536,0.03456053550640279,0.7924689440993788,21.929880353056554,19.0,10207.0,0.9975880018437506,1.0000297115170178,0.999,1.4384423031520566e-15,0.0,0.0
held_clone,hankel_slow_8,4.0,64.0,0.63,8.0,9.0,0.8731259113601286,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9955018953806468,0.9620742703107017,0.12436022238646825,0.937394542565737,20.963873058335643,1.004071483090653,0.18667882402496083,0.03456053550640279,0.6773291925465839,18.59834194181105,19.0,8724.0,0.9948528913326663,1.000117914097494,0.999,3.0118279372344768e-15,0.0,0.0
held_clone,hankel_slow_16,4.0,64.0,0.63,16.0,17.0,0.9895029906213201,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9978984608491184,0.9781623939200556,0.2709995196857439,0.8572946298744828,2.909620116259871,0.8011118452241665,0.19069052463535274,0.03456053550640279,0.05659937888198758,0.6376881333769207,19.0,729.0,0.9903640217226398,1.000191216996513,0.999,4.371111730943393e-15,0.0,0.0
