temperature,replicate,lag,count_source,kernel_source,residual_source,model_code,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.58,2.0,400.0,calibration,calibration,heldout,cch,2.220446049250313e-16,2.0675801103326856,2.446386944815099,0.15484338456157187,0.13612798216395894,0.06244093818479679,0.07368704397916215,0.28752675102473535,0.2134958630148948,0.07403088800984056,0.02587720260561637,-0.0008022615567074514,0.026679464162323824,0.0019999006838185484,0.0005040949482152632,0.001495805735603285
0.58,2.0,400.0,calibration,heldout,calibration,chc,2.220446049250313e-16,2.2595728154770485,2.446386944815099,0.07636327921630981,0.11014485992649337,0.06244093818479679,0.047703921741696576,0.25355418478317376,0.2134958630148948,0.040058321768278976,0.016498433598820913,-0.0008022615567074514,0.017300695155528366,0.0025634091173213237,0.0005040949482152632,0.0020593141691060603
0.58,2.0,400.0,calibration,heldout,heldout,chh,2.220446049250313e-16,2.266976644366589,2.446386944815099,0.07333684510896943,0.10955541828307536,0.06244093818479679,0.047114480098278566,0.2522815944298089,0.2134958630148948,0.03878573141491412,0.016191489373293566,-0.0008022615567074514,0.01699375093000102,0.0024399974492638112,0.0005040949482152632,0.001935902501048548
0.58,2.0,400.0,heldout,calibration,calibration,hcc,0.0,2.2128843445996567,2.446386944815099,0.09544794240761068,0.11065265539108315,0.06244093818479679,0.048211717206286364,0.2596532579736397,0.2134958630148948,0.04615739495874491,0.016911191323695028,-0.0008022615567074514,0.01771345288040248,0.0002350371318345083,0.0005040949482152632,0.00026905781638075494
0.58,2.0,400.0,heldout,calibration,heldout,hch,0.0,2.2202881734891973,2.446386944815099,0.0924215083002704,0.11005022935588316,0.06244093818479679,0.047609291171086365,0.2583500563262302,0.2134958630148948,0.044854193311335416,0.01659656796915019,-0.0008022615567074514,0.017398829525857643,0.0002237216050623086,0.0005040949482152632,0.0002803733431529546
0.58,2.0,400.0,heldout,heldout,calibration,hhc,0.0,2.418519475493772,2.446386944815099,0.011391276175827136,0.09468258857909095,0.06244093818479679,0.03224165039429416,0.2278231659687318,0.2134958630148948,0.014327302953837023,0.008607748972013315,-0.0008022615567074514,0.009410010528720767,0.0008561170291902583,0.0005040949482152632,0.00035202208097499506
0.58,2.0,400.0,heldout,heldout,heldout,hhh,0.0,2.425923304383313,2.446386944815099,0.008364842068486755,0.09421804339407736,0.06244093818479679,0.031777105209280565,0.22667971979160492,0.2134958630148948,0.013183856776710134,0.008447606566619312,-0.0008022615567074514,0.009249868123326763,0.0008149004984730633,0.0005040949482152632,0.0003108055502578001
0.58,2.0,600.0,calibration,calibration,calibration,ccc,1.1102230246251565e-16,3.224482676963709,3.687875142081927,0.12565297014275212,0.0753796534486948,0.05260664913915636,0.022773004309538436,0.14030390667094453,0.09566220281545856,0.044641703855485965,-0.0005366159499290055,-0.0033646927489369453,0.00282807679900794,0.0023751635532747914,0.004720807730679563,0.002345644177404772
0.58,2.0,600.0,calibration,calibration,heldout,cch,1.1102230246251565e-16,3.2278696388437016,3.687875142081927,0.12473456543828032,0.07496712176910791,0.05260664913915636,0.022360472629951555,0.13991763086502026,0.09566220281545856,0.0442554280495617,-0.0005304282544038373,-0.0033646927489369453,0.002834264494533108,0.002303476376407698,0.004720807730679563,0.0024173313542718653
0.58,2.0,600.0,calibration,heldout,calibration,chc,1.1102230246251565e-16,3.420430924495864,3.687875142081927,0.07251986775102215,0.07123829547024818,0.05260664913915636,0.018631646331091822,0.1204149994194852,0.09566220281545856,0.02475279660402664,0.0013075898975388933,-0.0033646927489369453,0.004672282646475839,0.0020589207607889628,0.004720807730679563,0.0026618869698906006
