model,replicate,realization,temperature,block_size,radial_bin_count,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,1.0,10.0,0.45,20.0,8.0,2755124.0,4.104596242759939e-05,0.0021259494799135137,0.00010259030939757663,0.00012993716558495905,0.00011126055354138131,0.0009875547239436289,0.0003537721873836802,0.0006264078287255281,0.0009875547239436289,0.004373588082243196,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,11.0,0.45,20.0,8.0,2852533.0,3.816938035161588e-05,0.00022256704849055176,0.0006548656691399146,2.6003153739795337e-05,0.0002790077307514016,0.0012547353946483764,0.0011731322847879505,0.0015705509504552184,0.0015705509504552184,0.0043106296928657195,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,12.0,0.45,20.0,8.0,2949942.0,0.00010146725267001777,0.002023426765673464,5.7393596049004625e-05,1.2164993304697447e-05,0.00047663788800555995,0.00027066634248429366,0.0003387752214609324,0.00036761241975097336,0.00047663788800555995,0.0035821704538147037,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,13.0,0.45,20.0,8.0,3047351.0,0.001016604523603526,0.0035188688099673238,0.001011364766172751,1.4978283748190435e-05,9.513531850480206e-05,0.0007753124463035777,0.002639914732267601,0.00225892734038724,0.002639914732267601,0.004536318515565518,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,14.0,0.45,20.0,8.0,3144760.0,0.0007346041881233223,8.54510526543395e-05,0.00017956511308697687,0.0002823623320636903,0.0003264354626739685,0.0005362226721558061,0.0010069582752779693,0.0011667152389031044,0.0011667152389031044,0.0032018131668702376,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,15.0,0.45,20.0,8.0,3242169.0,0.0007049028645567113,7.838403243454195e-05,0.0005235312888044463,5.1471861550966835e-05,0.00019044587575145489,0.000995325674461589,0.0009680442153826435,0.0004998923047521142,0.000995325674461589,0.002587215883014138,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,0.0,0.45,20.0,8.0,2781037.0,0.00033420286320318127,0.0012961860719185037,0.0011000309645267659,5.314769585629264e-05,0.0007697663687146195,0.0010184197393156014,0.0021672728558709,0.001044883037405575,0.0021672728558709,0.002924707142977878,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,1.0,0.45,20.0,8.0,2878446.0,0.0011780339448477228,0.0016169323254806578,0.0005033625138615161,5.3366470053606285e-05,0.00070792103775974,0.00022216172622757657,0.0016687930968345838,0.0010648175912975066,0.0016687930968345838,0.00341603089709297,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,2.0,0.45,20.0,8.0,2975855.0,0.0003473850918976895,0.0034478435184104317,4.879397192952828e-05,0.0002473801523589225,5.6942672459370236e-05,0.00032111327175832205,0.0003216260137316601,0.0014298624968262508,0.0014298624968262508,0.0037389631624610287,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,3.0,0.45,20.0,8.0,3073264.0,0.00026177983377229097,0.0010220847621220663,0.0004533843472184773,2.554221597173001e-05,8.920291259306712e-05,4.0766619221477285e-06,0.0004900254466897597,0.001553925047580007,0.001553925047580007,0.0038007771076988273,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,4.0,0.45,20.0,8.0,3170673.0,0.0009557049992894306,0.004247563890556139,0.0010571342566186304,4.6918611594337634e-05,0.00031367709746121797,0.001034264282078201,0.001875968243168255,0.00277813094580448,0.00277813094580448,0.003031645948681605,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,5.0,0.45,20.0,8.0,3268082.0,0.0002475874119752808,0.0013617657558949725,0.00027281717077426437,0.00016378531166238997,0.000332798568931314,0.0001758123797089839,0.00034702025908547873,0.0005462951755649259,0.0005462951755649259,0.003478193459714285,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,6.0,0.45,20.0,8.0,3365491.0,0.0010255461106536412,0.0030766774378272466,0.00041501384141312547,0.0001426243530850968,0.0002289010611163933,0.00038076029305467163,0.0014509272077787433,0.0019410136954113866,0.0019410136954113866,0.004134571448836222,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,7.0,0.45,20.0,8.0,3462900.0,0.0003286177455696926,8.929655945411064e-05,0.00023143001058528734,0.0004519123009469883,0.00011538096812857557,0.00046739605620904623,0.0006395093348671721,0.0006868047198297367,0.0006868047198297367,0.0038003837159051868,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
