model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_multivariate_surrogate,1.0,2.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.5601949371167014,0.5385549106326213,0.021640026484080144,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9011862385416772,0.8977103424506039,0.0034758960910733494,0.6803230122665775,0.6706091522002315,0.009713860066346003,0.3439730031519126,0.3302563514537057,0.013716651698206905
radial_multivariate_surrogate,1.0,2.0,0.58,100.0,20.0,5.0,108141.0,0.6021712362802917,0.6244853324897498,0.03573197807624151,0.19022207209731112,0.2825033492140283,0.09228127711671719,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6795597535122809,0.6748742076596806,0.004685545852600281,0.2453915275591988,0.25770578929215066,0.012314261732951859,0.021543190792495313,0.03757140173250425,0.016028210940008936
radial_multivariate_surrogate,1.0,2.0,0.58,200.0,20.0,10.0,91756.0,1.1474857838985453,1.1970958003749623,0.04144197687509876,0.1301853226558396,0.17003137790337108,0.03984605524753149,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48338786140014495,0.4733264732392782,0.010061388160866769,0.07902307504109742,0.07641999280253814,0.002603082238559276,0.0016310396336921115,0.0035374896626027496,0.001906450028910638
radial_multivariate_surrogate,1.0,2.0,0.58,400.0,20.0,20.0,58986.0,2.2196532206223245,2.302522122507715,0.03599049106860974,0.09298867255844301,0.08241548506967367,0.010573187488769342,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24958373118545685,0.2367746362454057,0.012809094940051141,0.007783443826998111,0.005007075510426834,0.0027763683165712765,0.0022498252546423896,-0.0015893870932790705,0.00383921234792146
radial_multivariate_surrogate,1.0,2.0,0.58,600.0,20.0,30.0,26216.0,3.296929835703134,3.5092386999443375,0.06049997802787577,0.06672548056551642,0.04880248109629837,0.01792299946921805,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1287903402959349,0.10971466137823888,0.019075678917696015,-0.0032354650370669015,0.003664696471714173,0.006900161508781075,0.0005694161508175703,-0.002099056579231919,0.0026684727300494895
phase_randomized_cross_spectrum,1.0,3.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.058863883284603125,0.5385549106326213,0.47969102734801816,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8987457937955049,0.8977103424506039,0.0010354513449010172,0.6550405208732554,0.6706091522002315,0.015568631326976168,0.25836789162720875,0.3302563514537057,0.07188845982649694
phase_randomized_cross_spectrum,1.0,3.0,0.58,100.0,20.0,5.0,108141.0,0.5974786111692916,0.6244853324897498,0.043246366112052015,0.10813389112580318,0.2825033492140283,0.17436945808822513,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6770664314659147,0.6748742076596806,0.0021922238062340726,0.22935723955532822,0.25770578929215066,0.028348549736822437,0.012643498574040206,0.03757140173250425,0.024927903158464042
phase_randomized_cross_spectrum,1.0,3.0,0.58,200.0,20.0,10.0,91756.0,1.1433944209505507,1.1970958003749623,0.04485971749929363,0.11232107085932164,0.17003137790337108,0.05771030704404945,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4815638018414033,0.4733264732392782,0.008237328602125116,0.07327132807126865,0.07641999280253814,0.003148664731269485,0.0019438206430806965,0.0035374896626027496,0.001593669019522053
phase_randomized_cross_spectrum,1.0,3.0,0.58,400.0,20.0,20.0,58986.0,2.225276040664602,2.302522122507715,0.03354846456762073,0.11048259647198333,0.08241548506967367,0.028067111402309664,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25222094315114957,0.2367746362454057,0.015446306905743862,0.009444942523037849,0.005007075510426834,0.0044378670126110145,0.000643050480033085,-0.0015893870932790705,0.0022324375733121554
phase_randomized_cross_spectrum,1.0,3.0,0.58,600.0,20.0,30.0,26216.0,3.296702682100607,3.5092386999443375,0.0605647081935754,0.08155875870756835,0.04880248109629837,0.03275627761126998,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1280864282920708,0.10971466137823888,0.01837176691383191,-0.004114425032409571,0.003664696471714173,0.0077791215041237444,-0.0022649468873283205,-0.002099056579231919,0.0001658903080964014
