record,scheme,stride,clone_index,trace_variance_ratio,mean_squared_mahalanobis_per_dimension,maximum_absolute_whitened_mean,maximum_absolute_whitened_covariance_error,maximum_absolute_whitened_component_excess_kurtosis,maximum_absolute_whitened_lag1_correlation,maximum_absolute_whitened_state_correlation,minimum_integrated_covariance_eigenvalue,sample_count,maximum_relative_position_error,maximum_relative_velocity_error,trajectory_sha256,thermodynamic_claim_allowed
clone,trapezoid,2.0,3.0,0.9855292603273115,0.9855915490483348,0.006391819014082408,0.01978198781055618,0.07219794045704742,0.017947244527065948,0.016953830858515352,0.0013295062503772912,32000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,trapezoid,2.0,4.0,0.9836171856192326,0.9826190345465676,0.005313590327505408,0.024556826273331778,0.06928333225530947,0.018915325273906613,0.016037773543535108,0.0013615682303034387,32000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,trapezoid,4.0,1.0,0.9939726812994764,0.9930161014264978,0.0100957523690281,0.023420725899896522,0.07650111545390414,0.02413570840470801,0.023207908582746604,0.002683071541180461,16000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,trapezoid,4.0,2.0,1.004301630678248,0.999219413033952,0.014458579247814643,0.011944503767909564,0.05741108070616585,0.021673233121499796,0.02761230780098659,0.0026661019320623875,16000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,trapezoid,4.0,3.0,0.9911095320864838,0.9963277999904462,0.008987629824674926,0.018653214367606762,0.07731595542390668,0.01634226778300493,0.02282830889755333,0.0026775867587046785,16000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,trapezoid,4.0,4.0,0.9928595648939397,0.9941918501320582,0.007524717845474883,0.024967088417239536,0.06703771517809498,0.01897691482200009,0.020583096634965155,0.002726797668282874,16000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,trapezoid,8.0,1.0,0.9850590928279076,0.9908675391097258,0.01449823948512511,0.03588216881771633,0.13652319447708638,0.029943561352726578,0.028664346692605067,0.005425897168685586,8000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,trapezoid,8.0,2.0,1.0106887794042627,1.0053248961086556,0.020117320101800347,0.022270994658283243,0.08370700127772412,0.024079035924276536,0.035680117236731895,0.005478068749749816,8000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,trapezoid,8.0,3.0,0.9897008188990655,0.9929505862192506,0.012836544711881316,0.03185426984223197,0.06506034129122629,0.029262434841278506,0.04570526269452587,0.005495767810314477,8000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,trapezoid,8.0,4.0,0.9836337862825814,0.9915519456179238,0.010575364810937434,0.024091092981580742,0.10459486745212576,0.03127461184346437,0.03012189830978714,0.005539195412677172,8000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
