model,replicate,realization,temperature,block_size,surrogate_seed,surrogate_iteration_count,radial_distribution_maximum_absolute_error,cross_spectral_matrix_nrmse,one_block_msd_relative_error,one_block_ngp_absolute_error,one_block_fs_maximum_absolute_error
radial_multivariate_surrogate,4.0,1.0,0.58,20.0,4308424.0,240.0,4.440892098500626e-16,0.06675347531360397,0.0,0.0,3.723121770043969e-05
radial_multivariate_surrogate,4.0,2.0,0.58,20.0,4405833.0,240.0,4.440892098500626e-16,0.06729837103777322,0.0,0.0,0.0007137740274516524
radial_multivariate_surrogate,4.0,3.0,0.58,20.0,4503242.0,240.0,4.440892098500626e-16,0.0664729820742498,0.0,0.0,0.0005058212370270265
radial_multivariate_surrogate,4.0,4.0,0.58,20.0,4600651.0,240.0,2.220446049250313e-16,0.06619808262006724,0.0,0.0,0.0009175780844134507
radial_multivariate_surrogate,4.0,5.0,0.58,20.0,4698060.0,240.0,4.440892098500626e-16,0.06611719181226565,0.0,0.0,0.00028083947657092656
radial_multivariate_surrogate,4.0,6.0,0.58,20.0,4795469.0,240.0,2.220446049250313e-16,0.06622229601965486,0.0,0.0,0.0004295374439168831
radial_multivariate_surrogate,4.0,7.0,0.58,20.0,4892878.0,240.0,4.440892098500626e-16,0.06733243468174095,0.0,0.0,0.0004296173407229986
radial_multivariate_surrogate,5.0,0.0,0.58,20.0,5211018.0,240.0,3.3306690738754696e-16,0.06498734819555108,0.0,0.0,0.00018572739436506502
radial_multivariate_surrogate,5.0,1.0,0.58,20.0,5308427.0,240.0,4.440892098500626e-16,0.06475412648207424,0.0,0.0,0.0008875284707400288
radial_multivariate_surrogate,5.0,2.0,0.58,20.0,5405836.0,240.0,4.440892098500626e-16,0.06633329591215217,0.0,0.0,8.340964343922508e-05
radial_multivariate_surrogate,5.0,3.0,0.58,20.0,5503245.0,240.0,4.440892098500626e-16,0.06493496580668888,0.0,0.0,0.00011844570955710232
radial_multivariate_surrogate,5.0,4.0,0.58,20.0,5600654.0,240.0,2.220446049250313e-16,0.06602461223455505,0.0,0.0,0.00028983346067062987
radial_multivariate_surrogate,5.0,5.0,0.58,20.0,5698063.0,240.0,4.440892098500626e-16,0.06621746153903954,0.0,0.0,0.0004182478764749864
radial_multivariate_surrogate,5.0,6.0,0.58,20.0,5795472.0,240.0,4.440892098500626e-16,0.06569420857645242,0.0,0.0,0.0006265586586705618
radial_multivariate_surrogate,5.0,7.0,0.58,20.0,5892881.0,240.0,4.440892098500626e-16,0.06550644609075357,0.0,4.440892098500626e-16,0.00010184948479785572
