source_id,sample_id,area_fraction,time_step_seconds,published_tau_alpha_seconds,source_sha256,wave_number_inverse_microns,lag_frames,lag_seconds,lag_over_published_tau_alpha,pair_count,msd,ngp_2d,self_intermediate_scattering
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,38.0,627.0,0.04478571428571428,659042.0,0.47548633273751895,2.3273803313102652,0.5446066302202792
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,53.0,874.5,0.062464285714285715,647225.0,0.5390980258797172,2.565550538751193,0.5315520211323845
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,73.0,1204.5,0.08603571428571428,632976.0,0.6189719918290741,2.7670259613723744,0.5167937607702138
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,102.0,1683.0,0.12021428571428572,614629.0,0.7285329896571753,2.8516706470953856,0.49753499904418663
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,142.0,2343.0,0.16735714285714287,591770.0,0.8662642732818494,2.850155971353955,0.4744240993491344
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,198.0,3267.0,0.23335714285714285,563616.0,1.0429141245103049,2.765888352547317,0.4487723067411492
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,275.0,4537.5,0.32410714285714287,529681.0,1.2546481121656243,2.584408691568052,0.4166308776697797
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,383.0,6319.5,0.45139285714285715,487916.0,1.5022293995277878,2.342049190219488,0.3796171714181581
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,533.0,8794.5,0.6281785714285715,437984.0,1.7707221973862062,2.060128000485099,0.3360928376431702
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,742.0,12243.0,0.8745,378260.0,2.117812607465764,1.7117125669749917,0.2694015915330897
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,1033.0,17044.5,1.2174642857142857,308503.0,2.68534006735753,1.4867091204048801,0.1807018647355661
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,1437.0,23710.5,1.6936071428571429,224278.0,3.4163940818983582,1.394925003038478,0.09260767562244732
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,2000.0,33000.0,2.357142857142857,121907.0,5.002491046453444,0.9594168346739362,-0.0026391900594510964
