model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,trajectory_sha256,trajectory_size_bytes,trajectory_hash_scope
radial_multivariate_surrogate,1.0,0.0,0.45,3000.0,20.0,150.0,330977.0,0.5447637194078222,0.5507382500974113,0.010848221797800206,1.1778854783241477,1.3301724324025965,0.15228695407844883,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7419000594477485,0.7425593344166428,0.0006592749688942856,0.43897811543241083,0.44897180267658227,0.009993687244171434,0.18347792815726216,0.22221602781950803,0.03873809966224587,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,20.0,20.0,1.0,819250.0,0.03929389062170177,0.039439034265083064,0.0036802027759029743,0.07216266796824344,0.6894572448102572,0.6172945768420137,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9741685947680869,0.9742726065504118,0.0001040117823248865,0.9008787375753521,0.9031194881740169,0.002240750598664798,0.7117905371685735,0.7273620752980499,0.015571538129476314,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,100.0,20.0,5.0,806142.0,0.05747761217966882,0.0570676716703697,0.00718341045464399,0.21277633147252595,1.6297339342658397,1.4169576027933137,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.962556678529693,0.9637263303218477,0.00116965179215478,0.8599909162164042,0.8712844740845151,0.011293557868110926,0.6194601534942459,0.6701586799370863,0.05069852644284045,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,200.0,20.0,10.0,789757.0,0.07641364576487547,0.07543971565197483,0.012910044854803848,0.3832452827002364,2.0528096750212144,1.669564392320978,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9507950439179919,0.9531991465279716,0.002404102609979697,0.8216981682808094,0.8424536039827798,0.02075543570197036,0.5486936119978136,0.6251232912663965,0.0764296792685829,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,500.0,20.0,25.0,740602.0,0.12848783322558915,0.12726889615088294,0.0095776510331409,0.7453622843957903,2.240207131422164,1.4948448470263738,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9202962677081502,0.9252086699236458,0.004912402215495604,0.7358656529573785,0.7741688168233672,0.038303163865988754,0.42878596057727264,0.533395281820343,0.10460932124307037,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,1000.0,20.0,50.0,658677.0,0.21359458749663612,0.21371648432894896,0.0005703670107413128,1.0314141562127448,2.035011317785304,1.0035971615725594,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875531530398543,0.8825336715723144,0.0070021411737714034,0.635884546871501,0.6840225543370759,0.04813800746557495,0.3283842725776878,0.43196745142274323,0.10358317884505541,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,2000.0,20.0,100.0,494827.0,0.3830537638197186,0.38494087781746295,0.0049023476239881125,1.2163448648497175,1.5320813966552245,0.315736531805507,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8009129865694568,0.8061233874084176,0.005210400838960849,0.5140572858995739,0.5436221107653332,0.029564824865759287,0.23554573349853317,0.29754222992878293,0.061996496430249765,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,1.0,0.45,3000.0,20.0,150.0,330977.0,0.5520329232418922,0.5507382500974113,0.002350795762328106,1.2618601367287194,1.3301724324025965,0.06831229567387709,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.74047153880155,0.7425593344166428,0.002087795615092758,0.4378993237433585,0.44897180267658227,0.011072478933223773,0.18538205151552364,0.22221602781950803,0.036833976303984384,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,1.0,0.45,20.0,20.0,1.0,819250.0,0.039293890621701764,0.039439034265083064,0.0036802027759031963,0.6731497953956407,0.6894572448102572,0.01630744941461648,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9743616496201609,0.9742726065504118,8.904306974910625e-05,0.9034066405847442,0.9031194881740169,0.00028715241072729825,0.7279467286093833,0.7273620752980499,0.000584653311333394,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,1.0,0.45,100.0,20.0,5.0,806142.0,0.057692980579075216,0.0570676716703697,0.010957322953657256,0.5174861306857341,1.6297339342658397,1.1122478035801056,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9626182370030789,0.9637263303218477,0.0011080933187688213,0.8618609157846386,0.8712844740845151,0.009423558299876511,0.6301098657657119,0.6701586799370863,0.0400488141713744,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
