temperature,model_code,lag,replicate_count,predicted_msd,observed_msd,msd_relative_error,predicted_fourth_moment,observed_fourth_moment,predicted_ngp,observed_ngp,ngp_absolute_error,maximum_count_tail_probability,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,hch,50.0,3.0,0.05093340247506021,0.04695635520102237,0.08469667752132626,0.00917513496060707,0.007866374695904966,1.1220632945672833,1.1406078866688234,0.018544592101540136,4.929840968781463e-07,0.9671999967520253,0.9696913070864693,0.0024913103344440524,0.8802138101704254,0.8886703237343586,0.008456513563933177,0.6808401225907491,0.6995204967944827,0.018680374203733585
0.45,hch,100.0,3.0,0.062072487043871555,0.057100198209926144,0.08708006258866274,0.015679856654598087,0.01411335245273373,1.4417154173358933,1.5972048553147098,0.15548943797881654,9.95618779642271e-07,0.960556471313303,0.9636844599785942,0.0031279886652911815,0.860224011302502,0.8709383880301901,0.010714376727688046,0.6447809202374696,0.6685948251395887,0.0238139049021191
0.45,hch,200.0,3.0,0.08086998362458285,0.07520056123369137,0.07539069254115427,0.030189499956176525,0.028383001374182756,1.7696982696349481,2.011392781175742,0.24169451154079402,1.4724721334569146e-05,0.9497269875994222,0.9533016497076988,0.003574662108276616,0.8301208352125237,0.8424183294324846,0.012297494219960958,0.5966872282348322,0.6236796305483269,0.026992402313494646
0.45,hch,500.0,3.0,0.13083008250977649,0.1262955126161884,0.035904441889147876,0.08528284119442901,0.08409026771246454,1.989493959531207,2.163159893849566,0.1736659343183593,2.1680792605671684e-06,0.9225887449805364,0.9255414798411173,0.0029527348605808967,0.763339643791039,0.7737458591055776,0.010406215314538558,0.5064797798195891,0.5291930232489127,0.02271324342932357
0.45,hch,1000.0,3.0,0.21057810060973745,0.2096882357573943,0.00424375191640558,0.20871939677423512,0.2133528256573274,1.8241493063455425,1.911397588989531,0.08724828264398843,1.2181922392717759e-05,0.8825516257278259,0.8837103017827217,0.0011586760548958353,0.678389511214693,0.6839386458670308,0.0055491346523377505,0.4130937597913867,0.4252107551608982,0.012116995369511496
0.45,hch,2000.0,3.0,0.3715055432541019,0.3804918087436149,0.02361750051646483,0.5567204680042578,0.5843678384835524,1.4202367010887071,1.4218482813129847,0.0016115802242775423,0.0002507807478298041,0.8097621718302602,0.8061750197934495,0.0035871520368107035,0.549095606405383,0.5420765220261176,0.007019084379265461,0.29568355882052794,0.2894792740466868,0.006204284773841162
0.45,hch,3000.0,3.0,0.5287711563539155,0.5428630069869955,0.025958391807341608,1.0261339712137345,1.0655669393941465,1.2020126113304466,1.1694592246975226,0.03255338663292395,0.00031974634267317725,0.7471122176905441,0.7409790220423944,0.006133195648149736,0.4570429164072922,0.44362214992805216,0.013420766479240065,0.2252137183616099,0.2129683136864647,0.012245404675145177
0.45,hch,4096.0,3.0,0.6921442089130063,0.7020352157102732,0.014089046497845259,1.6190288818887206,1.6170913307904564,1.0277418637213311,0.9686476986099484,0.05909416511138277,0.0009235019192780358,0.687360904041875,0.681698915318509,0.005661988723365985,0.37754462536266403,0.36547921475070194,0.01206541061196209,0.17045667538750456,0.1585948106586421,0.01186186472886247
0.45,chh,20.0,3.0,0.04216190536639269,0.03949186469853002,0.0676098910052747,0.0052758523355399154,0.004358074301659739,0.7807519303742543,0.6766043934790436,0.10414753689521072,1.1102230246251565e-16,0.9725695402306186,0.9742347768868319,0.0016652366562133203,0.8973819216552199,0.9029575283359126,0.00557560668069268,0.714896319251781,0.7268548226920929,0.011958503440311907
0.45,chh,50.0,3.0,0.05058246098941879,0.04695635520102237,0.07722289715359909,0.009000616587799062,0.007866374695904966,1.1106858647918614,1.1406078866688234,0.029922021876962024,1.9719363872905404e-06,0.9674155678473072,0.9696913070864693,0.0022757392391621334,0.8809029480720193,0.8886703237343586,0.007767375662339315,0.6820776996575696,0.6995204967944827,0.017442797136913102
